="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,74.9400,75.0000,74.9300,74.9800,125706
="2019-11-04",08.31.00,74.9800,75.0500,74.9400,74.9800,22962
="2019-11-04",08.32.00,74.9928,75.1103,74.9802,75.0028,39890
="2019-11-04",08.33.00,75.0050,75.0100,74.5000,74.5447,612237
="2019-11-04",08.34.00,74.5500,74.7900,74.5100,74.6400,90026
="2019-11-04",08.35.00,74.6400,74.6600,74.5600,74.5900,42219
="2019-11-04",08.36.00,74.6100,74.6500,74.4200,74.4400,73324
="2019-11-04",08.37.00,74.4430,74.5513,74.3712,74.4829,58226
="2019-11-04",08.38.00,74.4800,74.5255,74.3550,74.4000,30766
="2019-11-04",08.39.00,74.4070,74.4771,74.1818,74.2320,83486
="2019-11-04",08.40.00,74.2100,74.4100,74.1900,74.4100,37235
="2019-11-04",08.41.00,74.4100,74.6600,74.3539,74.6500,123726
="2019-11-04",08.42.00,74.6800,74.8500,74.6700,74.7600,83470
="2019-11-04",08.43.00,74.7700,74.8500,74.7500,74.8000,78915
="2019-11-04",08.44.00,74.7924,74.9629,74.7827,74.8624,76083
="2019-11-04",08.45.00,74.8500,74.8500,74.6670,74.6670,52666
="2019-11-04",08.46.00,74.6700,74.6700,74.5751,74.5900,30551
="2019-11-04",08.47.00,74.5900,74.6280,74.5300,74.5500,33700
="2019-11-04",08.48.00,74.5600,74.6400,74.5550,74.6200,29550
="2019-11-04",08.49.00,74.6300,74.6850,74.6150,74.6450,30277
="2019-11-04",08.50.00,74.6500,74.6700,74.6300,74.6300,36595
="2019-11-04",08.51.00,74.6500,74.6700,74.5922,74.6400,15077
="2019-11-04",08.52.00,74.6300,74.6300,74.5565,74.5834,20988
="2019-11-04",08.53.00,74.5831,74.6000,74.5250,74.5600,26020
="2019-11-04",08.54.00,74.5550,74.6000,74.5400,74.5989,22204
="2019-11-04",08.55.00,74.6000,74.6150,74.5600,74.5800,28853
="2019-11-04",08.56.00,74.5800,74.6500,74.5550,74.6200,45577
="2019-11-04",08.57.00,74.6200,74.6925,74.6155,74.6900,32399
="2019-11-04",08.58.00,74.6900,74.7900,74.6800,74.7200,33980
="2019-11-04",08.59.00,74.7200,74.7600,74.6900,74.7400,22017
="2019-11-04",09.00.00,74.7350,74.7950,74.7000,74.7100,46796
="2019-11-04",09.01.00,74.7000,74.7050,74.5400,74.5600,45383
="2019-11-04",09.02.00,74.5400,74.5480,74.4200,74.4600,35198
="2019-11-04",09.03.00,74.4600,74.4893,74.4000,74.4493,45453
="2019-11-04",09.04.00,74.4500,74.4989,74.4400,74.4800,18561
="2019-11-04",09.05.00,74.4800,74.4950,74.4500,74.4800,12731
="2019-11-04",09.06.00,74.4800,74.4900,74.4300,74.4300,24758
="2019-11-04",09.07.00,74.4300,74.4400,74.4050,74.4200,15773
="2019-11-04",09.08.00,74.4400,74.4900,74.4300,74.4700,67948
="2019-11-04",09.09.00,74.4700,74.4800,74.4300,74.4300,29234
="2019-11-04",09.10.00,74.4300,74.4600,74.4200,74.4200,25098
="2019-11-04",09.11.00,74.4100,74.4100,74.3200,74.3700,28042
="2019-11-04",09.12.00,74.3700,74.3950,74.3500,74.3548,8921
="2019-11-04",09.13.00,74.3500,74.3561,74.2500,74.2500,27382
="2019-11-04",09.14.00,74.2600,74.2700,74.2200,74.2650,22263
="2019-11-04",09.15.00,74.2650,74.2721,74.2200,74.2500,26413
="2019-11-04",09.16.00,74.2500,74.3500,74.2427,74.3500,19922
="2019-11-04",09.17.00,74.3600,74.3700,74.3350,74.3400,8966
="2019-11-04",09.18.00,74.3450,74.3742,74.3366,74.3742,12561
="2019-11-04",09.19.00,74.3757,74.4400,74.3757,74.3950,16812
="2019-11-04",09.20.00,74.4000,74.4200,74.3600,74.4000,26769
="2019-11-04",09.21.00,74.4100,74.4700,74.3909,74.4500,21872
="2019-11-04",09.22.00,74.4500,74.4700,74.4400,74.4500,10727
="2019-11-04",09.23.00,74.4500,74.4500,74.4150,74.4400,22330
="2019-11-04",09.24.00,74.4500,74.4800,74.4080,74.4080,35986
="2019-11-04",09.25.00,74.4100,74.4350,74.4001,74.4300,10989
="2019-11-04",09.26.00,74.4300,74.5000,74.4210,74.4999,60734
="2019-11-04",09.27.00,74.4956,74.5100,74.4800,74.4900,15646
="2019-11-04",09.28.00,74.4950,74.5000,74.4600,74.4800,23685
="2019-11-04",09.29.00,74.4900,74.5000,74.4600,74.4900,12761
="2019-11-04",09.30.00,74.4800,74.5000,74.4000,74.4500,26032
="2019-11-04",09.31.00,74.4473,74.4800,74.4350,74.4500,14969
="2019-11-04",09.32.00,74.4356,74.4356,74.3600,74.3700,33937
="2019-11-04",09.33.00,74.3700,74.3942,74.3550,74.3942,16239
="2019-11-04",09.34.00,74.4000,74.4500,74.3901,74.4300,13598
="2019-11-04",09.35.00,74.4300,74.4600,74.3700,74.3900,40652
="2019-11-04",09.36.00,74.3800,74.4150,74.3800,74.4000,13697
="2019-11-04",09.37.00,74.4000,74.4800,74.4000,74.4300,14549
="2019-11-04",09.38.00,74.4200,74.4200,74.3800,74.3800,8342
="2019-11-04",09.39.00,74.3800,74.4250,74.3800,74.4250,9272
="2019-11-04",09.40.00,74.4200,74.4250,74.3700,74.3700,10509
="2019-11-04",09.41.00,74.3800,74.4500,74.3700,74.4100,14510
="2019-11-04",09.42.00,74.4100,74.4500,74.4000,74.4357,9666
="2019-11-04",09.43.00,74.4350,74.4800,74.4350,74.4660,16021
