="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,205.8500,206.6600,205.7000,206.6600,262223
="2019-11-04",08.31.00,206.6600,206.6800,205.7200,205.8454,63431
="2019-11-04",08.32.00,205.8400,206.3900,205.7500,206.3000,37622
="2019-11-04",08.33.00,206.1319,206.1319,206.1319,206.1319,36941
="2019-11-04",08.34.00,206.1000,206.2800,206.1000,206.2800,32784
="2019-11-04",08.35.00,206.4000,206.4000,206.1622,206.1622,86485
="2019-11-04",08.36.00,206.0931,206.2861,205.7800,205.7800,11007
="2019-11-04",08.37.00,205.8490,206.0300,205.8490,206.0300,98672
="2019-11-04",08.39.00,206.1100,206.1100,206.1100,206.1100,49213
="2019-11-04",08.42.00,205.9700,205.9700,205.7078,205.7078,136828
="2019-11-04",08.43.00,205.7655,205.7655,205.7655,205.7655,33028
="2019-11-04",08.44.00,205.6300,205.6300,205.5900,205.5900,43752
="2019-11-04",08.45.00,205.7199,205.8100,205.7199,205.7504,20938
="2019-11-04",08.46.00,205.9200,205.9200,205.9200,205.9200,11828
="2019-11-04",08.47.00,205.8600,205.8600,205.8587,205.8587,17795
="2019-11-04",08.48.00,205.8620,206.0400,205.8617,205.9323,29350
="2019-11-04",08.49.00,205.8900,205.8900,205.7900,205.7900,30834
="2019-11-04",08.50.00,205.7602,206.0399,205.7602,206.0399,43947
="2019-11-04",08.51.00,205.9600,206.0000,205.9600,206.0000,23646
="2019-11-04",08.52.00,205.9846,205.9846,205.9752,205.9752,33364
="2019-11-04",08.53.00,206.0500,206.0800,205.8100,205.8100,51968
="2019-11-04",08.54.00,205.8900,205.8900,205.8500,205.8500,56460
="2019-11-04",08.55.00,205.9500,205.9500,205.9000,205.9100,15938
="2019-11-04",08.56.00,205.8999,205.9508,205.8999,205.9508,7738
="2019-11-04",08.57.00,206.0100,206.0300,205.9700,206.0300,15657
="2019-11-04",08.58.00,205.9700,206.0600,205.9500,205.9700,13286
="2019-11-04",08.59.00,205.9700,206.1400,205.9600,206.0800,39996
="2019-11-04",09.00.00,206.0601,206.0601,205.8400,205.9368,26450
="2019-11-04",09.01.00,205.9700,206.0249,205.5800,205.6426,28894
="2019-11-04",09.02.00,205.6900,205.7200,205.3200,205.3300,44079
="2019-11-04",09.03.00,205.3661,205.3899,204.9500,205.0700,67596
="2019-11-04",09.04.00,205.0800,205.3890,205.0201,205.3890,19969
="2019-11-04",09.05.00,205.3800,205.4499,205.2000,205.2700,13851
="2019-11-04",09.06.00,205.2500,205.4300,205.1818,205.4100,9690
="2019-11-04",09.07.00,205.4800,205.5381,205.3100,205.3500,28858
="2019-11-04",09.08.00,205.4000,205.5599,205.4000,205.4774,13841
="2019-11-04",09.09.00,205.4663,205.4750,205.1400,205.2009,51936
="2019-11-04",09.10.00,205.2299,205.3950,205.1400,205.3612,16337
