="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,21.9206,21.9613,21.8311,21.8906,129348
="2019-11-04",08.31.00,21.8850,21.9200,21.8300,21.8300,29694
="2019-11-04",08.32.00,21.8308,21.9005,21.7003,21.7008,54009
="2019-11-04",08.33.00,21.7200,21.9400,21.7200,21.9400,37926
="2019-11-04",08.34.00,21.9400,21.9400,21.8300,21.8300,22621
="2019-11-04",08.35.00,21.8250,21.9100,21.8100,21.9100,12051
="2019-11-04",08.36.00,21.9040,21.9150,21.8100,21.8100,20687
="2019-11-04",08.37.00,21.8250,21.8500,21.8100,21.8200,30012
="2019-11-04",08.38.00,21.8300,21.8400,21.8100,21.8274,17150
="2019-11-04",08.39.00,21.8300,21.8400,21.7898,21.7950,42929
="2019-11-04",08.40.00,21.8000,21.8400,21.7150,21.7150,52579
="2019-11-04",08.41.00,21.7150,21.8240,21.7100,21.7300,15482
="2019-11-04",08.42.00,21.7708,21.8203,21.7202,21.7208,15538
="2019-11-04",08.43.00,21.7200,21.7899,21.7200,21.7899,20521
="2019-11-04",08.44.00,21.7700,21.8100,21.7500,21.8100,18616
="2019-11-04",08.45.00,21.8100,21.8100,21.7350,21.7485,20860
="2019-11-04",08.46.00,21.7565,21.7565,21.6700,21.6800,42510
="2019-11-04",08.47.00,21.6707,21.7013,21.6312,21.6507,27406
="2019-11-04",08.48.00,21.6693,21.7500,21.6650,21.7153,26025
="2019-11-04",08.49.00,21.7000,21.7300,21.6900,21.7000,10363
="2019-11-04",08.50.00,21.7100,21.7500,21.7100,21.7434,21740
="2019-11-04",08.51.00,21.7408,21.7702,21.7260,21.7308,15546
="2019-11-04",08.52.00,21.7201,21.7600,21.7201,21.7450,9784
="2019-11-04",08.53.00,21.7450,21.8000,21.7450,21.7900,24489
="2019-11-04",08.54.00,21.7950,21.7950,21.7300,21.7300,31915
="2019-11-04",08.55.00,21.7300,21.7500,21.7300,21.7308,6752
="2019-11-04",08.56.00,21.7453,21.7600,21.7300,21.7404,13454
="2019-11-04",08.57.00,21.7500,21.7700,21.7500,21.7600,5498
="2019-11-04",08.58.00,21.7596,21.7600,21.7400,21.7550,5786
="2019-11-04",08.59.00,21.7500,21.7500,21.7400,21.7400,9967
="2019-11-04",09.00.00,21.7400,21.7500,21.7000,21.7000,8684
="2019-11-04",09.01.00,21.7120,21.7300,21.6200,21.6350,17757
