="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,70.0700,70.1000,69.9700,70.0200,58049
="2019-11-04",08.31.00,70.0600,70.0800,70.0200,70.0400,11386
="2019-11-04",08.32.00,69.9800,70.1400,69.9400,70.1100,378125
="2019-11-04",08.33.00,70.1125,70.1751,70.0250,70.0725,80139
="2019-11-04",08.34.00,70.0700,70.1800,70.0450,70.0800,52338
="2019-11-04",08.35.00,70.1000,70.1900,70.1000,70.1500,44328
="2019-11-04",08.36.00,70.1400,70.1700,70.0500,70.0650,53416
="2019-11-04",08.37.00,70.0671,70.1500,70.0569,70.1359,42060
="2019-11-04",08.38.00,70.1350,70.2500,70.1300,70.2300,37254
="2019-11-04",08.39.00,70.2350,70.2970,70.2100,70.2400,60438
="2019-11-04",08.40.00,70.2500,70.3600,70.2500,70.3500,44496
="2019-11-04",08.41.00,70.3450,70.3500,70.2901,70.3250,45163
="2019-11-04",08.42.00,70.3250,70.4000,70.3100,70.3971,56661
="2019-11-04",08.43.00,70.4000,70.4250,70.3000,70.3565,43710
="2019-11-04",08.44.00,70.3583,70.4200,70.3412,70.4098,32834
="2019-11-04",08.45.00,70.4100,70.4400,70.3600,70.3600,66911
="2019-11-04",08.46.00,70.3539,70.4400,70.3500,70.4300,37533
="2019-11-04",08.47.00,70.4300,70.4600,70.4100,70.4500,29057
="2019-11-04",08.48.00,70.4600,70.4800,70.4100,70.4307,33747
="2019-11-04",08.49.00,70.4400,70.4700,70.4200,70.4462,22334
="2019-11-04",08.50.00,70.4600,70.4800,70.4200,70.4300,31485
="2019-11-04",08.51.00,70.4400,70.4900,70.4300,70.4900,26088
="2019-11-04",08.52.00,70.4900,70.5300,70.4729,70.5300,43986
="2019-11-04",08.53.00,70.5300,70.5900,70.5200,70.5650,99250
="2019-11-04",08.54.00,70.5700,70.5958,70.5300,70.5850,31712
="2019-11-04",08.55.00,70.5900,70.5900,70.5400,70.5700,34531
="2019-11-04",08.56.00,70.5650,70.6100,70.5600,70.6100,39954
="2019-11-04",08.57.00,70.6050,70.6100,70.5500,70.5650,46655
="2019-11-04",08.58.00,70.5700,70.6500,70.5600,70.6500,49117
="2019-11-04",08.59.00,70.6500,70.6700,70.6200,70.6700,40818
="2019-11-04",09.00.00,70.6700,70.7600,70.6561,70.7100,61164
="2019-11-04",09.01.00,70.7110,70.7600,70.7100,70.7250,51527
="2019-11-04",09.02.00,70.7250,70.7250,70.5992,70.5992,66825
="2019-11-04",09.03.00,70.6000,70.6500,70.5900,70.6400,45058
="2019-11-04",09.04.00,70.6363,70.6400,70.5748,70.5900,33305
="2019-11-04",09.05.00,70.5901,70.6100,70.5800,70.6100,34727
="2019-11-04",09.06.00,70.6100,70.6100,70.5900,70.5900,35824
="2019-11-04",09.07.00,70.6000,70.6299,70.5850,70.6000,29286
="2019-11-04",09.08.00,70.6100,70.6700,70.6000,70.6500,52102
="2019-11-04",09.09.00,70.6600,70.7000,70.6506,70.6700,20987
="2019-11-04",09.10.00,70.6800,70.7100,70.6500,70.6550,26833
="2019-11-04",09.11.00,70.6500,70.6848,70.6200,70.6603,32209
="2019-11-04",09.12.00,70.6700,70.6950,70.6550,70.6550,24830
="2019-11-04",09.13.00,70.6550,70.6900,70.6400,70.6650,32437
="2019-11-04",09.14.00,70.6700,70.7100,70.6700,70.6800,45121
="2019-11-04",09.15.00,70.6900,70.7100,70.6800,70.6900,12692
="2019-11-04",09.16.00,70.7000,70.7150,70.6900,70.7100,34816
="2019-11-04",09.17.00,70.7130,70.7250,70.7000,70.7200,25244
="2019-11-04",09.18.00,70.7100,70.7167,70.6720,70.7100,26219
="2019-11-04",09.19.00,70.7200,70.7300,70.6718,70.6850,22063
="2019-11-04",09.20.00,70.6900,70.7100,70.6700,70.6750,15719
="2019-11-04",09.21.00,70.6800,70.7300,70.6800,70.7150,31114
="2019-11-04",09.22.00,70.7250,70.7300,70.6500,70.6600,23649
="2019-11-04",09.23.00,70.6500,70.6662,70.6335,70.6500,19748
="2019-11-04",09.24.00,70.6550,70.6650,70.6150,70.6459,41477
="2019-11-04",09.25.00,70.6450,70.6450,70.6200,70.6400,11718
="2019-11-04",09.26.00,70.6400,70.6742,70.6200,70.6600,33601
="2019-11-04",09.27.00,70.6700,70.7067,70.6550,70.7000,34805
="2019-11-04",09.28.00,70.7050,70.7350,70.7000,70.7200,24668
="2019-11-04",09.29.00,70.7200,70.7900,70.7142,70.7880,36887
="2019-11-04",09.30.00,70.7900,70.8400,70.7700,70.8248,33985
="2019-11-04",09.31.00,70.8200,70.8400,70.8100,70.8200,29041
="2019-11-04",09.32.00,70.8150,70.8200,70.7649,70.7900,28386
="2019-11-04",09.33.00,70.8000,70.8100,70.7875,70.7950,37478
="2019-11-04",09.34.00,70.8000,70.8100,70.7600,70.7700,16692
="2019-11-04",09.35.00,70.7629,70.7900,70.7600,70.7900,22813
="2019-11-04",09.36.00,70.8000,70.8000,70.7400,70.7635,24817
="2019-11-04",09.37.00,70.7700,70.7750,70.7400,70.7500,17355
="2019-11-04",09.38.00,70.7450,70.7500,70.7300,70.7450,10285
="2019-11-04",09.39.00,70.7490,70.7900,70.7490,70.7900,35254
="2019-11-04",09.40.00,70.7900,70.8300,70.7800,70.8300,72207
="2019-11-04",09.41.00,70.8240,70.8800,70.8240,70.8800,43105
="2019-11-04",09.42.00,70.8750,70.9300,70.8700,70.9200,58572
="2019-11-04",09.43.00,70.9300,70.9850,70.9200,70.9650,82053
="2019-11-04",09.44.00,70.9650,71.0000,70.9500,70.9850,35397
="2019-11-04",09.45.00,70.9850,70.9850,70.9400,70.9800,37910
="2019-11-04",09.46.00,70.9759,71.0200,70.9600,71.0100,110454
="2019-11-04",09.47.00,71.0100,71.0400,71.0100,71.0400,19974
="2019-11-04",09.48.00,71.0400,71.0600,71.0319,71.0500,42691
="2019-11-04",09.49.00,71.0400,71.0580,70.9900,71.0050,54519
="2019-11-04",09.50.00,71.0050,71.0100,70.9200,70.9250,36997
="2019-11-04",09.51.00,70.9250,70.9750,70.9218,70.9500,31962
="2019-11-04",09.52.00,70.9450,71.0000,70.9450,70.9950,16314
="2019-11-04",09.53.00,70.9956,70.9970,70.9300,70.9350,67524
="2019-11-04",09.54.00,70.9300,70.9600,70.9300,70.9536,34508
="2019-11-04",09.55.00,70.9550,70.9800,70.9250,70.9750,39375
="2019-11-04",09.56.00,70.9750,71.0150,70.9650,71.0150,15343
="2019-11-04",09.57.00,71.0100,71.0843,71.0100,71.0761,38104
="2019-11-04",09.58.00,71.0800,71.0900,71.0200,71.0851,27128
="2019-11-04",09.59.00,71.0800,71.1000,71.0200,71.0500,51294
="2019-11-04",10.00.00,71.0419,71.1088,71.0388,71.0419,51552
="2019-11-04",10.01.00,71.0400,71.0500,71.0200,71.0500,15200
="2019-11-04",10.02.00,71.0500,71.0900,71.0450,71.0858,236199
="2019-11-04",10.03.00,71.0854,71.1100,71.0650,71.1000,33442
="2019-11-04",10.04.00,71.1000,71.1300,71.0800,71.1300,35011
="2019-11-04",10.05.00,71.1268,71.1500,71.1200,71.1350,29078
