date,time,open,high,low,close,volume
="2019-11-04",08.30.00,35.1909,35.2341,35.0940,35.1609,2204451
="2019-11-04",08.31.00,35.1600,35.2800,35.1500,35.2100,871419
="2019-11-04",08.32.00,35.2200,35.3200,35.2050,35.2650,698460
="2019-11-04",08.33.00,35.3300,35.3300,35.3300,35.3300,478664
="2019-11-04",08.34.00,35.2500,35.2800,35.2500,35.2800,306554
="2019-11-04",08.35.00,35.1300,35.1300,35.1275,35.1275,935743
="2019-11-04",08.36.00,35.1150,35.1150,35.0350,35.0350,628808
="2019-11-04",08.37.00,35.0400,35.0749,35.0200,35.0200,371010
="2019-11-04",08.39.00,35.1697,35.1697,35.1697,35.1697,428480
="2019-11-04",08.42.00,35.0400,35.0400,34.9730,34.9730,1237218
="2019-11-04",08.43.00,35.0100,35.0100,35.0055,35.0055,365088
="2019-11-04",08.44.00,34.9867,34.9867,34.9451,34.9600,313920
="2019-11-04",08.45.00,34.9299,34.9583,34.9299,34.9499,179554
="2019-11-04",08.46.00,34.9400,34.9450,34.9400,34.9450,514385
="2019-11-04",08.47.00,34.9550,35.0620,34.9550,35.0620,437282
="2019-11-04",08.48.00,35.0942,35.1063,35.0700,35.1063,321773
="2019-11-04",08.49.00,35.1050,35.1050,35.0500,35.0500,207607
="2019-11-04",08.50.00,35.0500,35.0500,35.0000,35.0000,275054
="2019-11-04",08.51.00,35.0000,35.0000,34.9870,34.9870,230407
="2019-11-04",08.52.00,34.9900,35.0024,34.9800,35.0024,188915
="2019-11-04",08.53.00,35.0000,35.0450,35.0000,35.0051,139226
="2019-11-04",08.54.00,35.0164,35.0164,35.0001,35.0001,118071
="2019-11-04",08.55.00,34.9900,34.9900,34.9701,34.9701,559361
="2019-11-04",08.56.00,34.9746,34.9852,34.9700,34.9852,217258
="2019-11-04",08.57.00,35.0000,35.0000,34.9600,34.9600,198290
="2019-11-04",08.58.00,34.9600,34.9600,34.8600,34.8600,609664
="2019-11-04",08.59.00,34.8600,34.9600,34.8500,34.9500,369829
="2019-11-04",09.00.00,34.9500,34.9700,34.8900,34.8950,161801
="2019-11-04",09.01.00,34.8900,34.9500,34.8900,34.9200,349131
="2019-11-04",09.02.00,34.9307,34.9575,34.8374,34.8378,412218
="2019-11-04",09.03.00,34.8413,34.8726,34.7926,34.8113,481860
="2019-11-04",09.04.00,34.8100,34.8500,34.8000,34.8397,261175
="2019-11-04",09.05.00,34.8350,34.9000,34.8176,34.8250,202118
="2019-11-04",09.06.00,34.8300,34.8500,34.8100,34.8500,87121
="2019-11-04",09.07.00,34.8515,34.8935,34.8435,34.8461,161110
="2019-11-04",09.08.00,34.8499,34.9000,34.8405,34.8898,168385
="2019-11-04",09.09.00,34.8900,34.9300,34.8900,34.8900,106596
="2019-11-04",09.10.00,34.8850,34.9000,34.8800,34.9000,153892
="2019-11-04",09.11.00,34.9000,34.9000,34.8600,34.8662,138133
="2019-11-04",09.12.00,34.8631,34.8800,34.8300,34.8300,221753
="2019-11-04",09.13.00,34.8400,34.8900,34.8300,34.8550,188521
="2019-11-04",09.14.00,34.8600,34.8700,34.8472,34.8600,54012
="2019-11-04",09.15.00,34.8624,34.9039,34.8589,34.8611,62190
="2019-11-04",09.16.00,34.8600,34.8700,34.8200,34.8218,48719
="2019-11-04",09.17.00,34.8300,34.8900,34.8200,34.8800,128584
="2019-11-04",09.18.00,34.8800,34.9700,34.8800,34.9450,288665
="2019-11-04",09.19.00,34.9500,34.9899,34.9443,34.9600,141620
="2019-11-04",09.20.00,34.9637,34.9900,34.9400,34.9500,123742
="2019-11-04",09.21.00,34.9500,34.9900,34.9301,34.9900,133891
="2019-11-04",09.22.00,34.9800,34.9900,34.9600,34.9700,97624
="2019-11-04",09.23.00,34.9650,34.9700,34.9200,34.9350,185796
="2019-11-04",09.24.00,34.9300,34.9446,34.9200,34.9250,114472
="2019-11-04",09.25.00,34.9281,34.9300,34.9100,34.9100,65472
="2019-11-04",09.26.00,34.9158,34.9600,34.9100,34.9400,106831
="2019-11-04",09.27.00,34.9400,35.0000,34.9400,35.0000,254644
="2019-11-04",09.28.00,34.9946,35.0700,34.9946,35.0500,362584
