date,time,open,high,low,close,volume
="2019-11-04",08.30.00,180.6648,180.9752,180.0543,180.6948,710474
="2019-11-04",08.31.00,180.6935,180.9723,179.1409,179.6235,941522
="2019-11-04",08.32.00,179.6667,180.1386,178.4671,179.9767,413699
="2019-11-04",08.33.00,179.9865,180.4275,179.0462,180.0315,369516
="2019-11-04",08.34.00,180.0600,180.1900,179.9900,180.1150,18019
="2019-11-04",08.35.00,179.9650,180.6000,179.9100,180.6000,758576
="2019-11-04",08.36.00,180.5825,181.1741,180.2532,180.7876,335319
="2019-11-04",08.37.00,180.8173,181.6138,180.8131,181.4273,328404
="2019-11-04",08.39.00,181.7500,181.7500,181.7500,181.7500,452702
="2019-11-04",08.42.00,181.4899,181.8600,180.7000,180.8000,1098677
="2019-11-04",08.43.00,181.4703,181.6900,181.4000,181.5600,335840
="2019-11-04",08.44.00,181.5700,181.9500,181.0000,181.1700,264099
="2019-11-04",08.45.00,181.1290,181.8800,181.1100,181.3350,245451
="2019-11-04",08.46.00,181.3673,182.0342,181.3135,181.4073,242591
="2019-11-04",08.47.00,181.3758,182.1785,181.3677,181.4958,561276
="2019-11-04",08.48.00,181.4400,182.0000,181.4000,181.6400,222783
="2019-11-04",08.49.00,181.6400,182.0000,181.5400,181.8000,253840
="2019-11-04",08.50.00,181.8000,181.8100,181.4000,181.5500,231948
="2019-11-04",08.51.00,181.5865,182.1090,181.4884,181.8845,289073
="2019-11-04",08.52.00,181.8930,182.1576,181.8674,181.8730,504698
="2019-11-04",08.53.00,181.8459,182.4774,181.7767,182.1963,430790
="2019-11-04",08.54.00,182.1676,182.5454,182.0950,182.2776,278506
="2019-11-04",08.55.00,182.2573,182.5747,182.0843,182.2873,284920
="2019-11-04",08.56.00,182.2996,182.3000,182.0200,182.1565,173107
="2019-11-04",08.57.00,182.1500,182.4100,181.7600,182.2300,253575
="2019-11-04",08.58.00,182.2250,182.2300,181.7600,181.7800,179340
="2019-11-04",08.59.00,181.8100,181.8200,181.3400,181.7400,267338
="2019-11-04",09.00.00,181.7300,182.0000,181.2800,181.5100,154666
="2019-11-04",09.01.00,181.6048,181.8435,180.9251,181.1448,227445
="2019-11-04",09.02.00,181.1736,181.3526,180.5019,180.8885,262130
="2019-11-04",09.03.00,180.8850,181.1900,180.7400,181.0500,175005
="2019-11-04",09.04.00,181.0165,181.2482,180.6276,180.6715,174772
="2019-11-04",09.05.00,180.6629,180.9366,180.2259,180.2329,217990
="2019-11-04",09.06.00,180.2200,180.9000,180.1400,180.2900,195733
="2019-11-04",09.07.00,180.2900,180.6800,180.1300,180.2600,162217
="2019-11-04",09.08.00,180.2700,180.5800,180.0800,180.2200,135085
="2019-11-04",09.09.00,180.2464,180.5500,180.1200,180.1600,125838
="2019-11-04",09.10.00,180.1200,180.5900,180.1200,180.5800,179045
="2019-11-04",09.11.00,180.5685,181.1725,180.4119,180.6435,202535
="2019-11-04",09.12.00,180.6467,181.2196,180.6391,180.6467,140995
="2019-11-04",09.13.00,180.6200,180.9900,180.4800,180.7100,119333
="2019-11-04",09.14.00,180.7100,181.0000,180.5800,180.8300,118867
="2019-11-04",09.15.00,180.8158,181.1161,180.7057,180.7858,134989
