date,time,open,high,low,close,volume
="2019-11-04",08.30.00,129.0800,129.2673,129.0800,129.2600,370993
="2019-11-04",08.31.00,129.2700,129.4000,129.1700,129.1800,60781
="2019-11-04",08.32.00,129.1900,129.2200,128.9400,129.0000,48481
="2019-11-04",08.33.00,129.0100,129.0600,128.6100,128.6900,68467
="2019-11-04",08.34.00,128.6800,128.8900,128.6800,128.7520,39081
="2019-11-04",08.35.00,128.7700,128.8200,128.6800,128.7800,59219
="2019-11-04",08.36.00,128.7700,128.8300,128.6900,128.7400,59437
="2019-11-04",08.37.00,128.7500,128.8700,128.7300,128.8700,46304
="2019-11-04",08.38.00,128.8700,129.0000,128.8600,128.9950,55291
="2019-11-04",08.39.00,128.9950,129.0000,128.8600,128.9500,62296
="2019-11-04",08.40.00,128.9600,129.1500,128.9400,129.1500,48013
="2019-11-04",08.41.00,129.1359,129.2900,129.0955,129.2500,54124
="2019-11-04",08.42.00,129.2600,129.4200,129.2400,129.3276,49603
="2019-11-04",08.43.00,129.3300,129.3500,129.1100,129.1500,65776
="2019-11-04",08.44.00,129.1300,129.2100,129.0100,129.1600,29705
="2019-11-04",08.45.00,129.1600,129.2080,129.1200,129.1300,35886
="2019-11-04",08.46.00,129.1200,129.1400,129.0200,129.1000,53755
="2019-11-04",08.47.00,129.1000,129.1200,129.0300,129.0591,29291
="2019-11-04",08.48.00,129.0700,129.2000,129.0600,129.2000,42027
="2019-11-04",08.49.00,129.2100,129.3600,129.1900,129.3500,23241
="2019-11-04",08.50.00,129.3500,129.4100,129.2550,129.2550,42903
="2019-11-04",08.51.00,129.2600,129.3000,129.2100,129.2700,30656
="2019-11-04",08.52.00,129.2750,129.2750,129.1700,129.2000,53290
="2019-11-04",08.53.00,129.2100,129.2300,129.1000,129.1500,39324
="2019-11-04",08.54.00,129.1500,129.1600,129.0300,129.0400,25170
="2019-11-04",08.55.00,129.0400,129.0800,128.9671,128.9775,45829
="2019-11-04",08.56.00,128.9800,129.0200,128.9344,128.9950,47940
="2019-11-04",08.57.00,129.0000,129.0800,128.9900,129.0600,36918
="2019-11-04",08.58.00,129.0800,129.2200,129.0500,129.1600,38739
="2019-11-04",08.59.00,129.1600,129.1900,129.1300,129.1400,30734
="2019-11-04",09.00.00,129.1400,129.2300,129.1300,129.1600,37535
="2019-11-04",09.01.00,129.1400,129.1400,128.9400,128.9750,44549
="2019-11-04",09.02.00,128.9450,128.9550,128.8300,128.8500,30770
="2019-11-04",09.03.00,128.8400,128.9300,128.8200,128.9200,28330
="2019-11-04",09.04.00,128.9100,128.9900,128.8800,128.9800,14005
="2019-11-04",09.05.00,128.9800,128.9900,128.9100,128.9450,17873
="2019-11-04",09.06.00,128.9500,129.0200,128.9500,128.9700,18734
="2019-11-04",09.07.00,128.9700,128.9900,128.8900,128.8948,9800
="2019-11-04",09.08.00,128.9100,128.9900,128.9000,128.9700,20748
="2019-11-04",09.09.00,128.9800,128.9800,128.8600,128.9000,28121
="2019-11-04",09.10.00,128.9000,128.9300,128.8400,128.8400,19507
="2019-11-04",09.11.00,128.8400,128.8700,128.7900,128.8200,25055
="2019-11-04",09.12.00,128.8300,128.8600,128.7800,128.8100,14165
="2019-11-04",09.13.00,128.8000,128.8000,128.6460,128.6460,33492
="2019-11-04",09.14.00,128.6600,128.7300,128.6384,128.7300,50513
="2019-11-04",09.15.00,128.7400,128.7498,128.6550,128.6900,20352
="2019-11-04",09.16.00,128.7100,128.8000,128.7000,128.7400,36741
="2019-11-04",09.17.00,128.7400,128.7900,128.7300,128.7327,28358
="2019-11-04",09.18.00,128.7300,128.7900,128.6800,128.7700,39916
="2019-11-04",09.19.00,128.7750,128.8100,128.7500,128.7700,21024
="2019-11-04",09.20.00,128.7800,128.8700,128.7800,128.8150,13422
="2019-11-04",09.21.00,128.8200,128.9500,128.8200,128.9300,29578
="2019-11-04",09.22.00,128.9300,128.9600,128.9100,128.9200,11787
="2019-11-04",09.23.00,128.9100,128.9250,128.8854,128.9100,15178
="2019-11-04",09.24.00,128.9204,128.9300,128.8084,128.8200,29718
="2019-11-04",09.25.00,128.8300,128.8722,128.8300,128.8722,12938
="2019-11-04",09.26.00,128.8690,128.9199,128.8400,128.9199,22127
="2019-11-04",09.27.00,128.9100,128.9750,128.9100,128.9600,11832
="2019-11-04",09.28.00,128.9600,129.0100,128.9600,129.0100,18132
="2019-11-04",09.29.00,129.0200,129.0400,128.9660,129.0200,19726
="2019-11-04",09.30.00,129.0400,129.0700,128.9900,129.0100,20086
="2019-11-04",09.31.00,129.0200,129.0300,128.9700,129.0149,11847
="2019-11-04",09.32.00,129.0200,129.0200,128.8800,128.9000,22331
="2019-11-04",09.33.00,128.8915,128.9300,128.8800,128.9200,15779
="2019-11-04",09.34.00,128.9200,128.9800,128.9000,128.9400,16483
="2019-11-04",09.35.00,128.9419,128.9700,128.9000,128.9100,20542
="2019-11-04",09.36.00,128.9100,128.9400,128.9000,128.9050,9199
="2019-11-04",09.37.00,128.9200,128.9900,128.9200,128.9300,11167
="2019-11-04",09.38.00,128.9300,128.9300,128.8900,128.9050,14413
="2019-11-04",09.39.00,128.9100,128.9600,128.9100,128.9500,11885
="2019-11-04",09.40.00,128.9550,128.9550,128.9000,128.9000,11806
="2019-11-04",09.41.00,128.9000,128.9400,128.9000,128.9100,26756
="2019-11-04",09.42.00,128.9200,128.9850,128.9200,128.9600,13077
="2019-11-04",09.43.00,128.9600,129.0500,128.9600,129.0500,14164
="2019-11-04",09.44.00,129.0600,129.1000,129.0500,129.0700,13239
="2019-11-04",09.45.00,129.0800,129.0900,129.0300,129.0700,16082
="2019-11-04",09.46.00,129.0650,129.0650,128.9700,128.9900,25835
="2019-11-04",09.47.00,128.9840,129.0200,128.9600,128.9800,26160
="2019-11-04",09.48.00,128.9750,128.9750,128.8800,128.9300,20655
="2019-11-04",09.49.00,128.9200,128.9700,128.9000,128.9150,19608
="2019-11-04",09.50.00,128.9200,128.9456,128.9000,128.9050,8935
="2019-11-04",09.51.00,128.9000,128.9100,128.8500,128.8600,14169
="2019-11-04",09.52.00,128.8600,128.9100,128.8600,128.9050,12118
="2019-11-04",09.53.00,128.9000,128.9056,128.8750,128.8950,14443
="2019-11-04",09.54.00,128.8900,128.8900,128.8200,128.8579,17699
="2019-11-04",09.55.00,128.8600,128.9000,128.8150,128.8900,16066
