date,time,open,high,low,close,volume
="2019-11-04",08.30.00,144.8338,145.1405,144.6951,144.7838,846138
="2019-11-04",08.31.00,144.7800,144.7800,144.4500,144.5213,128265
="2019-11-04",08.32.00,144.5200,144.5500,144.3500,144.3900,109567
="2019-11-04",08.33.00,144.6400,144.6400,144.6400,144.6400,128284
="2019-11-04",08.34.00,144.5850,144.5850,144.3300,144.3300,121135
="2019-11-04",08.35.00,144.2950,144.3000,144.2950,144.3000,130005
="2019-11-04",08.36.00,144.2700,144.4100,144.2700,144.4100,85597
="2019-11-04",08.37.00,144.4200,144.4400,144.4200,144.4400,69336
="2019-11-04",08.38.00,144.4398,144.4500,144.4398,144.4500,59035
="2019-11-04",08.39.00,144.4500,144.5550,144.4500,144.5550,54447
="2019-11-04",08.40.00,144.5500,144.5500,144.5400,144.5400,70172
="2019-11-04",08.41.00,144.5870,144.5870,144.5600,144.5600,93816
="2019-11-04",08.42.00,144.6000,144.6000,144.5400,144.5400,96957
="2019-11-04",08.43.00,144.5400,144.5400,144.4900,144.4900,62355
="2019-11-04",08.44.00,144.4909,144.4909,144.4400,144.4400,55798
="2019-11-04",08.45.00,144.4092,144.4092,144.2900,144.2900,48652
="2019-11-04",08.46.00,144.2750,144.2858,144.2700,144.2700,44453
="2019-11-04",08.47.00,144.2250,144.3800,144.2250,144.3800,65192
="2019-11-04",08.48.00,144.3820,144.3900,144.3700,144.3900,25466
="2019-11-04",08.49.00,144.3269,144.3269,144.2500,144.2500,35398
="2019-11-04",08.50.00,144.2300,144.3112,144.2300,144.3112,42769
="2019-11-04",08.51.00,144.3000,144.3900,144.2967,144.3900,48635
="2019-11-04",08.52.00,144.3900,144.3900,144.3863,144.3863,43824
="2019-11-04",08.53.00,144.3900,144.4600,144.3900,144.4600,43527
="2019-11-04",08.54.00,144.4339,144.4339,144.3100,144.3100,34873
="2019-11-04",08.55.00,144.3451,144.3800,144.3451,144.3800,47356
="2019-11-04",08.56.00,144.3550,144.3600,144.3550,144.3600,34058
="2019-11-04",08.57.00,144.4000,144.4200,144.4000,144.4200,28226
