date,time,open,high,low,close,volume
="2019-11-04",08.30.00,84.5400,85.5400,84.5400,85.5400,554889
="2019-11-04",08.31.00,85.5500,85.8700,85.1860,85.2100,94965
="2019-11-04",08.32.00,85.2032,85.2798,84.7293,84.8332,39912
="2019-11-04",08.33.00,84.8600,85.0019,84.8600,85.0019,31120
="2019-11-04",08.34.00,84.8800,84.8800,84.8800,84.8800,12022
="2019-11-04",08.35.00,84.9900,84.9900,84.9900,84.9900,52142
="2019-11-04",08.36.00,85.0100,85.1666,85.0100,85.0500,27627
="2019-11-04",08.37.00,85.1150,85.1800,85.1150,85.1800,34260
="2019-11-04",08.39.00,85.1690,85.1690,85.1690,85.1690,46959
="2019-11-04",08.42.00,85.2600,85.3300,85.2600,85.3300,182040
="2019-11-04",08.43.00,85.3829,85.3829,85.3829,85.3829,32360
="2019-11-04",08.44.00,85.4000,85.5403,85.4000,85.5403,48347
="2019-11-04",08.45.00,85.5500,85.5500,85.5000,85.5100,70468
="2019-11-04",08.46.00,85.6550,85.6550,85.6550,85.6550,57397
="2019-11-04",08.47.00,85.6600,85.6950,85.6600,85.6950,48729
="2019-11-04",08.48.00,85.7800,85.7800,85.6800,85.7301,29833
="2019-11-04",08.49.00,85.7337,85.7337,85.7100,85.7100,26745
="2019-11-04",08.50.00,85.7000,85.7700,85.7000,85.7700,25460
="2019-11-04",08.51.00,85.7703,85.7703,85.6700,85.6700,31822
="2019-11-04",08.52.00,85.6700,85.6700,85.3500,85.3500,86850
="2019-11-04",08.53.00,85.3200,85.4500,85.2401,85.2401,37229
="2019-11-04",08.54.00,85.2400,85.3800,85.2400,85.3800,12500
="2019-11-04",08.55.00,85.3866,85.3866,85.3527,85.3527,11824
="2019-11-04",08.56.00,85.4605,85.4605,85.4605,85.4605,9580
="2019-11-04",08.57.00,85.4800,85.5100,85.4800,85.5100,15621
="2019-11-04",08.58.00,85.5400,85.5400,85.5000,85.5000,8876
="2019-11-04",08.59.00,85.5300,85.5900,85.5000,85.5400,14170
="2019-11-04",09.00.00,85.5700,85.6600,85.5150,85.6300,26920
="2019-11-04",09.01.00,85.6514,85.6700,85.3500,85.3900,18187
="2019-11-04",09.02.00,85.3700,85.3900,85.3300,85.3350,14797
="2019-11-04",09.03.00,85.3382,85.4150,85.3099,85.3132,23525
="2019-11-04",09.04.00,85.3150,85.3150,85.2600,85.2750,12968
="2019-11-04",09.05.00,85.2700,85.2900,85.2100,85.2200,16516
="2019-11-04",09.06.00,85.2300,85.2400,85.1200,85.1400,50239
="2019-11-04",09.07.00,85.1250,85.1900,85.1000,85.1480,19071
="2019-11-04",09.08.00,85.1450,85.2000,85.1300,85.1800,16316
="2019-11-04",09.09.00,85.1800,85.2100,85.0900,85.0950,17842
="2019-11-04",09.10.00,85.0950,85.1800,85.0900,85.1579,15065
="2019-11-04",09.11.00,85.1500,85.1800,85.0900,85.1600,41761
="2019-11-04",09.12.00,85.1522,85.2000,85.1300,85.1300,14492
="2019-11-04",09.13.00,85.1200,85.1250,85.0966,85.0966,15023
="2019-11-04",09.14.00,85.1000,85.1000,85.0400,85.0542,19445
="2019-11-04",09.15.00,85.0500,85.0600,84.8900,84.8900,26822
="2019-11-04",09.16.00,84.8900,84.9100,84.8400,84.9000,25732
="2019-11-04",09.17.00,84.9100,84.9600,84.8900,84.9400,18384
="2019-11-04",09.18.00,84.9300,84.9599,84.9199,84.9300,22252
="2019-11-04",09.19.00,84.9380,84.9600,84.9300,84.9350,20144
="2019-11-04",09.20.00,84.9400,84.9600,84.9050,84.9250,17234
="2019-11-04",09.21.00,84.9300,84.9400,84.8500,84.8750,27098
="2019-11-04",09.22.00,84.8700,84.8780,84.8500,84.8552,7512
="2019-11-04",09.23.00,84.8556,84.9000,84.7900,84.9000,27277
="2019-11-04",09.24.00,84.9000,84.9299,84.8700,84.9200,14429
="2019-11-04",09.25.00,84.9100,84.9200,84.8701,84.8810,11689
="2019-11-04",09.26.00,84.8900,84.9600,84.8900,84.9401,26820
="2019-11-04",09.27.00,84.9400,84.9900,84.9300,84.9600,23553
="2019-11-04",09.28.00,84.9800,85.1299,84.9700,85.1299,30663
="2019-11-04",09.29.00,85.1239,85.1800,85.1101,85.1800,14234
="2019-11-04",09.30.00,85.2000,85.2500,85.1900,85.2400,27553
="2019-11-04",09.31.00,85.2400,85.2600,85.2100,85.2100,11255
="2019-11-04",09.32.00,85.2050,85.2050,85.1500,85.1600,11796
="2019-11-04",09.33.00,85.1400,85.1600,85.0800,85.1350,10585
="2019-11-04",09.34.00,85.1498,85.1498,85.0202,85.0224,20804
="2019-11-04",09.35.00,85.0000,85.0000,84.8500,84.9000,17458
="2019-11-04",09.36.00,84.8900,84.9700,84.7200,84.7400,43155
="2019-11-04",09.37.00,84.7500,84.8500,84.7500,84.7600,19867
="2019-11-04",09.38.00,84.7665,84.8666,84.7500,84.8666,7616
="2019-11-04",09.39.00,84.8700,84.9000,84.8300,84.8500,15445
="2019-11-04",09.40.00,84.8356,84.9700,84.8289,84.9700,23400
="2019-11-04",09.41.00,84.9800,85.1014,84.9600,85.0700,17890
="2019-11-04",09.42.00,85.0800,85.1159,85.0200,85.0909,9632
="2019-11-04",09.43.00,85.1000,85.1000,84.9650,85.0000,8505
="2019-11-04",09.44.00,85.0100,85.0150,84.9750,85.0100,4909
="2019-11-04",09.45.00,85.0100,85.0800,84.9200,84.9200,9462
="2019-11-04",09.46.00,84.9200,84.9700,84.8600,84.8600,8437
="2019-11-04",09.47.00,84.8400,84.8400,84.7800,84.7800,9702
="2019-11-04",09.48.00,84.8100,84.8100,84.7550,84.7600,7089
="2019-11-04",09.49.00,84.7900,84.8900,84.7600,84.8500,21151
="2019-11-04",09.50.00,84.8600,84.8600,84.7791,84.7800,6243
="2019-11-04",09.51.00,84.7700,84.7850,84.7400,84.7500,6962
="2019-11-04",09.52.00,84.7600,84.7854,84.7500,84.7650,7644
="2019-11-04",09.53.00,84.7650,84.7800,84.7050,84.7600,11936
="2019-11-04",09.54.00,84.7300,84.7400,84.6300,84.6550,16884
="2019-11-04",09.55.00,84.6650,84.7000,84.6500,84.7000,13281
="2019-11-04",09.56.00,84.7000,84.7350,84.6735,84.7164,9635
="2019-11-04",09.57.00,84.7189,84.7300,84.6200,84.6200,8078
="2019-11-04",09.58.00,84.6200,84.6500,84.6100,84.6250,6932
="2019-11-04",09.59.00,84.6400,84.6500,84.6000,84.6200,7768
="2019-11-04",10.00.00,84.6300,84.6300,84.5600,84.5900,15983
="2019-11-04",10.01.00,84.5800,84.7100,84.5800,84.6800,11905
="2019-11-04",10.02.00,84.6800,84.7500,84.6800,84.7000,10400
="2019-11-04",10.03.00,84.7200,84.7900,84.7100,84.7700,16189
="2019-11-04",10.04.00,84.7684,84.7850,84.7401,84.7600,9443
="2019-11-04",10.05.00,84.7400,84.8200,84.7400,84.7800,8838
="2019-11-04",10.06.00,84.7827,84.8000,84.7250,84.7400,29100
="2019-11-04",10.07.00,84.7400,84.7500,84.7041,84.7446,7170
="2019-11-04",10.08.00,84.7414,84.7800,84.7100,84.7800,10708
="2019-11-04",10.09.00,84.8000,84.8000,84.7433,84.7500,10977
="2019-11-04",10.10.00,84.7500,84.7700,84.7400,84.7600,6356
="2019-11-04",10.12.00,84.6650,84.6680,84.6400,84.6400,24045
="2019-11-04",10.14.00,84.6700,84.6700,84.6700,84.6700,28730
="2019-11-04",10.15.00,84.7000,84.7000,84.7000,84.7000,2570
="2019-11-04",10.17.00,84.6500,84.6612,84.6350,84.6600,38743
="2019-11-04",10.18.00,84.6700,84.7100,84.6600,84.6600,6540
="2019-11-04",10.19.00,84.6700,84.7300,84.6683,84.7300,4789
="2019-11-04",10.20.00,84.7150,84.7400,84.6310,84.6400,14740
="2019-11-04",10.21.00,84.6410,84.6410,84.5801,84.6400,36251
="2019-11-04",10.22.00,84.6400,84.6900,84.6400,84.6900,7865
="2019-11-04",10.23.00,84.7100,84.7500,84.6900,84.7150,28471
="2019-11-04",10.24.00,84.7300,84.7300,84.6500,84.6500,6096
="2019-11-04",10.25.00,84.6500,84.7000,84.6000,84.6200,18990
="2019-11-04",10.26.00,84.6400,84.6900,84.6200,84.6900,34281
="2019-11-04",10.27.00,84.7000,84.7000,84.6600,84.6700,15433
="2019-11-04",10.28.00,84.6700,84.6700,84.6200,84.6500,5086
="2019-11-04",10.29.00,84.6200,84.6400,84.5900,84.5950,14421
="2019-11-04",10.30.00,84.6000,84.6100,84.5600,84.6000,9579
="2019-11-04",10.31.00,84.6100,84.6100,84.5600,84.5750,6773
="2019-11-04",10.32.00,84.5900,84.6000,84.5500,84.5500,6094
="2019-11-04",10.33.00,84.5500,84.5500,84.4500,84.4854,54240
="2019-11-04",10.34.00,84.4850,84.5425,84.4850,84.5200,31361
="2019-11-04",10.35.00,84.5200,84.5700,84.5000,84.5600,7052
="2019-11-04",10.36.00,84.5650,84.6500,84.5600,84.6154,24308
="2019-11-04",10.37.00,84.6150,84.6400,84.5500,84.5500,21475
="2019-11-04",10.38.00,84.5600,84.6500,84.5600,84.6300,34914
="2019-11-04",10.39.00,84.6250,84.6600,84.5800,84.5800,45945
="2019-11-04",10.40.00,84.5950,84.5950,84.4300,84.4300,48131
="2019-11-04",10.41.00,84.4200,84.4300,84.3700,84.3750,34536
="2019-11-04",10.42.00,84.3600,84.3600,84.3082,84.3250,9455
="2019-11-04",10.43.00,84.3300,84.5000,84.3300,84.4900,61429
="2019-11-04",10.44.00,84.4800,84.6500,84.4800,84.6000,28172
="2019-11-04",10.45.00,84.6000,84.6500,84.6000,84.6350,8818
="2019-11-04",10.46.00,84.6400,84.6900,84.5501,84.5501,15744
="2019-11-04",10.47.00,84.5287,84.5900,84.5000,84.5900,8872
="2019-11-04",10.48.00,84.6000,84.6100,84.5501,84.5800,11598
="2019-11-04",10.49.00,84.5900,84.6500,84.5850,84.6233,10177
="2019-11-04",10.50.00,84.6200,84.6500,84.6200,84.6300,8392
="2019-11-04",10.51.00,84.6400,84.6500,84.6100,84.6250,12942
="2019-11-04",10.52.00,84.6250,84.6500,84.6100,84.6350,12054
="2019-11-04",10.53.00,84.6300,84.6500,84.6050,84.6275,8509
="2019-11-04",10.54.00,84.6250,84.6500,84.6200,84.6450,19809
="2019-11-04",10.55.00,84.6400,84.6500,84.5950,84.6300,12708
="2019-11-04",10.56.00,84.6300,84.6300,84.5392,84.5600,8517
="2019-11-04",10.57.00,84.5700,84.5990,84.5601,84.5800,6910
="2019-11-04",10.58.00,84.5900,84.6200,84.5800,84.6200,5300
="2019-11-04",10.59.00,84.6300,84.6600,84.6100,84.6300,7250
="2019-11-04",11.00.00,84.6208,84.6800,84.6208,84.6500,14219
="2019-11-04",11.01.00,84.6600,84.6626,84.6400,84.6500,15841
="2019-11-04",11.02.00,84.6500,84.6500,84.6250,84.6450,11236
="2019-11-04",11.03.00,84.6500,84.7000,84.6456,84.7000,23192
="2019-11-04",11.04.00,84.6999,84.7500,84.6999,84.7299,10759
="2019-11-04",11.05.00,84.7300,84.7600,84.7200,84.7300,10625
="2019-11-04",11.06.00,84.7350,84.7500,84.6900,84.7000,20685
="2019-11-04",11.07.00,84.7000,84.7200,84.6900,84.7100,6235
="2019-11-04",11.08.00,84.7000,84.7050,84.6791,84.7000,6204
="2019-11-04",11.09.00,84.7000,84.7050,84.6650,84.6800,6380
="2019-11-04",11.10.00,84.6810,84.7700,84.6810,84.7700,4619
="2019-11-04",11.11.00,84.7800,84.7800,84.7500,84.7540,4943
="2019-11-04",11.12.00,84.7500,84.7800,84.7500,84.7600,10520
="2019-11-04",11.13.00,84.7600,84.7800,84.7350,84.7400,5146
="2019-11-04",11.14.00,84.7325,84.7325,84.7050,84.7050,6306
="2019-11-04",11.15.00,84.7050,84.7600,84.7050,84.7600,5015
="2019-11-04",11.16.00,84.7700,84.8200,84.7500,84.7500,8712
="2019-11-04",11.17.00,84.7400,84.7700,84.7400,84.7700,4634
="2019-11-04",11.18.00,84.7600,84.7700,84.7300,84.7300,6949
="2019-11-04",11.19.00,84.7299,84.7600,84.7299,84.7450,5357
="2019-11-04",11.20.00,84.7500,84.7600,84.7300,84.7400,3986
="2019-11-04",11.21.00,84.7400,84.7750,84.7400,84.7520,4252
="2019-11-04",11.22.00,84.7500,84.7500,84.7300,84.7300,6153
="2019-11-04",11.23.00,84.7125,84.7300,84.6350,84.6350,11190
="2019-11-04",11.24.00,84.6400,84.6500,84.5900,84.5900,43167
="2019-11-04",11.25.00,84.5800,84.6000,84.5800,84.5950,7117
="2019-11-04",11.26.00,84.5950,84.6600,84.5850,84.6600,6292
="2019-11-04",11.27.00,84.6700,84.6800,84.6300,84.6300,7669
="2019-11-04",11.28.00,84.6400,84.6800,84.6400,84.6800,10601
="2019-11-04",11.29.00,84.6700,84.6700,84.6241,84.6450,4266
="2019-11-04",11.30.00,84.6500,84.6723,84.6500,84.6500,58516
="2019-11-04",11.31.00,84.6450,84.7100,84.6400,84.6500,17187
="2019-11-04",11.32.00,84.6500,84.6850,84.6500,84.6700,7907
="2019-11-04",11.33.00,84.6700,84.6800,84.6201,84.6682,22592
="2019-11-04",11.34.00,84.6700,84.6700,84.5701,84.5769,8464
="2019-11-04",11.35.00,84.5800,84.6000,84.5200,84.5300,12282
="2019-11-04",11.36.00,84.5300,84.5300,84.5000,84.5200,4839
="2019-11-04",11.37.00,84.5200,84.5200,84.4500,84.4500,13927
="2019-11-04",11.38.00,84.4600,84.4600,84.4100,84.4210,6633
="2019-11-04",11.39.00,84.4200,84.4400,84.3900,84.4400,9584
="2019-11-04",11.40.00,84.4350,84.4900,84.4350,84.4400,8864
="2019-11-04",11.41.00,84.4500,84.4700,84.4300,84.4500,5938
="2019-11-04",11.42.00,84.4616,84.5100,84.4596,84.5100,4323
="2019-11-04",11.43.00,84.5050,84.5050,84.4500,84.4900,8985
="2019-11-04",11.44.00,84.4900,84.5300,84.4900,84.5300,4602
="2019-11-04",11.45.00,84.5400,84.5450,84.4800,84.4800,12327
="2019-11-04",11.46.00,84.4800,84.5300,84.4700,84.4700,8165
="2019-11-04",11.47.00,84.4735,84.4800,84.4600,84.4800,8589
="2019-11-04",11.48.00,84.4750,84.5600,84.4750,84.5600,8182
="2019-11-04",11.49.00,84.5550,84.5800,84.5500,84.5650,3456
="2019-11-04",11.50.00,84.5600,84.6400,84.5418,84.6300,9684
="2019-11-04",11.51.00,84.6350,84.6540,84.6350,84.6400,6055
="2019-11-04",11.52.00,84.6420,84.6600,84.6300,84.6600,5171
="2019-11-04",11.53.00,84.6550,84.6550,84.6000,84.6210,4848
="2019-11-04",11.54.00,84.6254,84.6650,84.6250,84.6650,21951
="2019-11-04",11.55.00,84.6700,84.7050,84.6600,84.6800,31405
="2019-11-04",11.56.00,84.6800,84.7000,84.6350,84.6450,12987
="2019-11-04",11.57.00,84.6500,84.6500,84.5900,84.5900,7633
="2019-11-04",11.58.00,84.6000,84.6200,84.5600,84.5750,16510
="2019-11-04",11.59.00,84.5800,84.6800,84.5800,84.6700,6383
="2019-11-04",12.00.00,84.6650,84.6800,84.6500,84.6600,12985
="2019-11-04",12.01.00,84.6500,84.6500,84.6100,84.6100,6289
="2019-11-04",12.02.00,84.6000,84.6300,84.6000,84.6200,6199
="2019-11-04",12.03.00,84.6250,84.6700,84.6200,84.6650,3943
