date,time,open,high,low,close,volume
="2019-11-04",08.30.00,147.1500,147.7999,147.1500,147.7201,259279
="2019-11-04",08.31.00,147.7900,148.8000,147.7900,148.7001,156221
="2019-11-04",08.32.00,148.7455,148.9894,148.1587,148.2555,85005
="2019-11-04",08.33.00,148.2100,148.3499,147.6550,147.6550,55390
="2019-11-04",08.34.00,147.6510,147.8300,147.6510,147.8300,55918
="2019-11-04",08.35.00,146.4924,146.4924,146.0000,146.0000,229302
="2019-11-04",08.36.00,146.0200,146.8400,146.0200,146.8400,108883
="2019-11-04",08.37.00,146.7369,146.9800,146.7121,146.9800,111292
="2019-11-04",08.39.00,146.2300,146.2300,146.2300,146.2300,77986
="2019-11-04",08.42.00,145.9000,145.9000,145.7300,145.7300,286485
="2019-11-04",08.43.00,146.3000,146.3000,146.3000,146.3000,51182
="2019-11-04",08.44.00,146.2491,146.2491,145.9500,145.9500,31568
="2019-11-04",08.45.00,145.8801,146.0550,145.2354,145.2500,73505
="2019-11-04",08.46.00,145.5200,145.5200,145.0400,145.0400,64630
="2019-11-04",08.47.00,145.0980,145.5800,145.0980,145.5800,130126
="2019-11-04",08.48.00,145.3200,145.6899,145.3200,145.5099,46525
="2019-11-04",08.49.00,145.4684,145.4684,145.1673,145.1673,28709
="2019-11-04",08.50.00,145.1770,145.5900,145.1770,145.5900,62851
="2019-11-04",08.51.00,145.6499,145.7008,145.6499,145.6903,61511
="2019-11-04",08.52.00,145.8400,145.8400,145.7300,145.7300,45213
="2019-11-04",08.53.00,145.6700,145.6700,145.2400,145.2400,80424
="2019-11-04",08.54.00,145.1308,145.1308,144.8421,144.8421,80416
="2019-11-04",08.55.00,144.8600,144.8600,144.2700,144.3100,119295
="2019-11-04",08.56.00,144.0700,144.6100,144.0700,144.6100,216903
="2019-11-04",08.57.00,144.7100,144.7154,144.7100,144.7154,118868
="2019-11-04",08.58.00,144.7100,144.7100,144.1789,144.1789,46842
="2019-11-04",08.59.00,144.1800,144.3400,143.9800,144.2700,69545
="2019-11-04",09.00.00,144.0650,144.5399,144.0650,144.5399,55194
="2019-11-04",09.01.00,144.4854,144.5615,143.6300,143.7546,103647
="2019-11-04",09.02.00,143.7928,144.3335,143.7130,144.1538,64259
="2019-11-04",09.03.00,144.0601,144.1900,143.6601,143.7782,35848
="2019-11-04",09.04.00,143.7790,144.2000,143.7006,144.1000,62767
="2019-11-04",09.05.00,144.1500,144.2000,144.0000,144.0625,29358
="2019-11-04",09.06.00,144.1200,144.2000,143.6140,143.7299,60332
="2019-11-04",09.07.00,143.6060,144.5890,143.5179,144.4075,135054
="2019-11-04",09.08.00,144.3821,144.5150,144.2001,144.2001,78444
="2019-11-04",09.09.00,144.2000,144.4000,143.3300,144.1100,175724
="2019-11-04",09.10.00,144.1237,144.4899,143.2987,143.5238,104975
="2019-11-04",09.11.00,143.5428,143.7614,142.9124,142.9629,176813
="2019-11-04",09.12.00,143.0037,143.0281,142.3500,142.3539,160240
="2019-11-04",09.13.00,142.3552,143.0027,142.2520,142.3951,129707
="2019-11-04",09.14.00,142.3923,142.9327,142.2431,142.8113,148099
="2019-11-04",09.15.00,142.8100,143.3300,142.5000,142.5000,236750
="2019-11-04",09.16.00,142.4100,142.7399,142.3000,142.6900,56811
="2019-11-04",09.17.00,142.5600,142.9700,142.5000,142.8500,37613
="2019-11-04",09.18.00,142.8100,143.0100,142.5000,142.6300,69241
="2019-11-04",09.19.00,142.6938,142.8283,141.7772,141.9457,154816
="2019-11-04",09.20.00,141.8928,142.0017,140.9308,141.0028,228322
="2019-11-04",09.21.00,141.0560,141.2222,140.4716,140.9053,224807
="2019-11-04",09.22.00,141.0051,141.3312,140.2602,140.4051,321022
="2019-11-04",09.23.00,140.4150,140.9900,140.3000,140.8832,106197
="2019-11-04",09.24.00,140.8698,141.3800,140.8501,141.2699,116951
="2019-11-04",09.25.00,141.2304,141.2600,140.3500,140.3580,102985
="2019-11-04",09.26.00,140.3307,141.2000,140.3300,141.1844,148059
="2019-11-04",09.27.00,141.2000,141.7199,141.2000,141.6110,126878
="2019-11-04",09.28.00,141.5991,141.6899,141.2300,141.2650,60138
="2019-11-04",09.29.00,141.2928,141.7553,141.0209,141.0768,138961
="2019-11-04",09.30.00,141.0600,141.6200,140.9600,141.1300,76111
="2019-11-04",09.31.00,141.1300,141.3697,140.6501,140.7018,62732
="2019-11-04",09.32.00,140.6750,141.3700,140.6500,141.2050,91325
="2019-11-04",09.33.00,141.1896,141.3474,140.8569,140.8710,48986
="2019-11-04",09.34.00,140.8500,140.9300,140.2500,140.3200,83609
="2019-11-04",09.35.00,140.3056,140.5265,139.4034,139.7176,291098
="2019-11-04",09.36.00,139.7006,140.1900,139.3400,139.4500,121322
="2019-11-04",09.37.00,139.4500,139.7094,139.0800,139.1600,111255
="2019-11-04",09.38.00,139.1968,139.5398,139.1100,139.4300,103169
="2019-11-04",09.39.00,139.4352,140.0911,139.2304,139.2952,207662
="2019-11-04",09.40.00,139.4008,140.0800,139.3000,139.6801,120621
="2019-11-04",09.41.00,139.8123,140.2013,139.7409,139.9583,93036
="2019-11-04",09.42.00,139.9450,140.5700,139.9100,140.2404,116104
="2019-11-04",09.43.00,140.2800,140.2800,139.7500,139.7505,67850
="2019-11-04",09.44.00,139.7500,140.1500,139.6600,139.7960,54597
="2019-11-04",09.45.00,139.7400,140.6300,139.7400,140.4600,105416
="2019-11-04",09.46.00,140.3900,140.6200,140.0200,140.0400,92049
="2019-11-04",09.47.00,140.0500,140.7700,140.0000,140.6399,79385
="2019-11-04",09.48.00,140.7200,140.7499,140.3660,140.3666,70440
="2019-11-04",09.49.00,140.3452,140.6405,139.8798,139.9249,86437
="2019-11-04",09.50.00,139.9223,140.3014,139.6208,140.1693,151652
="2019-11-04",09.51.00,140.2345,140.5366,140.1062,140.2145,28465
="2019-11-04",09.52.00,140.2659,140.6652,139.9346,140.0459,57115
="2019-11-04",09.53.00,140.0400,140.1400,139.8100,139.9350,40508
="2019-11-04",09.54.00,139.9367,140.2675,139.2164,139.2586,140608
="2019-11-04",09.55.00,139.2300,139.5300,139.1700,139.3600,83639
="2019-11-04",09.56.00,139.3737,139.5351,138.6943,138.8836,153071
="2019-11-04",09.57.00,138.8254,139.1000,137.8000,137.8300,200536
="2019-11-04",09.58.00,137.9201,138.3660,137.6889,137.8337,193169
="2019-11-04",09.59.00,137.8000,137.9000,137.6200,137.7800,59356
="2019-11-04",10.00.00,137.8136,138.2138,137.5832,137.8886,159264
="2019-11-04",10.01.00,137.8727,138.5990,137.6984,138.3927,160189
="2019-11-04",10.02.00,138.4652,138.8200,138.2694,138.5290,87834
="2019-11-04",10.03.00,138.5310,139.2593,138.5086,138.9896,110259
="2019-11-04",10.04.00,138.9703,139.3005,138.9302,139.1143,58755
="2019-11-04",10.05.00,139.1499,139.5557,139.0952,139.1639,66874
="2019-11-04",10.06.00,139.1058,139.2805,138.8334,138.8857,41502
="2019-11-04",10.07.00,138.8450,139.4200,138.7500,138.9199,48719
="2019-11-04",10.08.00,138.8240,139.0400,138.7000,138.7000,34013
="2019-11-04",10.09.00,138.8027,139.0031,138.6442,138.8722,27297
="2019-11-04",10.10.00,138.8701,139.4140,138.7800,139.2800,37188
="2019-11-04",10.12.00,139.6000,139.9439,139.5000,139.6700,237050
="2019-11-04",10.14.00,139.4100,139.4100,139.4100,139.4100,91614
="2019-11-04",10.15.00,139.4310,139.6000,139.4310,139.6000,19516
="2019-11-04",10.17.00,139.2017,140.3000,139.2000,140.0100,231333
="2019-11-04",10.18.00,140.0100,140.3600,139.8200,139.9000,49008
="2019-11-04",10.19.00,139.8900,140.2200,139.7500,139.8100,63369
="2019-11-04",10.20.00,139.7689,139.8105,139.4200,139.4200,44798
="2019-11-04",10.21.00,139.4736,139.6296,139.2893,139.4450,58849
="2019-11-04",10.22.00,139.4523,139.8010,138.9202,139.0933,81718
="2019-11-04",10.23.00,139.0450,139.1100,138.7600,138.8380,59536
="2019-11-04",10.24.00,138.8506,139.3233,138.8201,139.0700,43357
="2019-11-04",10.25.00,139.1499,139.3000,139.0371,139.1700,21626
="2019-11-04",10.26.00,139.1800,139.4000,139.1500,139.2600,34086
="2019-11-04",10.27.00,139.2600,139.4400,139.2100,139.4100,32058
="2019-11-04",10.28.00,139.4137,139.6852,139.4050,139.5536,18689
="2019-11-04",10.29.00,139.5546,139.6681,138.9000,138.9186,50077
="2019-11-04",10.30.00,138.9100,138.9900,138.7602,138.8800,33796
="2019-11-04",10.31.00,138.8500,139.4359,138.8400,139.2900,53340
="2019-11-04",10.32.00,139.2600,139.3000,139.0800,139.0800,14554
="2019-11-04",10.33.00,139.0300,139.1899,139.0000,139.0000,22412
="2019-11-04",10.34.00,139.0056,139.4247,138.9130,139.1056,56218
="2019-11-04",10.35.00,139.1200,139.4400,139.1200,139.3999,29461
="2019-11-04",10.36.00,139.4000,139.8600,139.3932,139.7500,69571
="2019-11-04",10.37.00,139.7700,139.7700,139.4700,139.5954,30482
="2019-11-04",10.38.00,139.6305,139.8099,139.5097,139.6942,21199
="2019-11-04",10.39.00,139.6900,139.6973,139.5600,139.6137,13319
="2019-11-04",10.40.00,139.6263,139.8500,139.5390,139.5600,39388
="2019-11-04",10.41.00,139.5100,139.6700,139.2200,139.2700,78631
="2019-11-04",10.42.00,139.2000,139.8500,139.1801,139.8300,108574
="2019-11-04",10.43.00,139.8500,140.2000,139.8201,139.9117,70684
="2019-11-04",10.44.00,139.8600,139.9800,139.7201,139.7201,50042
="2019-11-04",10.45.00,139.7458,140.1600,139.7200,140.1046,49345
="2019-11-04",10.46.00,140.1000,140.4200,140.0700,140.2000,71123
="2019-11-04",10.47.00,140.1627,140.3304,139.9702,140.1146,47722
="2019-11-04",10.48.00,140.1000,140.2500,139.9100,139.9100,31271
="2019-11-04",10.49.00,139.9250,140.1700,139.8800,140.0800,26459
="2019-11-04",10.50.00,140.1500,140.6100,140.0300,140.3783,83758
="2019-11-04",10.51.00,140.3900,140.5600,140.2400,140.3300,60936
="2019-11-04",10.52.00,140.3720,140.4000,140.0800,140.0950,39375
="2019-11-04",10.53.00,140.0701,140.2200,139.9500,139.9748,38936
="2019-11-04",10.54.00,139.9700,140.1200,139.9700,139.9800,29114
="2019-11-04",10.55.00,139.9836,140.1155,139.7853,139.9437,25409
="2019-11-04",10.56.00,139.9800,140.3356,139.9800,140.2700,44374
="2019-11-04",10.57.00,140.2205,140.4000,140.0800,140.0800,38229
="2019-11-04",10.58.00,140.1133,140.2602,139.8898,139.9550,35601
="2019-11-04",10.59.00,139.9000,140.1000,139.7100,140.0000,42252
="2019-11-04",11.00.00,140.0300,140.3800,139.9800,140.1738,62726
="2019-11-04",11.01.00,140.2000,140.2999,140.0200,140.0853,23206
="2019-11-04",11.02.00,140.0500,140.1792,139.9500,140.0770,15235
="2019-11-04",11.03.00,140.0100,140.1574,139.9800,140.0400,15392
="2019-11-04",11.04.00,140.0685,140.3299,140.0301,140.2900,27441
="2019-11-04",11.05.00,140.2701,140.5899,140.2100,140.2300,33085
="2019-11-04",11.06.00,140.2564,140.4144,140.0641,140.0955,36436
="2019-11-04",11.07.00,140.0260,140.0600,139.8601,139.9783,13648
="2019-11-04",11.08.00,139.8900,139.9655,139.8600,139.9018,11901
="2019-11-04",11.09.00,139.8600,139.8600,139.1300,139.1872,87467
="2019-11-04",11.10.00,139.2000,139.3900,139.1435,139.3088,42575
="2019-11-04",11.11.00,139.3690,139.5996,139.3394,139.4250,43374
="2019-11-04",11.12.00,139.4423,139.7109,139.3806,139.3823,39813
="2019-11-04",11.13.00,139.3600,139.4046,139.2100,139.2100,16782
="2019-11-04",11.14.00,139.2000,139.2137,139.0200,139.0400,33020
