date,time,open,high,low,close,volume
="2019-11-04",08.30.00,31.4500,31.4600,31.2900,31.2900,548392
="2019-11-04",08.31.00,31.3100,31.4700,31.3000,31.4500,105525
="2019-11-04",08.32.00,31.4500,31.5800,31.4352,31.5350,160298
="2019-11-04",08.33.00,31.5411,31.6193,31.5193,31.5611,161580
="2019-11-04",08.34.00,31.5500,31.6300,31.5500,31.6000,128344
="2019-11-04",08.35.00,31.7300,31.7500,31.6100,31.6201,310939
="2019-11-04",08.36.00,31.6266,31.6704,31.5203,31.5213,119279
="2019-11-04",08.37.00,31.5113,31.5704,31.4801,31.5313,220740
="2019-11-04",08.39.00,30.7050,30.7100,30.6600,30.6800,414709
="2019-11-04",08.42.00,30.2500,30.4800,30.2500,30.4300,1238875
="2019-11-04",08.43.00,30.5965,30.6866,30.5364,30.6505,186600
="2019-11-04",08.44.00,30.6510,30.6998,30.5297,30.5310,86742
="2019-11-04",08.45.00,30.5313,30.6895,30.5293,30.6513,62632
="2019-11-04",08.46.00,30.6462,30.8896,30.6293,30.7912,162595
="2019-11-04",08.47.00,30.7860,30.8502,30.7301,30.8010,106847
="2019-11-04",08.48.00,30.8000,31.0400,30.8000,30.9100,231206
="2019-11-04",08.49.00,30.9200,30.9400,30.6200,30.6200,163570
="2019-11-04",08.50.00,30.6033,30.7688,30.5786,30.5811,133933
="2019-11-04",08.51.00,30.5500,30.6000,30.5300,30.5400,119601
="2019-11-04",08.52.00,30.5400,30.5400,30.4000,30.4000,236906
="2019-11-04",08.53.00,30.4010,30.4307,30.3395,30.3410,200824
="2019-11-04",08.54.00,30.3463,30.4292,30.2991,30.3763,200378
="2019-11-04",08.55.00,30.3800,30.5000,30.3799,30.4200,102356
="2019-11-04",08.56.00,30.4200,30.4800,30.3600,30.3600,48031
="2019-11-04",08.57.00,30.3800,30.4800,30.3700,30.4350,61871
="2019-11-04",08.58.00,30.4400,30.4800,30.4200,30.4200,46769
="2019-11-04",08.59.00,30.4200,30.5300,30.4000,30.5000,85491
="2019-11-04",09.00.00,30.5100,30.5500,30.4500,30.4500,80653
="2019-11-04",09.01.00,30.4400,30.5300,30.4300,30.4500,66024
="2019-11-04",09.02.00,30.4569,30.5300,30.4200,30.4300,95500
="2019-11-04",09.03.00,30.4311,30.4735,30.3985,30.4111,102915
="2019-11-04",09.04.00,30.4111,30.4533,30.3632,30.3711,77479
