date,time,open,high,low,close,volume
="2019-11-04",08.30.00,19.1905,19.2186,19.1185,19.1205,3649023
="2019-11-04",08.31.00,19.1308,19.2667,19.1300,19.2332,439306
="2019-11-04",08.32.00,19.2300,19.2800,19.2200,19.2600,225779
="2019-11-04",08.33.00,19.2699,19.3500,19.2600,19.3365,199742
="2019-11-04",08.34.00,19.3363,19.4068,19.3267,19.3903,262138
="2019-11-04",08.35.00,19.4308,19.4700,19.4100,19.4182,399260
="2019-11-04",08.36.00,19.4101,19.4678,19.4100,19.4300,139701
="2019-11-04",08.37.00,19.4300,19.4699,19.4200,19.4271,85422
="2019-11-04",08.39.00,19.3742,19.3750,19.3700,19.3701,232262
="2019-11-04",08.42.00,19.4408,19.4781,19.4080,19.4307,880619
="2019-11-04",08.43.00,19.4350,19.4400,19.4000,19.4004,255394
="2019-11-04",08.44.00,19.4056,19.4689,19.3989,19.4206,164865
="2019-11-04",08.45.00,19.4128,19.4800,19.4100,19.4100,136221
="2019-11-04",08.46.00,19.4050,19.4500,19.4000,19.4365,172024
="2019-11-04",08.47.00,19.4398,19.4398,19.3700,19.3713,265730
="2019-11-04",08.48.00,19.3700,19.4000,19.3100,19.3700,223911
="2019-11-04",08.49.00,19.3700,19.4100,19.3700,19.3900,89516
="2019-11-04",08.50.00,19.3800,19.4600,19.3800,19.4499,118732
="2019-11-04",08.51.00,19.4500,19.4600,19.4000,19.4100,94146
="2019-11-04",08.52.00,19.4103,19.4468,19.3668,19.3903,92053
="2019-11-04",08.53.00,19.3850,19.4100,19.3000,19.3005,131731
="2019-11-04",08.54.00,19.3108,19.3386,19.2285,19.2308,228447
="2019-11-04",08.55.00,19.2309,19.3185,19.2284,19.2609,175042
="2019-11-04",08.56.00,19.2620,19.3190,19.2389,19.2485,115708
="2019-11-04",08.57.00,19.2300,19.2800,19.2238,19.2238,67184
="2019-11-04",08.58.00,19.2305,19.2521,18.9283,18.9306,492592
="2019-11-04",08.59.00,18.9400,18.9700,18.8800,18.8900,216580
="2019-11-04",09.00.00,18.9000,19.0000,18.9000,18.9599,211332
="2019-11-04",09.01.00,18.9605,19.0484,18.8883,18.9591,180401
="2019-11-04",09.02.00,18.9404,19.0150,18.9149,18.9703,100825
="2019-11-04",09.03.00,18.9600,18.9771,18.7303,18.7407,305356
="2019-11-04",09.04.00,18.7500,18.8900,18.7500,18.8796,98524
="2019-11-04",09.05.00,18.8803,18.9264,18.8463,18.8603,81408
="2019-11-04",09.06.00,18.8706,18.9984,18.8683,18.9707,88550
="2019-11-04",09.07.00,18.9708,19.0683,18.9682,18.9907,211536
="2019-11-04",09.08.00,18.9900,19.0500,18.9800,19.0377,74894
="2019-11-04",09.09.00,19.0354,19.0500,18.9741,18.9799,78258
="2019-11-04",09.10.00,18.9507,19.0184,18.9283,18.9705,49239
="2019-11-04",09.11.00,18.9844,19.0000,18.9700,18.9700,83560
="2019-11-04",09.12.00,18.9807,19.0378,18.9678,19.0107,83355
="2019-11-04",09.13.00,19.0109,19.0577,19.0076,19.0290,55027
="2019-11-04",09.14.00,19.0303,19.0965,19.0064,19.0103,128702
="2019-11-04",09.15.00,19.0200,19.0500,19.0200,19.0435,19278
="2019-11-04",09.16.00,19.0401,19.0604,18.9700,18.9800,90753
="2019-11-04",09.17.00,18.9899,19.0200,18.9100,18.9200,56809
="2019-11-04",09.18.00,18.9206,18.9586,18.8385,18.9204,176674
="2019-11-04",09.19.00,18.9105,18.9283,18.8711,18.8805,37585
="2019-11-04",09.20.00,18.8805,18.9049,18.8348,18.8534,48822
="2019-11-04",09.21.00,18.8457,18.8677,18.7576,18.8505,183249
="2019-11-04",09.22.00,18.8301,18.9000,18.8200,18.8800,69662
="2019-11-04",09.23.00,18.8803,18.9164,18.8563,18.8903,61992
="2019-11-04",09.24.00,18.8878,18.9384,18.8784,18.9106,59407
="2019-11-04",09.25.00,18.8906,18.9100,18.8700,18.8800,27111
="2019-11-04",09.26.00,18.8807,18.9181,18.8280,18.8408,42327
="2019-11-04",09.27.00,18.8600,18.9100,18.8400,18.8500,125068
="2019-11-04",09.28.00,18.8500,18.8700,18.7700,18.7800,139766
="2019-11-04",09.29.00,18.7703,18.7848,18.7147,18.7264,125385
="2019-11-04",09.30.00,18.7250,18.8399,18.7200,18.8399,70330
="2019-11-04",09.31.00,18.8407,18.8775,18.8335,18.8507,50357
="2019-11-04",09.32.00,18.8400,18.8600,18.8100,18.8116,43414
="2019-11-04",09.33.00,18.8101,18.8300,18.7914,18.7999,27617
="2019-11-04",09.34.00,18.7901,18.9199,18.7901,18.9199,71445
="2019-11-04",09.35.00,18.9062,18.9682,18.8981,18.9352,57721
="2019-11-04",09.36.00,18.9306,18.9586,18.9287,18.9406,47446
="2019-11-04",09.37.00,18.9300,18.9600,18.9300,18.9400,33739
="2019-11-04",09.38.00,18.9200,18.9600,18.9200,18.9500,40074
="2019-11-04",09.39.00,18.9600,19.0200,18.9600,19.0078,107168
="2019-11-04",09.40.00,19.0000,19.0400,19.0000,19.0100,115293
="2019-11-04",09.41.00,19.0100,19.0500,19.0000,19.0046,75438
="2019-11-04",09.42.00,19.0100,19.0400,19.0100,19.0200,81429
="2019-11-04",09.43.00,19.0295,19.0300,18.9700,18.9750,66565
="2019-11-04",09.44.00,18.9820,19.0286,18.9700,19.0201,29253
="2019-11-04",09.45.00,19.0206,19.0587,19.0186,19.0306,34326
