="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,257.3300,257.7200,257.1000,257.5800,1597539
="2019-11-04",08.31.00,257.6110,257.6199,256.9900,257.0654,356934
="2019-11-04",08.32.00,257.0796,257.4709,257.0306,257.1496,275361
="2019-11-04",08.33.00,257.1100,257.4300,257.0900,257.3500,193406
="2019-11-04",08.34.00,257.6000,257.6000,257.6000,257.6000,237769
="2019-11-04",08.35.00,257.6200,257.6800,257.6200,257.6800,239442
="2019-11-04",08.36.00,257.6446,257.6446,257.0900,257.0900,307569
="2019-11-04",08.37.00,257.1250,257.3376,257.0600,257.3376,207270
="2019-11-04",08.38.00,257.3800,257.4400,257.3800,257.4400,136452
="2019-11-04",08.39.00,257.3851,257.6500,257.2700,257.6500,155701
="2019-11-04",08.40.00,257.6200,257.6200,257.3900,257.5400,176311
="2019-11-04",08.41.00,257.5600,257.5600,257.4800,257.4900,74849
="2019-11-04",08.42.00,257.4750,257.5549,257.4040,257.4040,132642
="2019-11-04",08.43.00,257.3900,257.3900,257.0900,257.2660,158192
="2019-11-04",08.44.00,257.1200,257.1200,256.6800,256.6800,301334
="2019-11-04",08.45.00,256.6800,256.6800,256.5300,256.5400,199602
="2019-11-04",08.46.00,256.5400,256.8900,256.5400,256.8900,162131
="2019-11-04",08.47.00,256.8600,256.9000,256.7300,256.9000,87621
="2019-11-04",08.48.00,256.9400,257.1360,256.9400,257.1360,176208
="2019-11-04",08.49.00,257.0600,257.0875,256.6501,256.6501,136684
="2019-11-04",08.50.00,256.6800,256.6800,256.5100,256.5100,202413
="2019-11-04",08.51.00,256.5100,256.5100,256.3100,256.3100,141998
="2019-11-04",08.52.00,256.2100,256.2300,256.1700,256.1700,164988
="2019-11-04",08.53.00,256.1100,256.1100,255.8785,255.8785,248102
="2019-11-04",08.54.00,255.8600,255.9600,255.7969,255.7969,210324
="2019-11-04",08.55.00,255.7400,255.7400,255.4600,255.4600,242460
="2019-11-04",08.56.00,255.5300,256.2000,255.5300,256.2000,203449
="2019-11-04",08.57.00,256.1828,256.4094,256.1828,256.2000,231878
="2019-11-04",08.58.00,256.1967,256.4100,256.1967,256.4100,145969
="2019-11-04",08.59.00,256.3800,256.5500,256.2900,256.4700,92615
="2019-11-04",09.00.00,256.4602,256.8500,256.3701,256.8101,127769
="2019-11-04",09.01.00,256.8300,256.8600,256.5600,256.6278,134487
="2019-11-04",09.02.00,256.6300,256.7100,256.5101,256.7000,103989
="2019-11-04",09.03.00,256.7096,256.9405,256.5902,256.6696,119796
="2019-11-04",09.04.00,256.6590,256.7000,256.5000,256.6742,56061
="2019-11-04",09.05.00,256.6700,256.8000,256.6600,256.7100,74119
="2019-11-04",09.06.00,256.7100,257.1400,256.7100,256.8527,175344
="2019-11-04",09.07.00,256.8800,256.9300,256.7800,256.9200,82089
="2019-11-04",09.08.00,256.8900,256.9600,256.7501,256.8430,71816
="2019-11-04",09.09.00,256.8424,256.9300,256.5000,256.5500,118128
="2019-11-04",09.10.00,256.5700,256.9164,256.5700,256.8800,68598
="2019-11-04",09.11.00,256.8816,256.8900,256.7300,256.7400,50059
="2019-11-04",09.12.00,256.7400,256.7400,256.5400,256.6436,62222
="2019-11-04",09.13.00,256.6300,256.6300,256.4000,256.4450,80983
="2019-11-04",09.14.00,256.4450,256.4999,256.3610,256.3700,48839
="2019-11-04",09.15.00,256.3800,256.4799,256.3100,256.3917,73372
="2019-11-04",09.16.00,256.4069,256.5500,256.3300,256.4172,87609
