="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,35.1909,35.2341,35.094,35.1609,2204451
="2019-11-04",08.31.00,35.16,35.28,35.15,35.21,871419
="2019-11-04",08.32.00,35.22,35.32,35.205,35.265,698460
="2019-11-04",08.33.00,35.33,35.33,35.33,35.33,478664
="2019-11-04",08.34.00,35.25,35.28,35.25,35.28,306554
="2019-11-04",08.35.00,35.13,35.13,35.1275,35.1275,935743
="2019-11-04",08.36.00,35.115,35.115,35.035,35.035,628808
="2019-11-04",08.37.00,35.04,35.0749,35.02,35.02,371010
="2019-11-04",08.39.00,35.1697,35.1697,35.1697,35.1697,428480
="2019-11-04",08.42.00,35.04,35.04,34.973,34.973,1237218
="2019-11-04",08.43.00,35.01,35.01,35.0055,35.0055,365088
="2019-11-04",08.44.00,34.9867,34.9867,34.9451,34.96,313920
="2019-11-04",08.45.00,34.9299,34.9583,34.9299,34.9499,179554
="2019-11-04",08.46.00,34.94,34.945,34.94,34.945,514385
="2019-11-04",08.47.00,34.955,35.062,34.955,35.062,437282
="2019-11-04",08.48.00,35.0942,35.1063,35.07,35.1063,321773
="2019-11-04",08.49.00,35.105,35.105,35.05,35.05,207607
="2019-11-04",08.50.00,35.05,35.05,35,35,275054
="2019-11-04",08.51.00,35,35,34.987,34.987,230407
="2019-11-04",08.52.00,34.99,35.0024,34.98,35.0024,188915
="2019-11-04",08.53.00,35,35.045,35,35.0051,139226
="2019-11-04",08.54.00,35.0164,35.0164,35.0001,35.0001,118071
="2019-11-04",08.55.00,34.99,34.99,34.9701,34.9701,559361
="2019-11-04",08.56.00,34.9746,34.9852,34.97,34.9852,217258
="2019-11-04",08.57.00,35,35,34.96,34.96,198290
="2019-11-04",08.58.00,34.96,34.96,34.86,34.86,609664
="2019-11-04",08.59.00,34.86,34.96,34.85,34.95,369829
="2019-11-04",09.00.00,34.95,34.97,34.89,34.895,161801
="2019-11-04",09.01.00,34.89,34.95,34.89,34.92,349131
="2019-11-04",09.02.00,34.9307,34.9575,34.8374,34.8378,412218
="2019-11-04",09.03.00,34.8413,34.8726,34.7926,34.8113,481860
="2019-11-04",09.04.00,34.81,34.85,34.8,34.8397,261175
="2019-11-04",09.05.00,34.835,34.9,34.8176,34.825,202118
="2019-11-04",09.06.00,34.83,34.85,34.81,34.85,87121
="2019-11-04",09.07.00,34.8515,34.8935,34.8435,34.8461,161110
="2019-11-04",09.08.00,34.8499,34.9,34.8405,34.8898,168385
="2019-11-04",09.09.00,34.89,34.93,34.89,34.89,106596
="2019-11-04",09.10.00,34.885,34.9,34.88,34.9,153892
="2019-11-04",09.11.00,34.9,34.9,34.86,34.8662,138133
="2019-11-04",09.12.00,34.8631,34.88,34.83,34.83,221753
="2019-11-04",09.13.00,34.84,34.89,34.83,34.855,188521
="2019-11-04",09.14.00,34.86,34.87,34.8472,34.86,54012
="2019-11-04",09.15.00,34.8624,34.9039,34.8589,34.8611,62190
="2019-11-04",09.16.00,34.86,34.87,34.82,34.8218,48719
="2019-11-04",09.17.00,34.83,34.89,34.82,34.88,128584
="2019-11-04",09.18.00,34.88,34.97,34.88,34.945,288665
="2019-11-04",09.19.00,34.95,34.9899,34.9443,34.96,141620
="2019-11-04",09.20.00,34.9637,34.99,34.94,34.95,123742
="2019-11-04",09.21.00,34.95,34.99,34.9301,34.99,133891
="2019-11-04",09.22.00,34.98,34.99,34.96,34.97,97624
="2019-11-04",09.23.00,34.965,34.97,34.92,34.935,185796
="2019-11-04",09.24.00,34.93,34.9446,34.92,34.925,114472
="2019-11-04",09.25.00,34.9281,34.93,34.91,34.91,65472
="2019-11-04",09.26.00,34.9158,34.96,34.91,34.94,106831
="2019-11-04",09.27.00,34.94,35,34.94,35,254644
="2019-11-04",09.28.00,34.9946,35.07,34.9946,35.05,362584
="2019-11-04",09.29.00,35.05,35.105,35.05,35.09,318007
="2019-11-04",09.30.00,35.095,35.12,35.07,35.0844,248987
="2019-11-04",09.31.00,35.0839,35.095,35.05,35.08,194981
="2019-11-04",09.32.00,35.0856,35.1254,35.0703,35.0906,161608
="2019-11-04",09.33.00,35.09,35.1,35.07,35.08,107184
="2019-11-04",09.34.00,35.08,35.11,35.055,35.1,224965
="2019-11-04",09.35.00,35.1009,35.13,35.085,35.13,332942
="2019-11-04",09.36.00,35.13,35.16,35.125,35.15,362017
="2019-11-04",09.37.00,35.15,35.19,35.13,35.15,281439
="2019-11-04",09.38.00,35.1456,35.23,35.145,35.1999,355676
="2019-11-04",09.39.00,35.2,35.24,35.19,35.2101,198562
