="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,47.5012,47.5961,47.3659,47.3812,454210
="2019-11-04",08.31.00,47.3700,47.4600,47.3700,47.4300,41591
="2019-11-04",08.32.00,47.4400,47.5600,47.4400,47.5600,66222
="2019-11-04",08.33.00,47.5550,47.5550,47.5550,47.5550,53421
="2019-11-04",08.34.00,47.6200,47.6200,47.5800,47.5800,60188
="2019-11-04",08.35.00,47.6300,47.6300,47.5800,47.5800,107525
="2019-11-04",08.36.00,47.5850,47.5897,47.5850,47.5897,117059
="2019-11-04",08.37.00,47.6200,47.6350,47.6100,47.6350,69051
="2019-11-04",08.39.00,47.7135,47.7135,47.7135,47.7135,93371
="2019-11-04",08.42.00,47.7810,47.7810,47.7700,47.7700,285770
="2019-11-04",08.43.00,47.7700,47.7700,47.7700,47.7700,174124
="2019-11-04",08.44.00,47.7700,47.7700,47.6750,47.7042,124433
="2019-11-04",08.45.00,47.7400,47.7400,47.6650,47.6650,56660
="2019-11-04",08.46.00,47.6650,47.7100,47.6650,47.7100,32901
="2019-11-04",08.47.00,47.7500,47.7500,47.7450,47.7450,44297
="2019-11-04",08.48.00,47.8100,47.8600,47.8100,47.8200,116729
="2019-11-04",08.49.00,47.8100,47.8100,47.7701,47.7701,58099
="2019-11-04",08.50.00,47.7736,47.7800,47.7736,47.7800,48508
="2019-11-04",08.51.00,47.8200,47.8300,47.8200,47.8300,122699
="2019-11-04",08.52.00,47.8500,47.8500,47.8403,47.8403,77148
="2019-11-04",08.53.00,47.8550,47.8550,47.8400,47.8500,118853
="2019-11-04",08.54.00,47.8550,47.8550,47.8300,47.8300,121826
="2019-11-04",08.55.00,47.8250,47.8250,47.7950,47.7950,26041
="2019-11-04",08.56.00,47.7996,47.7996,47.7600,47.7600,55661
="2019-11-04",08.57.00,47.7650,47.7650,47.7300,47.7300,40665
="2019-11-04",08.58.00,47.7300,47.7400,47.7000,47.7100,49047
="2019-11-04",08.59.00,47.7200,47.7500,47.7100,47.7500,34641
="2019-11-04",09.00.00,47.7450,47.7900,47.7400,47.7850,51716
="2019-11-04",09.01.00,47.7900,47.8000,47.7300,47.7400,39744
="2019-11-04",09.02.00,47.7400,47.7400,47.6800,47.6850,46280
="2019-11-04",09.03.00,47.6800,47.6850,47.6144,47.6244,87554
="2019-11-04",09.04.00,47.6300,47.6500,47.6200,47.6450,31571
="2019-11-04",09.05.00,47.6400,47.6900,47.6400,47.6800,61689
="2019-11-04",09.06.00,47.6800,47.6900,47.6500,47.6600,18966
="2019-11-04",09.07.00,47.6500,47.6900,47.6500,47.6850,26194
="2019-11-04",09.08.00,47.6834,47.7300,47.6834,47.7300,28247
="2019-11-04",09.09.00,47.7300,47.7300,47.6810,47.6900,35770
="2019-11-04",09.10.00,47.6900,47.7600,47.6900,47.7570,54176
="2019-11-04",09.11.00,47.7600,47.7600,47.7200,47.7300,14856
="2019-11-04",09.12.00,47.7300,47.7400,47.7000,47.7300,23579
="2019-11-04",09.13.00,47.7250,47.7400,47.7248,47.7300,17603
="2019-11-04",09.14.00,47.7400,47.7400,47.7200,47.7200,16278
="2019-11-04",09.15.00,47.7250,47.7250,47.6950,47.6950,77774
="2019-11-04",09.16.00,47.6900,47.7000,47.6600,47.6950,31692
="2019-11-04",09.17.00,47.6900,47.6990,47.6600,47.6700,27228
="2019-11-04",09.18.00,47.6600,47.6900,47.6550,47.6800,18504
="2019-11-04",09.19.00,47.6800,47.6900,47.6500,47.6600,25102
="2019-11-04",09.20.00,47.6700,47.6900,47.6659,47.6900,25860
="2019-11-04",09.21.00,47.6900,47.7000,47.6503,47.7000,33000
="2019-11-04",09.22.00,47.6950,47.7150,47.6950,47.7100,13335
="2019-11-04",09.23.00,47.7078,47.7300,47.7000,47.7150,40205
="2019-11-04",09.24.00,47.7150,47.7200,47.7040,47.7150,20441
="2019-11-04",09.25.00,47.7100,47.7150,47.6900,47.6900,13302
="2019-11-04",09.26.00,47.6950,47.7700,47.6950,47.7700,63962
="2019-11-04",09.27.00,47.7700,47.8000,47.7700,47.8000,14146
="2019-11-04",09.28.00,47.7950,47.8000,47.7800,47.8000,27194
="2019-11-04",09.29.00,47.7942,47.8050,47.7900,47.8050,61749
="2019-11-04",09.30.00,47.8050,47.8100,47.7650,47.7850,92764
="2019-11-04",09.31.00,47.7844,47.8000,47.7800,47.7944,12583
="2019-11-04",09.32.00,47.8000,47.8000,47.7900,47.7950,15971
="2019-11-04",09.33.00,47.7900,47.8150,47.7900,47.8100,30352
="2019-11-04",09.34.00,47.8150,47.8300,47.8100,47.8150,37753
="2019-11-04",09.35.00,47.8125,47.8300,47.7950,47.8250,46702
="2019-11-04",09.36.00,47.8300,47.8469,47.8232,47.8232,32773
="2019-11-04",09.37.00,47.8275,47.8400,47.8200,47.8350,12997
="2019-11-04",09.38.00,47.8350,47.8400,47.8200,47.8294,15896
="2019-11-04",09.39.00,47.8250,47.8260,47.7900,47.7900,49866
="2019-11-04",09.40.00,47.7950,47.8000,47.7900,47.8000,64525
="2019-11-04",09.41.00,47.7900,47.7900,47.7800,47.7850,15495
="2019-11-04",09.42.00,47.7850,47.8000,47.7800,47.7800,30192
="2019-11-04",09.43.00,47.7800,47.7900,47.7550,47.7800,26874
="2019-11-04",09.44.00,47.7800,47.7800,47.7600,47.7700,29600
="2019-11-04",09.45.00,47.7700,47.7799,47.7200,47.7300,44410
="2019-11-04",09.46.00,47.7250,47.7400,47.7143,47.7143,24165
="2019-11-04",09.47.00,47.7179,47.7179,47.7001,47.7050,15106
="2019-11-04",09.48.00,47.7100,47.7200,47.6901,47.7100,28208
="2019-11-04",09.49.00,47.7100,47.7400,47.7100,47.7250,22719
="2019-11-04",09.50.00,47.7200,47.7250,47.7046,47.7050,10322
="2019-11-04",09.51.00,47.7032,47.7200,47.6935,47.7160,22074
="2019-11-04",09.52.00,47.7200,47.7200,47.7100,47.7185,5614
="2019-11-04",09.53.00,47.7150,47.7150,47.7000,47.7000,10215
="2019-11-04",09.54.00,47.6932,47.6995,47.6800,47.6900,9351
="2019-11-04",09.55.00,47.6842,47.6950,47.6600,47.6950,41251
="2019-11-04",09.56.00,47.6990,47.7000,47.6900,47.6986,11736
="2019-11-04",09.57.00,47.6950,47.7100,47.6850,47.6850,28876
="2019-11-04",09.58.00,47.6800,47.7050,47.6800,47.7050,18367
="2019-11-04",09.59.00,47.7000,47.7100,47.6900,47.6900,40179
="2019-11-04",10.00.00,47.6950,47.7050,47.6800,47.7000,44175
="2019-11-04",10.01.00,47.6950,47.7150,47.6900,47.7050,41113
="2019-11-04",10.02.00,47.7000,47.7500,47.7000,47.7400,39658
="2019-11-04",10.03.00,47.7400,47.7700,47.7400,47.7499,65724
="2019-11-04",10.04.00,47.7400,47.7500,47.7222,47.7228,18007
="2019-11-04",10.05.00,47.7300,47.7300,47.7150,47.7200,16806
="2019-11-04",10.06.00,47.7154,47.7200,47.7000,47.7066,13780
="2019-11-04",10.07.00,47.7100,47.7100,47.6900,47.6944,5864
="2019-11-04",10.08.00,47.7000,47.7000,47.6800,47.6900,14942
="2019-11-04",10.09.00,47.6900,47.7000,47.6700,47.7000,17918
="2019-11-04",10.10.00,47.7000,47.7000,47.6900,47.6950,2183
="2019-11-04",10.11.00,47.6800,47.6800,47.6800,47.6800,18492
="2019-11-04",10.12.00,47.6800,47.6800,47.6600,47.6700,8234
="2019-11-04",10.14.00,47.6550,47.6600,47.6500,47.6550,85514
="2019-11-04",10.17.00,47.6700,47.6800,47.6600,47.6800,60728
="2019-11-04",10.18.00,47.6700,47.6800,47.6600,47.6650,11606
="2019-11-04",10.19.00,47.6600,47.6600,47.6500,47.6550,7010
="2019-11-04",10.20.00,47.6580,47.6700,47.6500,47.6542,22884
="2019-11-04",10.21.00,47.6600,47.6600,47.6446,47.6500,23497
="2019-11-04",10.22.00,47.6500,47.6600,47.6500,47.6500,10038
="2019-11-04",10.23.00,47.6585,47.6700,47.6500,47.6548,22716
="2019-11-04",10.24.00,47.6539,47.6550,47.6300,47.6390,239904
="2019-11-04",10.25.00,47.6350,47.6400,47.6300,47.6400,11383
="2019-11-04",10.26.00,47.6356,47.6500,47.6300,47.6500,21055
="2019-11-04",10.27.00,47.6500,47.6600,47.6300,47.6300,23789
="2019-11-04",10.28.00,47.6300,47.6300,47.6200,47.6250,9689
="2019-11-04",10.29.00,47.6300,47.6300,47.6000,47.6200,32390
="2019-11-04",10.30.00,47.6200,47.6300,47.6100,47.6300,22208
="2019-11-04",10.31.00,47.6400,47.6583,47.6350,47.6500,13566
="2019-11-04",10.32.00,47.6550,47.6600,47.6500,47.6600,5845
="2019-11-04",10.33.00,47.6550,47.6800,47.6400,47.6799,31045
="2019-11-04",10.34.00,47.6700,47.6850,47.6500,47.6850,24492
="2019-11-04",10.35.00,47.6800,47.6800,47.6600,47.6650,8717
="2019-11-04",10.36.00,47.6600,47.6700,47.6600,47.6650,10175
="2019-11-04",10.37.00,47.6600,47.6700,47.6550,47.6566,18721
="2019-11-04",10.38.00,47.6530,47.6800,47.6530,47.6800,38067
="2019-11-04",10.39.00,47.6800,47.6900,47.6750,47.6800,8034
="2019-11-04",10.40.00,47.6800,47.6900,47.6750,47.6800,19374
="2019-11-04",10.41.00,47.6899,47.6899,47.6600,47.6700,23281
="2019-11-04",10.42.00,47.6785,47.6800,47.6600,47.6639,19680
="2019-11-04",10.43.00,47.6700,47.6700,47.6600,47.6650,8421
="2019-11-04",10.44.00,47.6600,47.6700,47.6600,47.6650,28006
="2019-11-04",10.45.00,47.6650,47.6787,47.6600,47.6700,33596
="2019-11-04",10.46.00,47.6700,47.6750,47.6600,47.6650,16355
="2019-11-04",10.47.00,47.6600,47.6650,47.6500,47.6600,27551
="2019-11-04",10.48.00,47.6670,47.6700,47.6600,47.6650,15695
="2019-11-04",10.49.00,47.6700,47.6963,47.6650,47.6963,11988
="2019-11-04",10.50.00,47.6971,47.6971,47.6800,47.6800,18545
="2019-11-04",10.51.00,47.6800,47.6900,47.6700,47.6700,21874
="2019-11-04",10.52.00,47.6700,47.6700,47.6600,47.6650,27027
="2019-11-04",10.53.00,47.6650,47.6900,47.6650,47.6754,26646
="2019-11-04",10.54.00,47.6700,47.6750,47.6600,47.6600,14625
="2019-11-04",10.55.00,47.6600,47.6700,47.6550,47.6650,29771
="2019-11-04",10.56.00,47.6650,47.6700,47.6416,47.6450,28443
="2019-11-04",10.57.00,47.6450,47.6500,47.6400,47.6400,6401
="2019-11-04",10.58.00,47.6415,47.6500,47.6300,47.6500,31014
="2019-11-04",10.59.00,47.6500,47.6500,47.6400,47.6400,12363
="2019-11-04",11.00.00,47.6350,47.6500,47.6350,47.6472,11688
="2019-11-04",11.01.00,47.6400,47.6554,47.6350,47.6350,26136
="2019-11-04",11.02.00,47.6332,47.6450,47.6200,47.6300,38985
="2019-11-04",11.03.00,47.6300,47.6400,47.6200,47.6400,14963
="2019-11-04",11.04.00,47.6300,47.6300,47.6200,47.6250,6610
="2019-11-04",11.05.00,47.6244,47.6400,47.6244,47.6300,22907
="2019-11-04",11.06.00,47.6300,47.6400,47.6150,47.6250,23412
="2019-11-04",11.07.00,47.6258,47.6400,47.6237,47.6300,16450
="2019-11-04",11.08.00,47.6300,47.6400,47.6200,47.6350,93120
="2019-11-04",11.09.00,47.6399,47.6399,47.6200,47.6300,22858
="2019-11-04",11.10.00,47.6257,47.6450,47.6250,47.6350,35951
="2019-11-04",11.11.00,47.6400,47.6400,47.6200,47.6200,9420
="2019-11-04",11.12.00,47.6299,47.6300,47.6141,47.6200,23296
="2019-11-04",11.13.00,47.6250,47.6250,47.6100,47.6150,9268
="2019-11-04",11.14.00,47.6200,47.6200,47.6000,47.6055,21535
="2019-11-04",11.15.00,47.6100,47.6200,47.6050,47.6200,10168
="2019-11-04",11.16.00,47.6150,47.6250,47.6100,47.6166,14409
="2019-11-04",11.17.00,47.6100,47.6200,47.6100,47.6150,10678
="2019-11-04",11.18.00,47.6100,47.6300,47.6100,47.6200,20529
="2019-11-04",11.19.00,47.6200,47.6300,47.6200,47.6250,8100
="2019-11-04",11.20.00,47.6300,47.6300,47.6144,47.6300,23933
="2019-11-04",11.21.00,47.6300,47.6300,47.6200,47.6270,5833
="2019-11-04",11.22.00,47.6200,47.6300,47.6100,47.6200,15200
="2019-11-04",11.23.00,47.6250,47.6250,47.6150,47.6200,12463
="2019-11-04",11.24.00,47.6234,47.6279,47.6100,47.6150,14117
="2019-11-04",11.25.00,47.6100,47.6200,47.6100,47.6100,10739
="2019-11-04",11.26.00,47.6100,47.6100,47.5934,47.6100,33546
="2019-11-04",11.27.00,47.6050,47.6100,47.6000,47.6050,6295
="2019-11-04",11.28.00,47.6015,47.6050,47.5950,47.5950,18619
="2019-11-04",11.29.00,47.6000,47.6062,47.5833,47.5850,34637
="2019-11-04",11.30.00,47.5900,47.5900,47.5800,47.5850,7493
="2019-11-04",11.31.00,47.5850,47.6000,47.5850,47.5900,17476
="2019-11-04",11.32.00,47.5900,47.6000,47.5850,47.5900,16697
="2019-11-04",11.33.00,47.5941,47.6000,47.5900,47.5900,8167
="2019-11-04",11.34.00,47.5950,47.6000,47.5800,47.5900,12330
="2019-11-04",11.35.00,47.5900,47.5900,47.5800,47.5899,10851
="2019-11-04",11.36.00,47.5850,47.5900,47.5800,47.5850,8394
="2019-11-04",11.37.00,47.5800,47.5900,47.5700,47.5858,24715
="2019-11-04",11.38.00,47.5850,47.5898,47.5700,47.5750,13847
="2019-11-04",11.39.00,47.5700,47.5850,47.5650,47.5750,41826
