="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,45.1600,45.2200,45.1600,45.2200,188120
="2019-11-04",08.31.00,45.1900,45.2000,45.1300,45.1598,25659
="2019-11-04",08.32.00,45.1519,45.2400,45.1519,45.2100,50584
="2019-11-04",08.33.00,45.2016,45.2420,45.1519,45.2016,21471
="2019-11-04",08.34.00,45.2000,45.3347,45.1900,45.2624,77390
="2019-11-04",08.35.00,45.2636,45.3050,45.2500,45.2542,15512
="2019-11-04",08.36.00,45.2600,45.2900,45.2100,45.2376,11798
="2019-11-04",08.37.00,45.2400,45.3600,45.2300,45.3600,21745
="2019-11-04",08.38.00,45.3500,45.3700,45.3100,45.3500,21390
="2019-11-04",08.39.00,45.3612,45.4340,45.3139,45.3812,55498
="2019-11-04",08.40.00,45.3800,45.4500,45.3700,45.4456,25436
="2019-11-04",08.41.00,45.4400,45.4700,45.4100,45.4358,31301
="2019-11-04",08.42.00,45.4400,45.5300,45.4400,45.5130,25952
="2019-11-04",08.43.00,45.5000,45.5900,45.5000,45.5400,25419
="2019-11-04",08.44.00,45.5540,45.5800,45.5201,45.5600,16144
="2019-11-04",08.45.00,45.5600,45.5680,45.5000,45.5150,15815
="2019-11-04",08.46.00,45.5150,45.6265,45.4900,45.6100,24616
="2019-11-04",08.47.00,45.6100,45.6100,45.5562,45.5800,20867
="2019-11-04",08.48.00,45.5850,45.6000,45.5600,45.5800,11823
="2019-11-04",08.49.00,45.5800,45.6000,45.5642,45.5998,19213
="2019-11-04",08.50.00,45.6200,45.6500,45.6000,45.6500,14518
="2019-11-04",08.51.00,45.6600,45.6900,45.6300,45.6344,24134
="2019-11-04",08.52.00,45.6300,45.6500,45.6050,45.6200,21504
="2019-11-04",08.53.00,45.6300,45.6500,45.6000,45.6200,25342
="2019-11-04",08.54.00,45.6100,45.6100,45.5400,45.5650,23141
="2019-11-04",08.55.00,45.5700,45.6100,45.5650,45.6100,11698
="2019-11-04",08.56.00,45.6049,45.6233,45.5850,45.5850,10194
="2019-11-04",08.57.00,45.5900,45.6700,45.5700,45.6300,58420
="2019-11-04",08.58.00,45.6300,45.6300,45.6000,45.6100,10476
="2019-11-04",08.59.00,45.6100,45.6300,45.5800,45.6100,26520
="2019-11-04",09.00.00,45.6000,45.6200,45.5700,45.5900,19336
="2019-11-04",09.01.00,45.5912,45.6400,45.5903,45.6350,10160
="2019-11-04",09.02.00,45.6390,45.6450,45.5650,45.5650,17863
="2019-11-04",09.03.00,45.5700,45.5700,45.5022,45.5022,10800
="2019-11-04",09.04.00,45.5048,45.5100,45.4700,45.4800,14566
="2019-11-04",09.05.00,45.4800,45.4875,45.3950,45.4000,27357
="2019-11-04",09.06.00,45.4000,45.4200,45.3800,45.4100,14820
="2019-11-04",09.07.00,45.3900,45.3950,45.3400,45.3666,6544
="2019-11-04",09.08.00,45.3650,45.4300,45.3650,45.4000,27763
="2019-11-04",09.09.00,45.3941,45.4058,45.3800,45.3950,23484
="2019-11-04",09.10.00,45.3900,45.4250,45.3900,45.3999,11213
="2019-11-04",09.11.00,45.3900,45.3900,45.3600,45.3700,6206
="2019-11-04",09.12.00,45.3760,45.3760,45.3300,45.3350,27929
="2019-11-04",09.13.00,45.3358,45.3600,45.3350,45.3429,10221
="2019-11-04",09.14.00,45.3400,45.3700,45.3200,45.3600,12972
="2019-11-04",09.15.00,45.3600,45.3600,45.3200,45.3250,15442
="2019-11-04",09.16.00,45.3300,45.3600,45.3300,45.3600,17505
="2019-11-04",09.17.00,45.3700,45.4000,45.3650,45.4000,12615
="2019-11-04",09.18.00,45.3950,45.4290,45.3950,45.4200,21184
="2019-11-04",09.19.00,45.4350,45.4600,45.4300,45.4500,7706
="2019-11-04",09.20.00,45.4500,45.4500,45.4400,45.4400,6499
="2019-11-04",09.21.00,45.4400,45.4400,45.4000,45.4200,17415
="2019-11-04",09.22.00,45.4251,45.4400,45.4100,45.4350,78911
="2019-11-04",09.23.00,45.4400,45.4650,45.4327,45.4550,9493
="2019-11-04",09.24.00,45.4500,45.4500,45.4200,45.4250,12961
="2019-11-04",09.25.00,45.4200,45.4700,45.4200,45.4500,11505
="2019-11-04",09.26.00,45.4550,45.4600,45.4450,45.4500,9032
="2019-11-04",09.27.00,45.4550,45.4769,45.4350,45.4350,11880
="2019-11-04",09.28.00,45.4371,45.4371,45.4000,45.4100,11762
="2019-11-04",09.29.00,45.4000,45.4169,45.3900,45.4100,28225
="2019-11-04",09.30.00,45.3900,45.3900,45.3700,45.3740,6819
="2019-11-04",09.31.00,45.3700,45.3900,45.3700,45.3900,10088
="2019-11-04",09.32.00,45.3961,45.4000,45.3600,45.3650,8572
="2019-11-04",09.33.00,45.3650,45.3800,45.3505,45.3800,6113
="2019-11-04",09.34.00,45.3800,45.4100,45.3767,45.3900,16008
="2019-11-04",09.35.00,45.3850,45.4000,45.3642,45.3700,7971
="2019-11-04",09.36.00,45.3700,45.3700,45.3400,45.3600,6816
="2019-11-04",09.37.00,45.3500,45.3667,45.3400,45.3600,10340
="2019-11-04",09.38.00,45.3600,45.3800,45.3500,45.3767,27418
="2019-11-04",09.39.00,45.3800,45.4033,45.3742,45.4033,25302
="2019-11-04",09.40.00,45.4050,45.4400,45.4000,45.4303,19449
="2019-11-04",09.41.00,45.4341,45.4650,45.4200,45.4600,33250
="2019-11-04",09.42.00,45.4500,45.4500,45.4200,45.4400,21598
="2019-11-04",09.43.00,45.4450,45.4454,45.4300,45.4300,8548
="2019-11-04",09.44.00,45.4400,45.4450,45.4118,45.4200,17813
="2019-11-04",09.45.00,45.4250,45.4250,45.3900,45.4171,8650
="2019-11-04",09.46.00,45.4200,45.4250,45.3800,45.3900,21015
="2019-11-04",09.47.00,45.3900,45.4000,45.3700,45.3934,18778
="2019-11-04",09.48.00,45.3950,45.4500,45.3950,45.4200,12844
="2019-11-04",09.49.00,45.4300,45.4400,45.4100,45.4300,5214
="2019-11-04",09.50.00,45.4200,45.4700,45.4200,45.4700,17723
="2019-11-04",09.51.00,45.4700,45.4950,45.4600,45.4900,6516
="2019-11-04",09.52.00,45.4900,45.5056,45.4750,45.4990,11391
="2019-11-04",09.53.00,45.4950,45.5000,45.4800,45.4946,12994
="2019-11-04",09.54.00,45.4950,45.5000,45.4500,45.4500,10533
="2019-11-04",09.55.00,45.4600,45.4700,45.4500,45.4500,9175
="2019-11-04",09.56.00,45.4549,45.4600,45.4300,45.4550,7403
="2019-11-04",09.57.00,45.4550,45.4900,45.4550,45.4800,10742
="2019-11-04",09.58.00,45.4732,45.4850,45.4700,45.4750,8465
="2019-11-04",09.59.00,45.4800,45.4900,45.4800,45.4800,18377
="2019-11-04",10.00.00,45.4874,45.5200,45.4844,45.5159,14638
="2019-11-04",10.01.00,45.5142,45.5300,45.4850,45.5158,12924
="2019-11-04",10.02.00,45.5100,45.5150,45.4900,45.4950,6345
="2019-11-04",10.03.00,45.4950,45.5000,45.4900,45.4950,25946
="2019-11-04",10.04.00,45.4950,45.5036,45.4900,45.4926,8764
="2019-11-04",10.05.00,45.4968,45.5000,45.4739,45.4739,9568
="2019-11-04",10.06.00,45.4750,45.5100,45.4700,45.4758,14371
="2019-11-04",10.07.00,45.4766,45.4800,45.4500,45.4550,17468
="2019-11-04",10.08.00,45.4650,45.4853,45.4650,45.4853,7561
="2019-11-04",10.09.00,45.4800,45.5000,45.4800,45.4900,27061
="2019-11-04",10.10.00,45.4900,45.4942,45.4800,45.4800,1996
="2019-11-04",10.11.00,45.4600,45.4600,45.4500,45.4500,10073
="2019-11-04",10.12.00,45.4600,45.4600,45.4600,45.4600,240
="2019-11-04",10.13.00,45.4800,45.4866,45.4800,45.4800,13956
="2019-11-04",10.14.00,45.4800,45.4931,45.4750,45.4850,5115
="2019-11-04",10.15.00,45.4835,45.4900,45.4800,45.4800,6873
="2019-11-04",10.16.00,45.4750,45.4800,45.4600,45.4800,7627
="2019-11-04",10.17.00,45.4750,45.4760,45.4600,45.4700,13289
="2019-11-04",10.18.00,45.4600,45.4800,45.4600,45.4800,12690
="2019-11-04",10.19.00,45.4800,45.4800,45.4400,45.4400,20393
="2019-11-04",10.20.00,45.4400,45.4700,45.4300,45.4650,24695
="2019-11-04",10.21.00,45.4650,45.4800,45.4650,45.4700,16024
="2019-11-04",10.22.00,45.4600,45.4700,45.4500,45.4550,6939
="2019-11-04",10.23.00,45.4600,45.4800,45.4500,45.4800,7454
="2019-11-04",10.24.00,45.4800,45.4800,45.4600,45.4609,7350
="2019-11-04",10.25.00,45.4700,45.4700,45.4500,45.4550,5587
="2019-11-04",10.26.00,45.4600,45.4600,45.4500,45.4500,6370
="2019-11-04",10.27.00,45.4439,45.4500,45.4400,45.4500,9329
="2019-11-04",10.28.00,45.4500,45.4750,45.4500,45.4600,7744
="2019-11-04",10.29.00,45.4600,45.4700,45.4544,45.4544,5456
="2019-11-04",10.30.00,45.4500,45.4500,45.4100,45.4270,12060
="2019-11-04",10.31.00,45.4233,45.4400,45.4100,45.4400,15931
