="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,42.9900,43.2000,42.9500,43.1750,311458
="2019-11-04",08.31.00,43.1700,43.2900,43.1400,43.2650,43610
="2019-11-04",08.32.00,43.2650,43.3900,43.2500,43.3900,37347
="2019-11-04",08.33.00,43.3916,43.4403,43.2501,43.3116,44391
="2019-11-04",08.34.00,43.3000,43.4500,43.3000,43.4300,100317
="2019-11-04",08.35.00,43.4300,43.4800,43.4000,43.4700,38938
="2019-11-04",08.36.00,43.4613,43.5000,43.4190,43.4400,39506
="2019-11-04",08.37.00,43.4101,43.5400,43.4101,43.4550,51592
="2019-11-04",08.38.00,43.4600,43.5500,43.4600,43.5300,32639
="2019-11-04",08.39.00,43.5000,43.5400,43.4750,43.4900,110897
="2019-11-04",08.40.00,43.4800,43.5400,43.4600,43.5000,37080
="2019-11-04",08.41.00,43.4916,43.5808,43.4807,43.5116,36656
="2019-11-04",08.42.00,43.5100,43.5650,43.4726,43.5100,114131
="2019-11-04",08.43.00,43.5096,43.5700,43.4800,43.5596,35867
="2019-11-04",08.44.00,43.5564,43.6124,43.4723,43.5514,51898
="2019-11-04",08.45.00,43.5500,43.6400,43.5300,43.5800,32859
="2019-11-04",08.46.00,43.5917,43.6518,43.5717,43.5973,21534
="2019-11-04",08.47.00,43.5950,43.6250,43.5800,43.5950,22723
="2019-11-04",08.48.00,43.6209,43.6800,43.6100,43.6700,37071
="2019-11-04",08.49.00,43.6700,43.6832,43.6400,43.6650,26487
="2019-11-04",08.50.00,43.6600,43.7100,43.6500,43.6600,26209
="2019-11-04",08.51.00,43.6700,43.7700,43.6400,43.7700,24997
="2019-11-04",08.52.00,43.7707,43.8179,43.7579,43.7707,34223
="2019-11-04",08.53.00,43.7800,43.8200,43.7500,43.7500,47093
="2019-11-04",08.54.00,43.7518,43.8021,43.7120,43.7518,39435
="2019-11-04",08.55.00,43.7500,43.7550,43.6700,43.7050,37142
="2019-11-04",08.56.00,43.7100,43.7100,43.5950,43.6050,27796
="2019-11-04",08.57.00,43.6100,43.7000,43.6050,43.6960,46859
="2019-11-04",08.58.00,43.7011,43.7624,43.6823,43.6911,27307
="2019-11-04",08.59.00,43.7000,43.8000,43.6600,43.7700,27535
="2019-11-04",09.00.00,43.7700,43.8900,43.7700,43.8000,38919
="2019-11-04",09.01.00,43.8100,43.8800,43.7900,43.8800,21140
="2019-11-04",09.02.00,43.8700,43.8800,43.7800,43.8100,46158
="2019-11-04",09.03.00,43.8100,43.8900,43.7500,43.7500,71016
="2019-11-04",09.04.00,43.7516,43.7917,43.6505,43.6516,72359
="2019-11-04",09.05.00,43.6500,43.6800,43.6300,43.6400,32068
="2019-11-04",09.06.00,43.6500,43.7700,43.6500,43.7050,22902
="2019-11-04",09.07.00,43.7197,43.8100,43.7050,43.8100,26208
="2019-11-04",09.08.00,43.8100,43.8600,43.8000,43.8250,24609
="2019-11-04",09.09.00,43.8300,43.8800,43.8300,43.8800,22439
="2019-11-04",09.10.00,43.8800,43.9200,43.8800,43.8950,23895
="2019-11-04",09.11.00,43.8900,43.9300,43.8700,43.9100,33954
="2019-11-04",09.12.00,43.9200,43.9800,43.9100,43.9650,47346
="2019-11-04",09.13.00,43.9654,43.9800,43.9350,43.9775,41996
="2019-11-04",09.14.00,43.9800,44.0400,43.9744,44.0363,56237
="2019-11-04",09.15.00,44.0364,44.0829,43.9759,43.9814,52864
="2019-11-04",09.16.00,43.9800,44.0400,43.9650,44.0350,21991
="2019-11-04",09.17.00,44.0400,44.0800,43.9900,44.0204,34685
="2019-11-04",09.18.00,44.0164,44.0932,43.9931,44.0314,33445
="2019-11-04",09.19.00,44.0316,44.0500,44.0100,44.0400,25944
="2019-11-04",09.20.00,44.0500,44.0900,44.0200,44.0600,52485
="2019-11-04",09.21.00,44.0844,44.1200,44.0450,44.1150,38608
="2019-11-04",09.22.00,44.1150,44.1250,44.0800,44.0800,40059
="2019-11-04",09.23.00,44.0900,44.1200,44.0800,44.1100,31934
="2019-11-04",09.24.00,44.1214,44.1683,44.0929,44.0964,28387
="2019-11-04",09.25.00,44.1000,44.1350,44.0900,44.1350,30110
="2019-11-04",09.26.00,44.1400,44.2300,44.1150,44.2000,47172
="2019-11-04",09.27.00,44.2000,44.2400,44.1900,44.2100,32196
="2019-11-04",09.28.00,44.2150,44.2500,44.2100,44.2200,32309
="2019-11-04",09.29.00,44.2200,44.2400,44.2100,44.2400,17770
="2019-11-04",09.30.00,44.2400,44.3200,44.2150,44.3200,250332
="2019-11-04",09.31.00,44.3100,44.4100,44.2850,44.3900,88329
="2019-11-04",09.32.00,44.3807,44.4284,44.3684,44.3707,45197
="2019-11-04",09.33.00,44.3569,44.3759,44.3400,44.3650,28431
="2019-11-04",09.34.00,44.3659,44.4100,44.3500,44.4100,36405
="2019-11-04",09.35.00,44.4133,44.4200,44.3450,44.3500,46842
="2019-11-04",09.36.00,44.3500,44.4200,44.3400,44.4000,47372
="2019-11-04",09.37.00,44.4000,44.4550,44.3900,44.4500,78165
="2019-11-04",09.38.00,44.4450,44.4450,44.3900,44.4150,36486
="2019-11-04",09.39.00,44.4150,44.4250,44.4000,44.4000,31731
="2019-11-04",09.40.00,44.4000,44.4300,44.3900,44.4000,53078
="2019-11-04",09.41.00,44.3950,44.4500,44.3600,44.4450,31362
="2019-11-04",09.42.00,44.4400,44.4750,44.4200,44.4550,35083
="2019-11-04",09.43.00,44.4500,44.4800,44.4500,44.4750,30315
="2019-11-04",09.44.00,44.4733,44.5900,44.4650,44.5210,63734
="2019-11-04",09.45.00,44.5314,44.5737,44.4637,44.4864,39724
