="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,20.6600,20.7200,20.5701,20.5800,1603677
="2019-11-04",08.31.00,20.5728,20.5926,20.3660,20.4954,399542
="2019-11-04",08.32.00,20.4751,20.6000,20.3300,20.3400,231406
="2019-11-04",08.33.00,20.3357,20.4890,20.2488,20.4071,257418
="2019-11-04",08.34.00,20.4063,20.4377,20.2675,20.4103,245075
="2019-11-04",08.35.00,20.4024,20.5500,20.4024,20.5350,196523
="2019-11-04",08.36.00,20.5350,20.6300,20.5300,20.6258,183523
="2019-11-04",08.37.00,20.6308,20.6798,20.5698,20.5958,242953
="2019-11-04",08.38.00,20.5907,20.6402,20.5702,20.6007,141404
="2019-11-04",08.39.00,20.6000,20.6800,20.5900,20.6800,158376
="2019-11-04",08.40.00,20.6754,20.7063,20.3160,20.4404,354091
="2019-11-04",08.41.00,20.4361,20.5192,20.3190,20.3366,199188
="2019-11-04",08.42.00,20.3403,20.4135,20.2688,20.2807,170795
="2019-11-04",08.43.00,20.2750,20.3700,20.2750,20.3400,152916
="2019-11-04",08.44.00,20.3335,20.3500,20.2600,20.2600,98840
="2019-11-04",08.45.00,20.2650,20.3700,20.2600,20.3700,78202
="2019-11-04",08.46.00,20.3800,20.3900,20.3401,20.3500,61293
="2019-11-04",08.47.00,20.3500,20.3900,20.3134,20.3134,68425
="2019-11-04",08.48.00,20.3200,20.3900,20.3000,20.3000,151379
="2019-11-04",08.49.00,20.3000,20.3400,20.2900,20.2900,121860
="2019-11-04",08.50.00,20.2950,20.3300,20.2900,20.2929,135037
="2019-11-04",08.51.00,20.2900,20.3500,20.2900,20.3289,130679
="2019-11-04",08.52.00,20.3320,20.3350,20.2900,20.2965,159269
="2019-11-04",08.53.00,20.2900,20.3400,20.2900,20.3300,61606
="2019-11-04",08.54.00,20.3359,20.3596,20.3095,20.3307,95055
="2019-11-04",08.55.00,20.3242,20.3545,20.3194,20.3258,189054
="2019-11-04",08.56.00,20.3260,20.3800,20.3150,20.3684,60146
="2019-11-04",08.57.00,20.3650,20.4400,20.3601,20.3950,99138
="2019-11-04",08.58.00,20.3950,20.4300,20.3800,20.4050,89787
="2019-11-04",08.59.00,20.4000,20.4800,20.4000,20.4600,71586
="2019-11-04",09.00.00,20.4521,20.5200,20.4500,20.4500,135934
="2019-11-04",09.01.00,20.4501,20.5300,20.4500,20.4600,48569
="2019-11-04",09.02.00,20.4504,20.4761,20.3960,20.4005,78974
="2019-11-04",09.03.00,20.4108,20.4792,20.3691,20.4608,73518
="2019-11-04",09.04.00,20.4607,20.4790,20.4290,20.4407,39490
="2019-11-04",09.05.00,20.4450,20.4600,20.4200,20.4300,27315
="2019-11-04",09.06.00,20.4250,20.4900,20.4200,20.4550,131031
="2019-11-04",09.07.00,20.4609,20.4897,20.4396,20.4409,27486
="2019-11-04",09.08.00,20.4408,20.5196,20.4397,20.5006,59753
="2019-11-04",09.09.00,20.4850,20.4900,20.4701,20.4800,17273
="2019-11-04",09.10.00,20.4800,20.5500,20.4701,20.5400,80846
="2019-11-04",09.11.00,20.5404,20.6062,20.5102,20.5760,91010
="2019-11-04",09.12.00,20.5600,20.6200,20.5600,20.5801,94357
="2019-11-04",09.13.00,20.5899,20.6000,20.5750,20.5999,56704
="2019-11-04",09.14.00,20.5950,20.6000,20.4900,20.5000,125311
="2019-11-04",09.15.00,20.4957,20.5199,20.4399,20.5007,79355
="2019-11-04",09.16.00,20.5000,20.5300,20.4900,20.4957,47890
="2019-11-04",09.17.00,20.4900,20.5000,20.4000,20.4000,40358
="2019-11-04",09.18.00,20.4050,20.4700,20.4000,20.4175,71255
="2019-11-04",09.19.00,20.4200,20.4600,20.4101,20.4300,31226
="2019-11-04",09.20.00,20.4268,20.4300,20.4000,20.4100,28149
="2019-11-04",09.21.00,20.4008,20.4241,20.3592,20.3658,64539
="2019-11-04",09.22.00,20.3658,20.3658,20.3100,20.3149,45108
="2019-11-04",09.23.00,20.3196,20.3600,20.3100,20.3504,74544
="2019-11-04",09.24.00,20.3507,20.3798,20.3498,20.3607,31762
="2019-11-04",09.25.00,20.3550,20.3800,20.3400,20.3450,24789
="2019-11-04",09.26.00,20.3473,20.3500,20.3400,20.3500,124182
="2019-11-04",09.27.00,20.3500,20.4300,20.3425,20.4250,38790
="2019-11-04",09.28.00,20.4300,20.4500,20.4200,20.4200,25286
="2019-11-04",09.29.00,20.4200,20.4400,20.3751,20.3800,36003
="2019-11-04",09.30.00,20.3874,20.4200,20.3800,20.4150,13840
="2019-11-04",09.31.00,20.4200,20.4400,20.4200,20.4301,22575
="2019-11-04",09.32.00,20.4399,20.4550,20.4300,20.4501,25103
="2019-11-04",09.33.00,20.4520,20.4900,20.4510,20.4700,25763
="2019-11-04",09.34.00,20.4750,20.4800,20.4600,20.4700,29013
="2019-11-04",09.35.00,20.4600,20.4700,20.4600,20.4600,6291
="2019-11-04",09.36.00,20.4600,20.4900,20.4600,20.4850,24618
="2019-11-04",09.37.00,20.4870,20.4900,20.4700,20.4700,23993
="2019-11-04",09.38.00,20.4700,20.4800,20.4700,20.4799,23097
="2019-11-04",09.39.00,20.4746,20.4800,20.4700,20.4750,6210
="2019-11-04",09.40.00,20.4787,20.4800,20.4700,20.4756,9446
="2019-11-04",09.41.00,20.4800,20.4800,20.4700,20.4750,11294
="2019-11-04",09.42.00,20.4750,20.5400,20.4750,20.5350,84132
="2019-11-04",09.43.00,20.5350,20.5350,20.5000,20.5050,29180
="2019-11-04",09.44.00,20.5100,20.5200,20.4900,20.4950,32737
="2019-11-04",09.45.00,20.4950,20.5000,20.4200,20.4300,36809
="2019-11-04",09.46.00,20.4200,20.4400,20.4200,20.4350,21576
="2019-11-04",09.47.00,20.4350,20.4660,20.4200,20.4550,35124
="2019-11-04",09.48.00,20.4544,20.5500,20.4544,20.5196,101900
="2019-11-04",09.49.00,20.5140,20.5500,20.5000,20.5451,58233
="2019-11-04",09.50.00,20.5450,20.5800,20.5400,20.5800,57277
="2019-11-04",09.51.00,20.5807,20.6501,20.5800,20.5807,82072
="2019-11-04",09.52.00,20.5800,20.5900,20.5600,20.5600,17436
="2019-11-04",09.53.00,20.5700,20.5800,20.5600,20.5700,32399
="2019-11-04",09.54.00,20.5650,20.5700,20.5500,20.5550,108868
="2019-11-04",09.55.00,20.5546,20.5600,20.5201,20.5221,16389
="2019-11-04",09.56.00,20.5250,20.5400,20.5200,20.5400,21849
="2019-11-04",09.57.00,20.5352,20.5364,20.5200,20.5250,29226
="2019-11-04",09.58.00,20.5250,20.5300,20.5100,20.5244,17423
="2019-11-04",09.59.00,20.5300,20.5400,20.5200,20.5300,23232
="2019-11-04",10.00.00,20.5350,20.5400,20.5250,20.5350,22702
="2019-11-04",10.01.00,20.5350,20.5400,20.5305,20.5350,9540
="2019-11-04",10.02.00,20.5350,20.5400,20.5300,20.5350,12001
="2019-11-04",10.03.00,20.5350,20.5700,20.5301,20.5700,54232
="2019-11-04",10.04.00,20.5650,20.5700,20.5650,20.5650,12113
="2019-11-04",10.05.00,20.5700,20.6400,20.5600,20.6350,119455
="2019-11-04",10.06.00,20.6350,20.6900,20.6300,20.6320,149352
="2019-11-04",10.07.00,20.6350,20.6400,20.5900,20.5900,49539
="2019-11-04",10.08.00,20.5950,20.6100,20.5900,20.5980,34665
="2019-11-04",10.09.00,20.5950,20.6300,20.5900,20.6300,42935
="2019-11-04",10.10.00,20.6248,20.6300,20.6200,20.6300,11157
="2019-11-04",10.11.00,20.6090,20.6090,20.5600,20.5727,52967
="2019-11-04",10.12.00,20.5600,20.5699,20.5550,20.5699,8423
="2019-11-04",10.13.00,20.5800,20.6050,20.5750,20.6050,75810
="2019-11-04",10.14.00,20.6100,20.6100,20.5900,20.5999,27930
