="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,34.9009,35.1740,34.8137,35.0859,263227
="2019-11-04",08.31.00,35.0700,35.1550,35.0500,35.1400,53435
="2019-11-04",08.32.00,35.1300,35.1400,35.0900,35.1000,68612
="2019-11-04",08.33.00,35.1000,35.1000,34.9480,34.9694,28187
="2019-11-04",08.34.00,34.9806,35.1104,34.9703,35.0306,50828
="2019-11-04",08.35.00,35.0687,35.0687,35.0687,35.0687,23276
="2019-11-04",08.36.00,35.0600,35.0800,34.9520,34.9600,29517
="2019-11-04",08.37.00,34.9650,35.0050,34.9400,34.9500,17295
="2019-11-04",08.38.00,34.9550,35.1300,34.9550,35.1150,28704
="2019-11-04",08.39.00,35.1100,35.1450,35.0225,35.0225,44409
="2019-11-04",08.40.00,35.0250,35.1800,35.0200,35.1700,55626
="2019-11-04",08.41.00,35.1550,35.2000,35.1350,35.1700,29538
="2019-11-04",08.42.00,35.1700,35.2400,35.1600,35.1650,82797
="2019-11-04",08.43.00,35.1706,35.2105,35.1504,35.1756,36752
="2019-11-04",08.44.00,35.1661,35.2242,35.1342,35.1911,17348
="2019-11-04",08.45.00,35.1800,35.2500,35.1800,35.2000,65876
="2019-11-04",08.46.00,35.1900,35.2700,35.1900,35.2500,37621
="2019-11-04",08.47.00,35.2550,35.2600,35.2100,35.2127,22330
="2019-11-04",08.48.00,35.2150,35.2600,35.2150,35.2450,37639
="2019-11-04",08.49.00,35.2457,35.2877,35.2411,35.2457,19286
="2019-11-04",08.50.00,35.2450,35.2800,35.2335,35.2500,51224
="2019-11-04",08.51.00,35.2400,35.2600,35.2100,35.2550,43010
="2019-11-04",08.52.00,35.2506,35.2865,35.2405,35.2566,20477
="2019-11-04",08.53.00,35.2600,35.3500,35.2500,35.3300,36665
="2019-11-04",08.54.00,35.3200,35.3650,35.3150,35.3450,32441
="2019-11-04",08.55.00,35.3400,35.3451,35.2950,35.3200,16335
="2019-11-04",08.56.00,35.3300,35.3350,35.2600,35.2600,49272
="2019-11-04",08.57.00,35.2600,35.3300,35.2550,35.3270,27653
="2019-11-04",08.58.00,35.3250,35.4000,35.3242,35.3850,52741
="2019-11-04",08.59.00,35.3800,35.4500,35.3500,35.4500,52916
="2019-11-04",09.00.00,35.4400,35.4800,35.4300,35.4500,28218
="2019-11-04",09.01.00,35.4400,35.5000,35.4200,35.4950,38080
="2019-11-04",09.02.00,35.4900,35.4950,35.4250,35.4300,57905
="2019-11-04",09.03.00,35.4200,35.4250,35.3700,35.3750,26424
="2019-11-04",09.04.00,35.3750,35.3950,35.3550,35.3750,26506
="2019-11-04",09.05.00,35.3706,35.4307,35.3706,35.3956,26874
="2019-11-04",09.06.00,35.4000,35.4266,35.3900,35.4059,33499
="2019-11-04",09.07.00,35.4100,35.4650,35.4000,35.4600,38933
="2019-11-04",09.08.00,35.4764,35.5140,35.4639,35.4671,19726
="2019-11-04",09.09.00,35.4700,35.4800,35.4500,35.4600,23587
="2019-11-04",09.10.00,35.4587,35.4850,35.4400,35.4450,26575
="2019-11-04",09.11.00,35.4400,35.4900,35.4330,35.4850,17484
="2019-11-04",09.12.00,35.4700,35.5000,35.4650,35.4950,25512
="2019-11-04",09.13.00,35.4950,35.5000,35.4900,35.5000,30322
="2019-11-04",09.14.00,35.4900,35.5300,35.4900,35.5200,101808
="2019-11-04",09.15.00,35.5100,35.5200,35.5050,35.5150,30354
="2019-11-04",09.16.00,35.5200,35.5700,35.5050,35.5700,23389
="2019-11-04",09.17.00,35.5600,35.5800,35.5150,35.5350,48427
="2019-11-04",09.18.00,35.5300,35.5500,35.5000,35.5500,26584
="2019-11-04",09.19.00,35.5500,35.5550,35.5200,35.5200,26794
="2019-11-04",09.20.00,35.5150,35.5400,35.5100,35.5300,24424
="2019-11-04",09.21.00,35.5250,35.5400,35.5000,35.5400,45254
="2019-11-04",09.22.00,35.5400,35.5500,35.4800,35.4950,19649
="2019-11-04",09.23.00,35.4950,35.5200,35.4900,35.5150,18166
="2019-11-04",09.24.00,35.5150,35.5500,35.5100,35.5450,33200
="2019-11-04",09.25.00,35.5474,35.5776,35.5300,35.5776,19810
="2019-11-04",09.26.00,35.5750,35.6400,35.5700,35.6400,25107
="2019-11-04",09.27.00,35.6350,35.6590,35.6100,35.6400,36665
="2019-11-04",09.28.00,35.6400,35.6450,35.6200,35.6250,20203
="2019-11-04",09.29.00,35.6257,35.6881,35.6180,35.6607,21798
="2019-11-04",09.30.00,35.6650,35.7000,35.6500,35.6902,29795
="2019-11-04",09.31.00,35.6900,35.7300,35.6900,35.7100,39783
="2019-11-04",09.32.00,35.7100,35.7200,35.6400,35.6650,18941
="2019-11-04",09.33.00,35.6600,35.7200,35.6500,35.7050,35772
="2019-11-04",09.34.00,35.7013,35.7700,35.7013,35.7650,48728
="2019-11-04",09.35.00,35.7650,35.7750,35.7350,35.7650,35438
="2019-11-04",09.36.00,35.7600,35.8000,35.7500,35.8000,49325
="2019-11-04",09.37.00,35.7900,35.8400,35.7800,35.8200,87336
="2019-11-04",09.38.00,35.8250,35.8282,35.7900,35.8025,91072
="2019-11-04",09.39.00,35.8050,35.8800,35.8000,35.8800,42533
="2019-11-04",09.40.00,35.8763,35.9083,35.8433,35.8613,51179
="2019-11-04",09.41.00,35.8600,35.9200,35.8551,35.9200,39577
="2019-11-04",09.42.00,35.9200,36.0000,35.9200,36.0000,71761
="2019-11-04",09.43.00,35.9950,36.0400,35.9900,36.0100,94739
="2019-11-04",09.44.00,36.0114,36.0845,36.0045,36.0314,39061
="2019-11-04",09.45.00,36.0311,36.0653,35.9953,36.0065,25436
="2019-11-04",09.46.00,36.0100,36.0150,35.9850,36.0100,27978
="2019-11-04",09.47.00,36.0000,36.0150,35.9900,36.0000,39902
="2019-11-04",09.48.00,35.9957,36.0283,35.9733,35.9907,46780
="2019-11-04",09.49.00,35.9900,36.0400,35.9900,36.0400,38653
="2019-11-04",09.50.00,36.0356,36.0712,36.0112,36.0206,30649
="2019-11-04",09.51.00,36.0100,36.0300,35.9750,36.0000,70062
="2019-11-04",09.52.00,35.9999,36.0200,35.9750,35.9933,47746
="2019-11-04",09.53.00,35.9950,36.0500,35.9800,36.0383,26502
="2019-11-04",09.54.00,36.0300,36.0300,36.0000,36.0100,47062
="2019-11-04",09.55.00,36.0171,36.0300,36.0000,36.0200,32287
="2019-11-04",09.56.00,36.0200,36.0300,36.0000,36.0050,25176
="2019-11-04",09.57.00,36.0079,36.0600,36.0079,36.0400,43769
="2019-11-04",09.58.00,36.0413,36.0888,36.0337,36.0446,44053
="2019-11-04",09.59.00,36.0500,36.0600,36.0500,36.0600,16384
="2019-11-04",10.00.00,36.0500,36.0700,36.0300,36.0700,29735
="2019-11-04",10.01.00,36.0607,36.0934,36.0584,36.0657,29628
="2019-11-04",10.02.00,36.0700,36.0750,36.0400,36.0550,71345
="2019-11-04",10.03.00,36.0550,36.0600,36.0300,36.0550,47418
="2019-11-04",10.04.00,36.0500,36.0700,36.0400,36.0500,41818
="2019-11-04",10.05.00,36.0600,36.0600,36.0350,36.0550,26429
