="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,314.8000,315.0700,313.0600,313.1500,200168
="2019-11-04",08.31.00,313.0911,313.5026,312.5057,313.0581,56425
="2019-11-04",08.32.00,313.0717,313.6335,312.8629,313.1767,27416
="2019-11-04",08.33.00,313.1466,313.7700,312.9000,312.9000,42018
="2019-11-04",08.34.00,313.1500,313.1500,312.9552,312.9552,22359
="2019-11-04",08.35.00,312.6980,312.6980,311.8704,311.8704,39727
="2019-11-04",08.36.00,311.9843,312.0327,311.9843,312.0327,32158
="2019-11-04",08.37.00,312.2451,312.5550,312.2451,312.5550,20878
="2019-11-04",08.38.00,312.5340,312.5340,312.5296,312.5296,27400
="2019-11-04",08.39.00,312.6300,312.8100,312.6300,312.8100,35302
="2019-11-04",08.40.00,312.7850,313.1100,312.7850,313.1100,32404
="2019-11-04",08.41.00,313.1606,313.1900,313.1606,313.1900,54672
="2019-11-04",08.42.00,313.2906,313.4100,313.2906,313.4100,41253
="2019-11-04",08.43.00,313.4584,313.4584,313.1823,313.1823,35252
="2019-11-04",08.44.00,312.8200,313.4300,312.8200,313.4300,21477
="2019-11-04",08.45.00,313.2050,313.7250,313.2050,313.7250,24102
="2019-11-04",08.46.00,313.7100,313.7100,313.6050,313.6050,30370
="2019-11-04",08.47.00,313.4070,313.4070,313.4070,313.4070,10588
="2019-11-04",08.48.00,313.3500,313.5716,313.3500,313.5500,6451
="2019-11-04",08.49.00,313.4100,313.4300,312.7700,312.7700,24398
="2019-11-04",08.50.00,312.7050,312.7050,312.4000,312.4000,32443
="2019-11-04",08.51.00,312.2700,312.3000,312.1776,312.1776,10052
="2019-11-04",08.52.00,312.0900,312.1500,312.0900,312.1500,18377
="2019-11-04",08.53.00,312.1900,312.4400,312.1900,312.4400,14537
="2019-11-04",08.54.00,312.2900,312.2900,312.2700,312.2700,9030
="2019-11-04",08.55.00,312.1500,312.1500,311.1100,311.1100,64898
="2019-11-04",08.56.00,311.1100,311.2484,311.1100,311.2484,29412
="2019-11-04",08.57.00,311.3800,311.5600,311.3800,311.5600,15416
="2019-11-04",08.58.00,311.5000,311.5667,311.3700,311.5667,16587
="2019-11-04",08.59.00,311.4100,311.6400,310.8200,311.0800,32187
="2019-11-04",09.00.00,311.1086,311.5000,311.1086,311.3650,10316
="2019-11-04",09.01.00,311.3700,311.3700,310.8000,310.8000,11095
="2019-11-04",09.02.00,310.7700,310.8400,310.4706,310.6000,18027
