date,time,open,high,low,close,volume
="2019-12-16",08.30.00,277.0000,277.3700,276.9800,277.0800,1125033
="2019-12-16",08.31.00,277.0701,277.3000,276.9800,277.2859,184093
="2019-12-16",08.32.00,277.3000,277.9400,277.3000,277.5620,274394
="2019-12-16",08.33.00,277.5850,278.1151,277.5700,278.1000,265211
="2019-12-16",08.34.00,277.9700,277.9700,277.8200,277.8200,311834
="2019-12-16",08.35.00,277.8400,277.8400,277.8100,277.8100,155470
="2019-12-16",08.36.00,277.7700,277.7700,277.7300,277.7500,162306
="2019-12-16",08.37.00,277.8494,277.9580,277.8494,277.9000,141569
="2019-12-16",08.38.00,277.9700,278.1700,277.9700,278.1700,179185
="2019-12-16",08.39.00,278.2000,278.4798,278.2000,278.4599,240417
="2019-12-16",08.40.00,278.5200,278.6000,278.5200,278.6000,172743
="2019-12-16",08.41.00,278.6055,278.6055,278.3550,278.3550,197709
="2019-12-16",08.42.00,278.3770,278.4488,278.3770,278.4034,118747
="2019-12-16",08.43.00,278.3500,278.3500,278.2800,278.2800,95205
="2019-12-16",08.44.00,278.3050,278.3050,278.0100,278.0899,179377
="2019-12-16",08.45.00,278.2035,278.4310,278.2035,278.4310,136860
="2019-12-16",08.46.00,278.4750,278.8300,278.4750,278.8300,199562
="2019-12-16",08.47.00,278.8371,278.9600,278.7401,278.9600,233044
="2019-12-16",08.48.00,279.0535,279.1500,279.0535,279.1500,279074
="2019-12-16",08.49.00,279.0900,279.1800,279.0900,279.1800,156787
="2019-12-16",08.50.00,279.1600,279.3500,279.1600,279.3500,202780
="2019-12-16",08.51.00,279.3500,279.3500,279.2500,279.2500,117109
="2019-12-16",08.52.00,279.2865,279.2865,279.2450,279.2600,96793
="2019-12-16",08.53.00,279.2800,279.4550,279.2800,279.4550,179584
="2019-12-16",08.54.00,279.4400,279.4650,279.3001,279.3001,112186
="2019-12-16",08.55.00,279.2800,279.2800,279.2550,279.2550,158940
="2019-12-16",08.56.00,279.2400,279.2400,279.0700,279.0700,131272
="2019-12-16",08.57.00,279.0606,279.0800,279.0100,279.0100,166763
="2019-12-16",08.58.00,278.9931,278.9931,278.9644,278.9644,117131
="2019-12-16",08.59.00,278.9600,279.0200,278.8900,279.0000,73307
="2019-12-16",09.00.00,279.0000,279.0500,278.9100,278.9600,78324
="2019-12-16",09.01.00,278.9400,279.1800,278.8700,279.0910,130029
="2019-12-16",09.02.00,279.1000,279.4700,279.0875,279.4550,139091
="2019-12-16",09.03.00,279.4566,279.6500,279.4566,279.5553,171567
="2019-12-16",09.04.00,279.5396,279.6300,279.5310,279.5897,80746
="2019-12-16",09.05.00,279.5700,279.6400,279.3500,279.4205,105938
="2019-12-16",09.06.00,279.4200,279.5200,279.4200,279.4750,65078
="2019-12-16",09.07.00,279.4788,279.6400,279.4400,279.6267,62691
="2019-12-16",09.08.00,279.6275,279.7500,279.5400,279.7100,102447
="2019-12-16",09.09.00,279.6965,279.7700,279.6500,279.7026,87434
="2019-12-16",09.10.00,279.7200,279.7320,279.6400,279.6800,69881
="2019-12-16",09.11.00,279.6900,279.8900,279.6900,279.8800,123256
="2019-12-16",09.12.00,279.8900,279.9300,279.7600,279.8800,242479
="2019-12-16",09.13.00,279.8900,279.9200,279.8000,279.8000,82825
="2019-12-16",09.14.00,279.8000,279.8078,279.6300,279.7600,80387
="2019-12-16",09.15.00,279.7500,279.7932,279.4800,279.5282,113111
="2019-12-16",09.16.00,279.5111,279.7500,279.5111,279.6000,74912
="2019-12-16",09.17.00,279.5800,279.7480,279.5700,279.7200,105445
="2019-12-16",09.18.00,279.7139,279.9300,279.7139,279.8999,332234
="2019-12-16",09.19.00,279.8999,279.9125,279.8195,279.8700,66867
="2019-12-16",09.20.00,279.8800,279.9402,279.7200,279.7450,129173
="2019-12-16",09.21.00,279.7500,279.9200,279.7500,279.8400,66796
="2019-12-16",09.22.00,279.8550,279.9000,279.8301,279.8700,164896
="2019-12-16",09.23.00,279.8600,279.9300,279.8400,279.9300,49777
="2019-12-16",09.24.00,279.9200,280.0000,279.8900,279.9100,106730
="2019-12-16",09.25.00,279.8989,279.9200,279.7600,279.8900,90736
="2019-12-16",09.26.00,279.8800,279.9900,279.8400,279.9400,638494
="2019-12-16",09.27.00,279.9300,280.0000,279.7810,279.8950,92609
="2019-12-16",09.28.00,279.8950,280.0800,279.8800,280.0300,340917
="2019-12-16",09.29.00,280.0300,280.0800,279.9600,280.0100,90414
="2019-12-16",09.30.00,280.0165,280.1650,280.0165,280.1000,121452
="2019-12-16",09.31.00,280.1001,280.1100,279.9400,279.9405,79496
="2019-12-16",09.32.00,279.9600,279.9800,279.8200,279.9000,67981
="2019-12-16",09.33.00,279.8957,279.9714,279.8900,279.9200,76453
="2019-12-16",09.34.00,279.9400,279.9500,279.8600,279.9100,71162
="2019-12-16",09.35.00,279.9100,279.9400,279.6600,279.7100,141093
="2019-12-16",09.36.00,279.7240,279.8500,279.7200,279.8500,76313
="2019-12-16",09.37.00,279.8500,279.9500,279.7900,279.8000,55774
="2019-12-16",09.38.00,279.8000,279.8400,279.7200,279.8399,53048
="2019-12-16",09.39.00,279.8400,279.8700,279.7815,279.8200,32667
="2019-12-16",09.40.00,279.8200,279.9300,279.8200,279.8500,53543
="2019-12-16",09.41.00,279.8300,279.9000,279.8300,279.8850,92396
="2019-12-16",09.42.00,279.8900,279.9000,279.8300,279.8700,28056
="2019-12-16",09.43.00,279.8400,279.8900,279.8300,279.8473,36388
="2019-12-16",09.44.00,279.8400,279.8435,279.7301,279.7550,71778
="2019-12-16",09.45.00,279.7500,279.8200,279.7300,279.7882,49035
="2019-12-16",09.46.00,279.7930,279.8281,279.7600,279.7767,36020
="2019-12-16",09.47.00,279.7676,279.8080,279.7100,279.7300,71106
="2019-12-16",09.48.00,279.7100,279.7300,279.5700,279.5800,100923
="2019-12-16",09.49.00,279.5801,279.6120,279.4400,279.5100,112073
="2019-12-16",09.50.00,279.5113,279.6549,279.5113,279.6200,61628
="2019-12-16",09.51.00,279.6200,279.6400,279.5100,279.5800,43803
="2019-12-16",09.52.00,279.5843,279.6356,279.5405,279.5725,38996
="2019-12-16",09.53.00,279.5601,279.6400,279.5500,279.6200,27603
="2019-12-16",09.54.00,279.6162,279.6300,279.5300,279.5300,45151
="2019-12-16",09.55.00,279.5400,279.5650,279.4700,279.5016,42656
="2019-12-16",09.56.00,279.5050,279.5600,279.4950,279.5550,38979
="2019-12-16",09.57.00,279.5500,279.5599,279.4759,279.5300,43205
="2019-12-16",09.58.00,279.5200,279.5546,279.4800,279.5300,59006
="2019-12-16",09.59.00,279.5300,279.5500,279.4400,279.4700,42525
="2019-12-16",10.00.00,279.4751,279.5730,279.4649,279.5679,34901
="2019-12-16",10.01.00,279.7100,279.7600,279.7000,279.7600,108031
="2019-12-16",10.02.00,279.7500,279.7900,279.6900,279.7232,49876
="2019-12-16",10.03.00,279.7400,279.7882,279.7100,279.7882,38488
="2019-12-16",10.04.00,279.7850,279.8300,279.7701,279.7800,80630
="2019-12-16",10.05.00,279.7800,279.7800,279.7050,279.7100,32393
="2019-12-16",10.06.00,279.7001,279.7001,279.6101,279.6900,78410
="2019-12-16",10.07.00,279.6800,279.7600,279.6762,279.7400,50725
="2019-12-16",10.08.00,279.7362,279.8000,279.7092,279.7700,59713
="2019-12-16",10.09.00,279.7700,279.8000,279.7600,279.8000,41138
="2019-12-16",10.10.00,279.8000,279.8000,279.7200,279.7401,51762
="2019-12-16",10.11.00,279.7520,279.7800,279.6800,279.7050,43465
="2019-12-16",10.12.00,279.6900,279.7600,279.6800,279.7500,47091
="2019-12-16",10.13.00,279.7500,279.7700,279.7000,279.7450,24278
="2019-12-16",10.14.00,279.7400,279.9000,279.7377,279.9000,82226
="2019-12-16",10.15.00,279.9000,279.9000,279.6700,279.6800,51439
="2019-12-16",10.16.00,279.6900,279.7145,279.6200,279.7100,40622
="2019-12-16",10.17.00,279.7100,279.8700,279.7100,279.8400,42689
="2019-12-16",10.18.00,279.8400,279.9500,279.8200,279.9399,89743
="2019-12-16",10.19.00,279.9400,279.9400,279.8950,279.9150,52491
="2019-12-16",10.20.00,279.9200,280.0000,279.8800,279.9800,60400
="2019-12-16",10.21.00,279.9800,280.1700,279.9800,280.1600,181544
="2019-12-16",10.22.00,280.1593,280.4000,280.1530,280.2900,158013
="2019-12-16",10.23.00,280.2900,280.4600,280.2800,280.4521,96948
="2019-12-16",10.24.00,280.4543,280.4700,280.3000,280.3500,101530
