date,time,open,high,low,close,volume
="2020-03-20",08.30.00,41.3200,41.3200,41.3200,41.3200,2906263
="2020-03-20",08.31.00,41.3600,41.4080,41.0800,41.1801,161839
="2020-03-20",08.32.00,41.1800,41.4600,41.1100,41.4100,353236
="2020-03-20",08.33.00,41.3950,41.3950,41.3950,41.3950,250112
="2020-03-20",08.34.00,41.2150,41.4350,41.2150,41.4350,221053
="2020-03-20",08.35.00,41.4301,41.5700,41.3900,41.5700,525702
="2020-03-20",08.36.00,41.4401,41.4834,41.3738,41.3738,335288
="2020-03-20",08.37.00,41.2400,41.2400,40.9400,40.9400,476356
="2020-03-20",08.38.00,41.0300,41.0300,40.9300,40.9700,290691
="2020-03-20",08.39.00,40.9600,40.9600,40.8700,40.8700,325571
="2020-03-20",08.40.00,40.9701,41.0800,40.9701,41.0800,386746
="2020-03-20",08.41.00,41.2200,41.2200,40.9400,40.9400,405426
="2020-03-20",08.42.00,40.9300,40.9700,40.9300,40.9400,306053
="2020-03-20",08.43.00,40.9200,41.0099,40.9200,40.9600,246296
="2020-03-20",08.44.00,40.9100,40.9100,40.6400,40.6400,443924
="2020-03-20",08.45.00,40.6400,40.6400,40.5300,40.5300,246008
="2020-03-20",08.46.00,40.6000,40.8000,40.6000,40.8000,261545
="2020-03-20",08.47.00,40.7800,41.0800,40.7800,41.0800,380267
="2020-03-20",08.48.00,41.0100,41.1200,41.0100,41.1200,328571
="2020-03-20",08.49.00,41.0050,41.0050,40.8500,40.8500,290461
="2020-03-20",08.50.00,40.8003,40.9200,40.8003,40.9200,219120
="2020-03-20",08.51.00,40.9500,40.9800,40.9500,40.9800,230046
="2020-03-20",08.52.00,41.0000,41.1198,40.9900,41.1198,255234
="2020-03-20",08.53.00,41.1500,41.2900,41.1500,41.2300,285373
="2020-03-20",08.54.00,41.1599,41.2100,41.1599,41.2100,299473
="2020-03-20",08.55.00,41.2100,41.3102,41.2100,41.3102,243772
="2020-03-20",08.56.00,41.2399,41.2399,41.1400,41.1850,288047
="2020-03-20",08.57.00,41.2500,41.2700,41.1000,41.1000,174167
="2020-03-20",08.58.00,41.2100,41.4100,41.0900,41.2390,237117
="2020-03-20",08.59.00,41.2400,41.3500,41.0900,41.3000,157597
="2020-03-20",09.00.00,41.2900,41.6000,41.2101,41.5336,446845
="2020-03-20",09.01.00,41.5100,41.5800,41.3400,41.4850,240867
="2020-03-20",09.02.00,41.4800,41.6100,41.4400,41.5200,275752
="2020-03-20",09.03.00,41.5340,41.5900,41.4400,41.4700,338696
="2020-03-20",09.04.00,41.4600,41.6050,41.3900,41.5000,232630
="2020-03-20",09.05.00,41.5100,41.5500,41.2800,41.3801,313556
="2020-03-20",09.06.00,41.3900,41.4700,41.2600,41.2700,214769
="2020-03-20",09.07.00,41.2700,41.4100,41.2400,41.3200,223021
="2020-03-20",09.08.00,41.3000,41.4300,41.1000,41.2050,380143
="2020-03-20",09.09.00,41.2297,41.3000,41.1100,41.1200,182491
="2020-03-20",09.10.00,41.1100,41.3600,41.0000,41.3600,319844
="2020-03-20",09.11.00,41.3504,41.4000,41.2200,41.3200,322368
="2020-03-20",09.12.00,41.3150,41.3700,41.2357,41.2700,131220
="2020-03-20",09.13.00,41.2700,41.3450,41.1750,41.3400,145026
="2020-03-20",09.14.00,41.3400,41.3400,41.1702,41.2000,130451
="2020-03-20",09.15.00,41.2100,41.5400,41.2100,41.4399,233381
="2020-03-20",09.16.00,41.4300,41.5900,41.3800,41.5400,242321
="2020-03-20",09.17.00,41.5500,41.7100,41.5300,41.6350,458939
="2020-03-20",09.18.00,41.6308,41.7100,41.4800,41.5300,339344
="2020-03-20",09.19.00,41.5300,41.6408,41.4600,41.5800,220254
="2020-03-20",09.20.00,41.5400,41.6199,41.4000,41.5700,210753
="2020-03-20",09.21.00,41.5700,41.7200,41.5500,41.7000,253181
="2020-03-20",09.22.00,41.7000,41.8400,41.7000,41.7800,350898
="2020-03-20",09.23.00,41.7800,41.8000,41.6800,41.7400,132512
="2020-03-20",09.24.00,41.7200,41.8000,41.6000,41.7300,233687
="2020-03-20",09.25.00,41.7300,41.9200,41.7200,41.8897,330944
="2020-03-20",09.26.00,41.8900,42.0500,41.8000,41.8000,564153
="2020-03-20",09.27.00,41.8000,41.9500,41.7600,41.7710,183895
="2020-03-20",09.28.00,41.7700,41.8700,41.6680,41.8400,202772
="2020-03-20",09.29.00,41.8501,41.9050,41.7188,41.7188,159012
="2020-03-20",09.30.00,41.7200,41.8000,41.6301,41.7200,228363
="2020-03-20",09.31.00,41.7400,42.0000,41.7400,41.9437,302250
="2020-03-20",09.32.00,41.9500,42.0500,41.7800,41.9600,443137
="2020-03-20",09.33.00,41.9700,41.9700,41.8300,41.9300,163673
="2020-03-20",09.34.00,41.9255,41.9600,41.8224,41.9400,129789
="2020-03-20",09.35.00,41.9500,41.9800,41.8100,41.8100,230330
="2020-03-20",09.36.00,41.8200,41.9700,41.8200,41.9000,202462
="2020-03-20",09.37.00,41.9000,41.9250,41.8050,41.8700,161842
="2020-03-20",09.38.00,41.8800,41.8900,41.7550,41.8350,180376
="2020-03-20",09.39.00,41.8300,41.9000,41.7900,41.8400,125908
="2020-03-20",09.40.00,41.8400,41.9800,41.7300,41.7500,243553
="2020-03-20",09.41.00,41.7400,41.7680,41.5650,41.6000,253537
="2020-03-20",09.42.00,41.6080,41.6300,41.5100,41.5999,206771
="2020-03-20",09.43.00,41.5950,41.7500,41.5650,41.7041,222655
="2020-03-20",09.44.00,41.7000,41.7800,41.6700,41.7400,182058
="2020-03-20",09.45.00,41.7300,41.7600,41.5700,41.6200,198934
="2020-03-20",09.46.00,41.6200,41.6800,41.4400,41.5500,262040
="2020-03-20",09.47.00,41.5400,41.7501,41.5100,41.6500,244094
="2020-03-20",09.48.00,41.6700,41.8100,41.6700,41.6868,175047
="2020-03-20",09.49.00,41.6900,41.8500,41.6000,41.7841,171826
="2020-03-20",09.50.00,41.7800,41.8900,41.7600,41.8500,153501
="2020-03-20",09.51.00,41.8400,41.9800,41.8300,41.8700,183997
="2020-03-20",09.52.00,41.8650,42.0850,41.8500,41.9500,382658
="2020-03-20",09.53.00,41.9500,42.1700,41.9450,42.1600,246137
="2020-03-20",09.54.00,42.1600,42.1700,42.0300,42.1400,164646
="2020-03-20",09.55.00,42.1500,42.1500,41.9500,42.0400,228260
="2020-03-20",09.56.00,42.0600,42.2300,42.0400,42.2192,368057
="2020-03-20",09.57.00,42.2200,42.2600,42.1600,42.2300,228507
="2020-03-20",09.58.00,42.2200,42.2800,42.1500,42.1700,226734
="2020-03-20",09.59.00,42.1700,42.3200,42.1600,42.2600,249553
="2020-03-20",10.00.00,42.2500,42.3400,42.2000,42.2000,235869
="2020-03-20",10.01.00,42.2000,42.2050,42.0500,42.0950,190878
="2020-03-20",10.02.00,42.0900,42.2100,42.0700,42.1801,153311
="2020-03-20",10.03.00,42.1900,42.2000,42.1000,42.1341,149763
="2020-03-20",10.04.00,42.1250,42.1650,42.0300,42.0900,187701
="2020-03-20",10.05.00,42.0900,42.2700,42.0700,42.2150,266566
="2020-03-20",10.06.00,42.2150,42.3000,42.1400,42.1550,221901
="2020-03-20",10.07.00,42.1600,42.1700,42.0300,42.1100,223709
="2020-03-20",10.08.00,42.1100,42.2500,42.0800,42.2000,170789
="2020-03-20",10.09.00,42.2000,42.3500,42.2000,42.2650,266118
="2020-03-20",10.10.00,42.2650,42.4500,42.2650,42.4300,278990
="2020-03-20",10.11.00,42.4400,42.4825,42.3800,42.4010,309466
="2020-03-20",10.12.00,42.4100,42.4450,42.2800,42.3601,228549
="2020-03-20",10.13.00,42.3750,42.4200,42.2300,42.2800,185404
="2020-03-20",10.14.00,42.2816,42.3399,42.2650,42.2750,142227
="2020-03-20",10.15.00,42.2700,42.3250,42.1400,42.1450,215499
="2020-03-20",10.16.00,42.1400,42.2400,42.1000,42.1300,235519
="2020-03-20",10.17.00,42.1200,42.1550,42.0300,42.0799,232026
="2020-03-20",10.18.00,42.0700,42.2200,42.0700,42.1750,250379
="2020-03-20",10.19.00,42.1750,42.2000,42.0800,42.0907,185008
="2020-03-20",10.20.00,42.0950,42.1199,41.8600,41.8701,347654
="2020-03-20",10.21.00,41.8800,41.9200,41.6500,41.6803,333680
="2020-03-20",10.22.00,41.6900,41.8599,41.6900,41.8107,311836
="2020-03-20",10.23.00,41.8100,41.8300,41.5700,41.6450,270370
="2020-03-20",10.24.00,41.6400,41.7800,41.5200,41.5300,269054
="2020-03-20",10.25.00,41.5300,41.5999,41.4100,41.4156,348218
="2020-03-20",10.26.00,41.4300,41.6600,41.4150,41.6600,339655
="2020-03-20",10.27.00,41.6500,41.8400,41.6401,41.7900,321701
="2020-03-20",10.28.00,41.7720,41.9300,41.7500,41.8900,281273
="2020-03-20",10.29.00,41.8900,41.9480,41.7000,41.7150,217855
="2020-03-20",10.30.00,41.7100,41.7150,41.5200,41.5400,244959
="2020-03-20",10.31.00,41.5400,41.7000,41.5285,41.5550,201086
="2020-03-20",10.32.00,41.5600,41.8400,41.5600,41.7100,218556
="2020-03-20",10.33.00,41.7050,41.7527,41.6200,41.7000,105751
="2020-03-20",10.34.00,41.7100,41.8700,41.6400,41.8345,141395
="2020-03-20",10.35.00,41.8300,41.9800,41.7600,41.8950,248777
="2020-03-20",10.36.00,41.9000,42.0550,41.8200,41.9900,297638
="2020-03-20",10.37.00,42.0000,42.2900,41.9900,42.2100,337578
="2020-03-20",10.38.00,42.2017,42.3500,42.1900,42.1950,318378
="2020-03-20",10.39.00,42.2000,42.3200,42.0900,42.1300,347217
="2020-03-20",10.40.00,42.1400,42.1650,41.9850,42.1450,208412
="2020-03-20",10.41.00,42.1473,42.2800,42.1200,42.2300,180625
="2020-03-20",10.42.00,42.2300,42.2700,42.1000,42.2000,121663
="2020-03-20",10.43.00,42.1800,42.2100,41.9500,42.0300,244023
="2020-03-20",10.44.00,42.0300,42.1500,41.9500,41.9700,203852
="2020-03-20",10.45.00,41.9700,41.9800,41.8100,41.8200,192338
="2020-03-20",10.46.00,41.8200,41.9200,41.7500,41.7600,286450
="2020-03-20",10.47.00,41.7500,41.8800,41.7300,41.7900,167178
="2020-03-20",10.48.00,41.7800,41.9500,41.7300,41.9400,152897
="2020-03-20",10.49.00,41.9400,42.0389,41.8500,41.9700,201731
="2020-03-20",10.50.00,41.9700,42.1700,41.9000,42.0850,218922
="2020-03-20",10.51.00,42.0900,42.1546,41.9700,41.9750,158027
="2020-03-20",10.52.00,41.9750,41.9900,41.8100,41.8201,151100
="2020-03-20",10.53.00,41.8200,41.9000,41.7700,41.8327,204572
="2020-03-20",10.54.00,41.8300,41.8900,41.7900,41.8172,206181
="2020-03-20",10.55.00,41.8043,41.9600,41.8043,41.9200,159875
="2020-03-20",10.56.00,41.9000,42.0800,41.8600,42.0301,163198
="2020-03-20",10.57.00,42.0300,42.2000,41.9700,42.1850,232061
="2020-03-20",10.58.00,42.1850,42.1927,42.0100,42.1150,135078
="2020-03-20",10.59.00,42.1100,42.1700,42.0200,42.0200,70612
="2020-03-20",11.00.00,42.0287,42.1400,42.0000,42.0206,99656
="2020-03-20",11.01.00,42.0500,42.1250,41.9500,41.9500,146086
="2020-03-20",11.02.00,41.9699,41.9700,41.9000,41.9300,89946
="2020-03-20",11.03.00,41.9200,42.0900,41.9100,41.9880,120000
="2020-03-20",11.04.00,41.9850,42.0300,41.8000,41.8300,158551
="2020-03-20",11.05.00,41.8300,41.8400,41.6600,41.7100,308634
="2020-03-20",11.06.00,41.7200,41.7400,41.6400,41.6701,177895
="2020-03-20",11.07.00,41.6706,41.7000,41.6100,41.6550,109639
="2020-03-20",11.08.00,41.6500,41.7200,41.5800,41.6100,303818
="2020-03-20",11.09.00,41.6150,41.6200,41.2400,41.2700,338407
="2020-03-20",11.10.00,41.2700,41.5800,41.2300,41.5700,426354
="2020-03-20",11.11.00,41.5800,41.5800,41.4000,41.4500,264663
="2020-03-20",11.12.00,41.4450,41.5900,41.4200,41.5112,220900
="2020-03-20",11.13.00,41.5150,41.5900,41.4800,41.5200,201265
="2020-03-20",11.14.00,41.5300,41.5800,41.4100,41.4300,141929
="2020-03-20",11.15.00,41.4400,41.5300,41.3700,41.4300,201501
="2020-03-20",11.16.00,41.4350,41.5200,41.3200,41.3383,263480
="2020-03-20",11.17.00,41.3300,41.3700,41.1500,41.2392,359272
="2020-03-20",11.18.00,41.2400,41.3300,41.1601,41.2200,180268
="2020-03-20",11.19.00,41.2300,41.2800,41.1300,41.1900,190352
="2020-03-20",11.20.00,41.1800,41.3200,41.0500,41.0700,205666
="2020-03-20",11.21.00,41.0650,41.0700,40.8400,40.9200,380724
="2020-03-20",11.22.00,40.9300,41.0600,40.8300,40.8350,213367
="2020-03-20",11.23.00,40.8500,40.9400,40.7666,40.9300,171010
="2020-03-20",11.24.00,40.9300,41.0900,40.8700,40.9300,232303
="2020-03-20",11.25.00,40.9100,40.9127,40.7200,40.8200,270649
="2020-03-20",11.26.00,40.8300,40.8587,40.6700,40.6700,173463
="2020-03-20",11.27.00,40.6700,40.8000,40.6427,40.6700,205698
="2020-03-20",11.28.00,40.6600,40.6800,40.3700,40.4289,306983
="2020-03-20",11.29.00,40.4300,40.5699,40.2500,40.5300,394381
="2020-03-20",11.30.00,40.5300,40.6800,40.4000,40.6700,253565
="2020-03-20",11.31.00,40.6700,40.8000,40.6000,40.8000,260271
="2020-03-20",11.32.00,40.8000,40.8300,40.6500,40.7400,188799
="2020-03-20",11.33.00,40.7500,40.9250,40.7432,40.9100,135063
="2020-03-20",11.34.00,40.9300,41.1000,40.9300,41.0300,234042
="2020-03-20",11.35.00,41.0500,41.0550,40.7300,40.8500,307915
="2020-03-20",11.36.00,40.8600,40.9611,40.7400,40.9560,170156
="2020-03-20",11.37.00,40.9350,40.9398,40.7200,40.7740,186858
="2020-03-20",11.38.00,40.7900,40.9000,40.7400,40.7900,112398
