date,time,open,high,low,close,volume
="2019-12-16",08.30.00,328.5300,330.0000,327.9400,328.1200,1094081
="2019-12-16",08.31.00,328.0106,329.8506,326.7476,329.0106,241313
="2019-12-16",08.32.00,329.0038,330.1873,328.6859,329.8138,111646
="2019-12-16",08.33.00,329.8931,331.5673,329.3852,330.8933,185147
="2019-12-16",08.34.00,330.6105,331.1345,329.4629,330.0105,144147
="2019-12-16",08.35.00,329.9908,330.0700,329.5500,329.8200,97746
="2019-12-16",08.36.00,329.9100,331.4000,329.7500,331.1100,114698
="2019-12-16",08.37.00,331.1365,331.4306,329.9094,330.3115,94835
="2019-12-16",08.38.00,330.2300,331.2800,330.2300,330.5800,76868
="2019-12-16",08.39.00,330.6800,331.4100,330.6000,330.8827,93847
="2019-12-16",08.40.00,330.9241,332.0000,330.9058,331.8031,90230
="2019-12-16",08.41.00,331.9200,333.3758,331.9200,332.8860,110252
="2019-12-16",08.42.00,332.9866,334.0000,332.7700,333.6726,98032
="2019-12-16",08.43.00,333.6646,333.7500,332.0000,332.0850,101703
="2019-12-16",08.44.00,332.1285,332.4000,331.4201,331.6253,110486
="2019-12-16",08.45.00,331.6087,332.9623,331.3608,332.2675,105413
="2019-12-16",08.46.00,332.0401,332.8200,332.0200,332.7133,70600
="2019-12-16",08.47.00,332.8200,334.7100,332.7671,334.0867,122925
="2019-12-16",08.48.00,334.0266,334.4104,333.0291,333.5017,70504
="2019-12-16",08.49.00,333.6774,334.2717,333.5600,334.2717,50393
="2019-12-16",08.50.00,334.3000,335.0000,334.1400,334.5900,86788
="2019-12-16",08.51.00,334.7400,335.2900,334.5000,334.8482,68760
="2019-12-16",08.52.00,334.8810,335.2886,334.7280,334.8381,46533
="2019-12-16",08.53.00,334.8000,335.2100,334.6000,334.6100,55577
="2019-12-16",08.54.00,334.5950,334.9400,334.5300,334.5300,33171
="2019-12-16",08.55.00,334.6066,334.8633,333.6324,333.7165,99389
="2019-12-16",08.56.00,333.6800,334.4172,333.6800,334.2000,34137
="2019-12-16",08.57.00,334.2000,334.4200,333.8901,334.1635,44347
="2019-12-16",08.58.00,334.2100,335.1100,334.0000,334.8482,60673
="2019-12-16",08.59.00,334.7300,335.5500,334.6000,335.3000,54452
="2019-12-16",09.00.00,335.3999,335.4100,334.6700,334.8800,47271
="2019-12-16",09.01.00,334.8845,335.8100,334.7500,335.7200,59607
="2019-12-16",09.02.00,335.7774,336.1800,335.7000,336.0100,60157
="2019-12-16",09.03.00,336.0000,336.2330,335.8600,335.9406,54774
="2019-12-16",09.04.00,335.8800,335.9500,335.2000,335.3188,48279
="2019-12-16",09.05.00,335.3000,335.3796,334.8500,335.1498,40771
="2019-12-16",09.06.00,335.2130,335.2700,334.3000,334.5419,56704
="2019-12-16",09.07.00,334.5426,334.8842,333.9233,334.2988,61541
="2019-12-16",09.08.00,334.3436,334.9000,334.1500,334.3299,38275
="2019-12-16",09.09.00,334.2000,334.2300,333.8000,333.9780,48803
="2019-12-16",09.10.00,333.9500,334.1800,333.7900,334.1000,29070
="2019-12-16",09.11.00,333.9400,334.1800,333.9000,334.0100,26512
="2019-12-16",09.12.00,334.0000,334.6700,333.8517,334.5650,28890
="2019-12-16",09.13.00,334.4713,334.6322,334.0000,334.0796,27074
="2019-12-16",09.14.00,334.0300,334.4200,334.0300,334.1069,21186
="2019-12-16",09.15.00,334.1100,334.4000,334.0600,334.1200,21821
="2019-12-16",09.16.00,334.1400,335.1479,334.1400,334.7617,42423
="2019-12-16",09.17.00,334.7500,334.7600,334.2600,334.3011,18267
="2019-12-16",09.18.00,334.3495,334.4800,334.0000,334.1799,20023
="2019-12-16",09.19.00,334.1600,334.7300,334.1400,334.4894,25772
="2019-12-16",09.20.00,334.4950,334.5399,334.0000,334.0200,24097
="2019-12-16",09.21.00,334.0600,334.2418,333.9600,334.2012,30917
="2019-12-16",09.22.00,334.2687,334.4174,334.0100,334.1200,23089
="2019-12-16",09.23.00,334.0914,334.6700,334.0914,334.3500,23103
="2019-12-16",09.24.00,334.4800,334.5792,333.8963,334.0825,30485
="2019-12-16",09.25.00,334.0800,334.1200,333.9600,334.1200,6921
="2019-12-16",09.27.00,333.1598,333.3500,333.1598,333.3500,122903
="2019-12-16",09.28.00,333.2200,333.2400,332.7350,332.8300,62302
="2019-12-16",09.29.00,332.8667,332.9300,332.2100,332.2200,56414
="2019-12-16",09.30.00,332.2700,332.3200,331.7900,332.0322,71221
="2019-12-16",09.31.00,332.0100,332.0500,331.3800,331.5600,62961
="2019-12-16",09.32.00,331.6800,331.6900,331.0700,331.1500,64525
="2019-12-16",09.33.00,331.3000,331.5800,330.6900,330.8900,68910
="2019-12-16",09.34.00,330.8300,330.9000,330.7100,330.9000,43050
="2019-12-16",09.35.00,330.9000,331.9700,330.9000,331.7300,58480
="2019-12-16",09.36.00,331.6000,331.6650,331.0006,331.1100,50371
="2019-12-16",09.37.00,331.1219,331.4276,330.9271,330.9757,47799
="2019-12-16",09.38.00,330.9650,331.0200,330.6100,330.7800,36908
="2019-12-16",09.39.00,330.8200,330.9570,330.7700,330.8627,19787
="2019-12-16",09.40.00,330.8850,330.8850,330.6433,330.7100,39197
="2019-12-16",09.41.00,330.7500,330.9800,330.6300,330.6300,32043
="2019-12-16",09.42.00,330.6300,330.7800,330.3900,330.6224,39404
="2019-12-16",09.43.00,330.6017,331.3499,330.5753,331.2300,40231
="2019-12-16",09.44.00,331.2300,331.2900,330.8501,330.8501,29721
="2019-12-16",09.45.00,330.9411,331.3402,330.9398,330.9723,23055
="2019-12-16",09.46.00,330.9319,331.3876,330.9071,331.0119,31965
="2019-12-16",09.47.00,331.0350,331.8800,331.0100,331.5800,48544
="2019-12-16",09.48.00,331.5807,332.1928,331.4611,331.4766,32646
="2019-12-16",09.49.00,331.5100,332.0000,331.4688,331.5901,39726
="2019-12-16",09.50.00,331.5900,332.0000,331.5801,331.7900,29261
="2019-12-16",09.51.00,331.7900,332.1100,331.7800,332.0300,34907
="2019-12-16",09.52.00,332.0478,332.1600,331.5000,331.5500,33387
="2019-12-16",09.53.00,331.5700,331.9100,331.5100,331.6400,16875
="2019-12-16",09.54.00,331.6900,331.9900,331.5000,331.9200,19318
="2019-12-16",09.55.00,331.9520,332.2700,331.4600,331.5000,37171
="2019-12-16",09.56.00,331.4300,332.4800,331.4300,332.3070,27930
="2019-12-16",09.57.00,332.3441,332.7900,332.2200,332.2900,34985
="2019-12-16",09.58.00,332.2582,332.4399,331.8100,331.8950,20470
="2019-12-16",09.59.00,331.9500,332.3799,331.9500,332.1000,19566
="2019-12-16",10.00.00,332.0800,332.1600,331.8200,331.8300,10937
="2019-12-16",10.01.00,331.8200,331.8433,331.7535,331.7535,23519
="2019-12-16",10.02.00,331.8115,332.1500,331.7883,332.0500,14273
="2019-12-16",10.03.00,332.0300,332.2300,331.8800,331.9150,20306
="2019-12-16",10.04.00,331.9201,332.1600,331.6300,331.6999,44708
="2019-12-16",10.05.00,331.7000,331.9800,331.3300,331.3700,24733
="2019-12-16",10.06.00,331.3300,331.3900,331.0200,331.0200,21846
="2019-12-16",10.07.00,331.0400,331.4200,331.0000,331.1112,22266
="2019-12-16",10.08.00,331.1245,331.5000,331.1000,331.4185,20094
="2019-12-16",10.09.00,331.4230,331.5100,331.2591,331.3650,18126
="2019-12-16",10.10.00,331.4000,331.4000,331.0170,331.2300,17743
="2019-12-16",10.11.00,331.2650,331.3799,331.1000,331.2600,18340
="2019-12-16",10.12.00,331.2200,331.3300,331.0118,331.0118,17786
="2019-12-16",10.13.00,331.0100,331.0200,330.7100,330.7500,46700
="2019-12-16",10.14.00,330.7500,330.8300,330.5600,330.5700,28019
="2019-12-16",10.15.00,330.5300,330.5900,330.3100,330.3563,34944
="2019-12-16",10.16.00,330.3511,330.5900,330.1000,330.2400,39626
="2019-12-16",10.17.00,330.1995,330.5331,330.1995,330.4817,37543
="2019-12-16",10.18.00,330.4506,330.4551,330.2300,330.3900,23623
="2019-12-16",10.19.00,330.3900,330.5700,330.2600,330.4830,28549
="2019-12-16",10.20.00,330.5000,330.5364,330.1300,330.2283,34341
="2019-12-16",10.21.00,330.2076,330.2400,330.1200,330.1200,24596
="2019-12-16",10.22.00,330.1400,330.5700,330.0000,330.3466,47269
