date,time,open,high,low,close,volume
="2019-12-16",08.30.00,206.3300,206.7600,206.1900,206.6900,569908
="2019-12-16",08.31.00,206.7000,207.3200,206.6800,207.3100,252657
="2019-12-16",08.32.00,207.1700,207.5300,206.7700,206.7700,148340
="2019-12-16",08.33.00,206.8100,207.3500,206.7600,207.1300,74945
="2019-12-16",08.34.00,207.1553,207.5834,207.1530,207.2266,73429
="2019-12-16",08.35.00,207.2400,207.5100,207.0400,207.0400,107947
="2019-12-16",08.36.00,207.0654,207.5009,207.0304,207.2054,72397
="2019-12-16",08.37.00,207.2141,207.5532,207.2029,207.2641,88310
="2019-12-16",08.38.00,207.2631,207.3650,207.1500,207.2800,49167
="2019-12-16",08.39.00,207.2600,207.3000,206.8400,206.8900,75635
="2019-12-16",08.40.00,206.8850,207.1600,206.8700,206.9200,78589
="2019-12-16",08.41.00,206.9200,206.9500,206.6500,206.8089,60323
="2019-12-16",08.42.00,206.8200,207.1000,206.8200,207.0300,69593
="2019-12-16",08.43.00,207.0300,207.2000,206.9300,207.1000,52107
="2019-12-16",08.44.00,207.1100,207.1150,206.9300,207.0300,39687
="2019-12-16",08.45.00,207.0454,207.3207,206.9804,206.9854,76549
="2019-12-16",08.46.00,207.0091,207.1929,206.9628,206.9741,52904
="2019-12-16",08.47.00,206.9600,207.1840,206.9501,207.1760,67320
="2019-12-16",08.48.00,207.1750,207.1750,206.8200,206.9900,51628
="2019-12-16",08.49.00,206.9900,207.0000,206.8600,206.8900,45312
="2019-12-16",08.50.00,206.8700,206.9800,206.8100,206.9800,40370
="2019-12-16",08.51.00,206.9803,207.1200,206.9000,207.0300,81564
="2019-12-16",08.52.00,207.0500,207.2000,207.0200,207.1600,52140
="2019-12-16",08.53.00,207.1303,207.2800,207.1303,207.2525,107335
="2019-12-16",08.54.00,207.2526,207.2700,207.0505,207.0800,38889
="2019-12-16",08.55.00,207.0400,207.1100,206.9300,207.0700,33451
="2019-12-16",08.56.00,207.0800,207.1600,206.9800,207.0100,62516
="2019-12-16",08.57.00,207.0200,207.1700,207.0200,207.1100,50431
="2019-12-16",08.58.00,207.1001,207.3800,207.1000,207.3435,90128
="2019-12-16",08.59.00,207.3500,207.3800,207.1600,207.3000,81183
="2019-12-16",09.00.00,207.2750,207.4400,207.2600,207.3419,55771
="2019-12-16",09.01.00,207.3600,207.5000,207.3500,207.4765,53184
="2019-12-16",09.02.00,207.4800,207.5400,207.4000,207.4201,123937
="2019-12-16",09.03.00,207.4500,207.5000,207.3800,207.4835,24684
="2019-12-16",09.04.00,207.4694,207.6000,207.4307,207.4585,83103
="2019-12-16",09.05.00,207.4500,207.6500,207.4300,207.6400,42523
="2019-12-16",09.06.00,207.6300,207.7800,207.5900,207.7800,63703
="2019-12-16",09.07.00,207.7620,207.7800,207.6860,207.7200,26096
="2019-12-16",09.08.00,207.7400,207.9400,207.7200,207.9100,69710
="2019-12-16",09.09.00,207.9017,207.9500,207.8800,207.9200,28316
="2019-12-16",09.10.00,207.9000,207.9500,207.8316,207.8600,26203
="2019-12-16",09.11.00,207.8600,208.0000,207.8600,207.9675,34606
="2019-12-16",09.12.00,207.9675,208.0000,207.8700,207.9488,50263
="2019-12-16",09.13.00,207.9600,208.0000,207.9541,207.9900,51750
="2019-12-16",09.14.00,207.9854,208.0000,207.9600,207.9900,57492
="2019-12-16",09.15.00,207.9900,208.0000,207.7600,207.8300,288073
="2019-12-16",09.16.00,207.8300,207.9500,207.8100,207.8800,28752
="2019-12-16",09.17.00,207.8800,208.0000,207.8800,207.9950,43194
