date,time,open,high,low,close,volume
="2019-12-16",08.30.00,77.3600,77.3800,77.3000,77.3700,42328
="2019-12-16",08.32.00,77.3888,77.3888,77.3888,77.3888,203305
="2019-12-16",08.33.00,77.4031,77.4792,77.3741,77.3931,95988
="2019-12-16",08.34.00,77.3800,77.4500,77.2900,77.3150,47121
="2019-12-16",08.35.00,77.3150,77.3450,77.2900,77.3200,68763
="2019-12-16",08.36.00,77.3100,77.3100,77.2700,77.2900,9730
="2019-12-16",08.37.00,77.2850,77.2880,77.1800,77.1800,184010
="2019-12-16",08.38.00,77.1700,77.1900,77.1200,77.1397,44065
="2019-12-16",08.39.00,77.1400,77.2000,77.1400,77.2000,39431
="2019-12-16",08.40.00,77.1900,77.3200,77.1900,77.3100,50025
="2019-12-16",08.41.00,77.3100,77.3400,77.1600,77.1600,96163
="2019-12-16",08.42.00,77.1724,77.2400,77.1724,77.2200,30698
="2019-12-16",08.43.00,77.2300,77.2900,77.2300,77.2450,81070
="2019-12-16",08.44.00,77.2500,77.2700,77.0700,77.1100,68932
="2019-12-16",08.45.00,77.0800,77.2300,77.0700,77.2200,41156
="2019-12-16",08.46.00,77.2141,77.2500,77.2050,77.2100,55877
="2019-12-16",08.47.00,77.2050,77.2500,77.1950,77.2400,31830
="2019-12-16",08.48.00,77.2400,77.2500,77.2050,77.2500,25345
="2019-12-16",08.49.00,77.2500,77.2500,77.2100,77.2171,19115
="2019-12-16",08.50.00,77.2150,77.2550,77.1400,77.1800,29393
="2019-12-16",08.51.00,77.1750,77.1750,77.1200,77.1250,24515
="2019-12-16",08.52.00,77.1200,77.1500,77.0905,77.1300,113626
="2019-12-16",08.53.00,77.1250,77.1375,77.0800,77.0900,44456
="2019-12-16",08.54.00,77.0900,77.1000,77.0525,77.0700,26468
="2019-12-16",08.55.00,77.0700,77.0950,77.0300,77.0400,28194
="2019-12-16",08.56.00,77.0500,77.0600,77.0100,77.0100,19246
="2019-12-16",08.57.00,77.0100,77.0200,76.9800,77.0100,28621
="2019-12-16",08.58.00,77.0043,77.0800,77.0000,77.0300,35612
="2019-12-16",08.59.00,77.0300,77.0900,77.0200,77.0800,47758
="2019-12-16",09.00.00,77.0800,77.0800,77.0200,77.0450,25998
="2019-12-16",09.01.00,77.0500,77.0500,76.9793,77.0100,43330
="2019-12-16",09.02.00,77.0100,77.0500,77.0100,77.0100,35576
="2019-12-16",09.03.00,77.0100,77.0400,76.9590,76.9590,47602
="2019-12-16",09.04.00,76.9600,76.9900,76.9550,76.9850,22243
="2019-12-16",09.05.00,76.9900,77.0100,76.9200,76.9229,38754
="2019-12-16",09.06.00,76.9200,76.9600,76.9200,76.9400,26395
="2019-12-16",09.07.00,76.9386,77.0000,76.9000,76.9935,29379
="2019-12-16",09.08.00,77.0000,77.0400,76.9500,76.9900,42811
="2019-12-16",09.09.00,76.9900,77.0100,76.9750,76.9950,21480
="2019-12-16",09.10.00,76.9999,77.0200,76.9700,77.0100,35051
="2019-12-16",09.11.00,77.0200,77.1500,77.0200,77.1000,49231
="2019-12-16",09.12.00,77.1000,77.1200,77.0600,77.0650,21870
="2019-12-16",09.13.00,77.0700,77.1200,77.0700,77.0700,28873
="2019-12-16",09.14.00,77.0650,77.1265,77.0600,77.1265,31783
="2019-12-16",09.15.00,77.1300,77.1400,77.0450,77.0500,28904
="2019-12-16",09.16.00,77.0400,77.1100,77.0400,77.0650,43801
="2019-12-16",09.17.00,77.0650,77.0650,77.0400,77.0400,16596
="2019-12-16",09.18.00,77.0400,77.0900,77.0400,77.0900,26941
="2019-12-16",09.19.00,77.1000,77.1800,77.1000,77.1759,23752
="2019-12-16",09.20.00,77.1730,77.1850,77.1300,77.1450,43353
="2019-12-16",09.21.00,77.1500,77.1600,77.1100,77.1100,11146
="2019-12-16",09.22.00,77.1150,77.1200,77.0550,77.0550,26025
="2019-12-16",09.23.00,77.0550,77.0700,77.0350,77.0600,28601
="2019-12-16",09.24.00,77.0650,77.0947,77.0600,77.0700,15379
="2019-12-16",09.25.00,77.0700,77.0900,77.0500,77.0850,43261
="2019-12-16",09.26.00,77.0900,77.0900,77.0300,77.0400,21350
="2019-12-16",09.27.00,77.0400,77.0850,77.0200,77.0850,34817
="2019-12-16",09.28.00,77.0900,77.1550,77.0900,77.1400,36609
="2019-12-16",09.29.00,77.1450,77.1600,77.0600,77.0600,22812
="2019-12-16",09.30.00,77.0600,77.1400,76.9800,77.0000,152863
="2019-12-16",09.31.00,76.9900,77.0500,76.9800,77.0400,54256
="2019-12-16",09.32.00,77.0300,77.0900,77.0300,77.0750,25792
="2019-12-16",09.33.00,77.0750,77.1200,77.0741,77.1000,18850
="2019-12-16",09.34.00,77.1450,77.1450,77.1200,77.1200,22074
