date,time,open,high,low,close,volume
="2019-12-16",08.30.00,45.8000,46.0300,45.8000,46.0100,680511
="2019-12-16",08.32.00,46.0950,46.0950,46.0950,46.0950,190278
="2019-12-16",08.33.00,46.0979,46.1100,46.0600,46.0690,56975
="2019-12-16",08.34.00,46.0700,46.0700,46.0050,46.0050,78051
="2019-12-16",08.35.00,45.9400,46.0400,45.9400,46.0400,103994
="2019-12-16",08.36.00,46.0050,46.0050,46.0050,46.0050,44133
="2019-12-16",08.37.00,46.0700,46.0700,46.0700,46.0700,213676
="2019-12-16",08.38.00,46.0801,46.0900,46.0801,46.0900,49374
="2019-12-16",08.39.00,46.0958,46.1349,46.0699,46.0828,63347
="2019-12-16",08.40.00,46.0850,46.1000,46.0709,46.0709,36312
="2019-12-16",08.41.00,46.0800,46.1150,46.0800,46.1150,81853
="2019-12-16",08.42.00,46.1150,46.1150,46.0937,46.0937,40804
="2019-12-16",08.43.00,46.1000,46.1200,46.1000,46.1200,108047
="2019-12-16",08.44.00,46.1100,46.1100,46.1087,46.1087,73827
="2019-12-16",08.45.00,46.0900,46.1200,46.0900,46.1100,69966
="2019-12-16",08.46.00,46.1100,46.1200,46.1100,46.1200,47088
="2019-12-16",08.47.00,46.1500,46.2300,46.1500,46.2300,113956
="2019-12-16",08.48.00,46.2500,46.2500,46.2150,46.2500,89762
="2019-12-16",08.49.00,46.2450,46.2450,46.2201,46.2201,59079
="2019-12-16",08.50.00,46.2000,46.2000,46.1550,46.1550,77966
="2019-12-16",08.51.00,46.1400,46.1619,46.1400,46.1619,86038
="2019-12-16",08.52.00,46.1650,46.1650,46.1050,46.1145,127281
="2019-12-16",08.53.00,46.1150,46.1600,46.1150,46.1600,55880
="2019-12-16",08.54.00,46.1600,46.1850,46.1600,46.1850,40588
="2019-12-16",08.55.00,46.1850,46.1939,46.1850,46.1900,37942
="2019-12-16",08.56.00,46.1950,46.2155,46.1950,46.2155,54673
="2019-12-16",08.57.00,46.2100,46.2200,46.2100,46.2200,46114
="2019-12-16",08.58.00,46.2143,46.2300,46.2100,46.2150,26474
="2019-12-16",08.59.00,46.2100,46.2200,46.1800,46.1900,92254
="2019-12-16",09.00.00,46.1900,46.2200,46.1900,46.2140,40019
="2019-12-16",09.01.00,46.2150,46.2500,46.2100,46.2450,85688
="2019-12-16",09.02.00,46.2500,46.2800,46.2400,46.2650,79623
="2019-12-16",09.03.00,46.2700,46.2700,46.2300,46.2400,58791
="2019-12-16",09.04.00,46.2400,46.2550,46.2350,46.2500,26433
="2019-12-16",09.05.00,46.2550,46.2800,46.2200,46.2550,71352
="2019-12-16",09.06.00,46.2600,46.3000,46.2550,46.2851,85114
="2019-12-16",09.07.00,46.2855,46.3300,46.2855,46.3219,108697
="2019-12-16",09.08.00,46.3250,46.3800,46.3250,46.3701,133668
="2019-12-16",09.09.00,46.3800,46.3800,46.3510,46.3800,73162
="2019-12-16",09.10.00,46.3800,46.4300,46.3700,46.4150,91692
="2019-12-16",09.11.00,46.4100,46.4900,46.4100,46.4900,159738
