date,time,open,high,low,close,volume
="2019-12-16",08.30.00,147.5900,147.6400,147.3500,147.3800,281464
="2019-12-16",08.31.00,147.3800,147.3870,147.0500,147.1735,34108
="2019-12-16",08.32.00,147.1261,147.4317,147.1064,147.2462,40264
="2019-12-16",08.33.00,147.1900,147.4120,147.1900,147.3300,27726
="2019-12-16",08.34.00,147.2833,147.3950,147.2200,147.3750,28641
="2019-12-16",08.35.00,147.3460,147.4700,147.3460,147.4400,25857
="2019-12-16",08.36.00,147.4500,147.6899,147.4500,147.5101,40605
="2019-12-16",08.37.00,147.5700,147.6600,147.5700,147.6000,23305
="2019-12-16",08.38.00,147.6200,147.6500,147.4400,147.4600,35526
="2019-12-16",08.39.00,147.4600,147.5600,147.4600,147.4700,13623
="2019-12-16",08.40.00,147.4500,147.4560,147.2834,147.4000,17842
="2019-12-16",08.41.00,147.4160,147.4500,147.2400,147.2639,29865
="2019-12-16",08.42.00,147.2300,147.2850,147.1900,147.2150,30455
="2019-12-16",08.43.00,147.2150,147.2499,147.0700,147.0900,22074
="2019-12-16",08.44.00,147.0950,147.1600,147.0950,147.1384,14885
="2019-12-16",08.45.00,147.1550,147.1900,147.0400,147.0850,33444
="2019-12-16",08.46.00,147.1000,147.1000,146.9605,146.9900,34514
="2019-12-16",08.47.00,147.0000,147.0045,146.6900,146.7250,64475
="2019-12-16",08.48.00,146.7400,146.8799,146.7100,146.7100,51266
="2019-12-16",08.49.00,146.7200,146.7400,146.5900,146.7200,37683
="2019-12-16",08.50.00,146.7300,146.7300,146.5500,146.6600,54365
="2019-12-16",08.51.00,146.6800,146.9500,146.6678,146.8400,38066
="2019-12-16",08.52.00,146.8477,147.0200,146.7900,146.9800,36672
="2019-12-16",08.53.00,146.9500,147.0400,146.8400,146.9600,43692
="2019-12-16",08.54.00,146.9100,146.9500,146.7900,146.8124,42796
="2019-12-16",08.55.00,146.8249,146.8249,146.6723,146.6900,44694
="2019-12-16",08.56.00,146.7000,146.8300,146.6600,146.8000,31593
="2019-12-16",08.57.00,146.8100,146.8900,146.7500,146.7700,32095
="2019-12-16",08.58.00,146.7700,146.8400,146.7186,146.7400,61015
="2019-12-16",08.59.00,146.7400,146.9100,146.6600,146.8800,25648
="2019-12-16",09.00.00,146.9000,147.1200,146.8700,147.0935,39839
="2019-12-16",09.01.00,147.0750,147.1200,147.0600,147.1000,21320
="2019-12-16",09.02.00,147.1100,147.1650,147.0261,147.0312,22729
="2019-12-16",09.03.00,147.0100,147.0800,146.9301,147.0657,26257
="2019-12-16",09.04.00,147.0726,147.2000,147.0700,147.1850,16259
="2019-12-16",09.05.00,147.1850,147.2900,147.0700,147.1200,22932
="2019-12-16",09.06.00,147.1000,147.1700,147.0000,147.0000,18876
="2019-12-16",09.07.00,147.0100,147.1168,146.9501,147.1150,27111
="2019-12-16",09.08.00,147.1000,147.1992,147.0950,147.1899,24529
="2019-12-16",09.09.00,147.1600,147.1700,147.0500,147.1000,22785
="2019-12-16",09.10.00,147.0900,147.1300,147.0361,147.0500,15908
="2019-12-16",09.11.00,147.0500,147.1300,147.0350,147.0900,31774
="2019-12-16",09.12.00,147.0600,147.0600,146.9700,146.9900,25359
="2019-12-16",09.13.00,146.9601,147.0256,146.9601,147.0000,15639
="2019-12-16",09.14.00,147.0000,147.0300,146.8800,146.9132,29438
="2019-12-16",09.15.00,146.9189,146.9700,146.9100,146.9200,11603
="2019-12-16",09.16.00,146.9307,146.9900,146.9200,146.9200,15340
="2019-12-16",09.17.00,146.9200,146.9700,146.8900,146.9000,15955
="2019-12-16",09.18.00,146.9000,146.9900,146.9000,146.9600,14177
