date,time,open,high,low,close,volume
="2019-12-16",08.30.00,195.2732,195.4391,194.9787,195.0832,352087
="2019-12-16",08.32.00,195.4500,195.4500,195.4500,195.4500,147516
="2019-12-16",08.33.00,195.4300,195.6200,195.3700,195.5750,58860
="2019-12-16",08.34.00,195.8500,195.8500,195.8500,195.8500,89754
="2019-12-16",08.35.00,195.9400,196.1400,195.8200,196.1350,98826
="2019-12-16",08.36.00,196.1100,196.1100,196.1100,196.1100,11751
="2019-12-16",08.37.00,196.7654,196.7654,196.7450,196.7450,156618
="2019-12-16",08.38.00,196.8400,196.8400,196.8350,196.8350,104134
="2019-12-16",08.39.00,196.8396,196.8396,196.5513,196.5513,67974
="2019-12-16",08.40.00,196.6600,196.7909,196.6600,196.7909,79210
="2019-12-16",08.41.00,196.8737,196.9200,196.8737,196.9200,50937
="2019-12-16",08.42.00,196.9135,196.9135,196.9000,196.9000,33328
="2019-12-16",08.43.00,196.9100,197.0800,196.9100,197.0800,84455
="2019-12-16",08.44.00,197.1241,197.2449,197.1241,197.2449,74184
="2019-12-16",08.45.00,197.2300,197.5549,197.2300,197.4131,68760
="2019-12-16",08.46.00,197.5550,197.5550,197.5550,197.5550,73778
="2019-12-16",08.47.00,197.5600,197.6500,197.5600,197.6500,47235
="2019-12-16",08.48.00,197.6400,197.6400,197.4201,197.4201,68845
="2019-12-16",08.49.00,197.4000,197.4650,197.3600,197.4200,79954
="2019-12-16",08.50.00,197.3100,197.5200,197.3100,197.5000,65697
="2019-12-16",08.51.00,197.4400,197.5300,197.4400,197.5300,39146
="2019-12-16",08.52.00,197.5700,197.6800,197.5700,197.6800,49807
="2019-12-16",08.53.00,197.7159,197.7159,197.6300,197.6300,46414
="2019-12-16",08.54.00,197.6300,197.6600,197.4863,197.4863,58068
="2019-12-16",08.55.00,197.4850,197.5925,197.4850,197.5925,34208
="2019-12-16",08.56.00,197.6300,197.6300,197.5800,197.5800,36955
="2019-12-16",08.57.00,197.5660,197.6500,197.5660,197.6393,37274
="2019-12-16",08.58.00,197.7000,197.7000,197.5900,197.6500,45758
="2019-12-16",08.59.00,197.6600,197.6700,197.3700,197.5200,54798
="2019-12-16",09.00.00,197.4900,197.7009,197.4900,197.7009,45998
="2019-12-16",09.01.00,197.6900,197.9400,197.6800,197.9100,73094
="2019-12-16",09.02.00,197.9100,198.0900,197.9100,198.0120,85294
="2019-12-16",09.03.00,198.0155,198.1000,197.9900,198.0680,47094
="2019-12-16",09.04.00,198.0300,198.2800,198.0300,198.2100,60805
="2019-12-16",09.05.00,198.2100,198.2200,198.0200,198.1100,36878
="2019-12-16",09.06.00,198.1300,198.1300,197.8000,197.8700,60316
="2019-12-16",09.07.00,197.8800,198.1300,197.8800,198.0050,44079
="2019-12-16",09.08.00,198.0100,198.0700,197.8700,198.0100,32262
="2019-12-16",09.09.00,197.9901,198.0400,197.8900,197.8900,31759
="2019-12-16",09.10.00,197.9100,197.9200,197.8000,197.9150,52744
="2019-12-16",09.11.00,197.9000,197.9400,197.8400,197.8700,22206
="2019-12-16",09.12.00,197.8767,198.1600,197.8500,198.1500,61416
="2019-12-16",09.13.00,198.1000,198.2000,198.0900,198.1650,50904
="2019-12-16",09.14.00,198.1750,198.5200,198.1700,198.4000,118180
="2019-12-16",09.15.00,198.3800,198.7200,198.3645,198.6600,93156
="2019-12-16",09.16.00,198.6500,198.7300,198.6150,198.6901,68159
="2019-12-16",09.17.00,198.7100,198.7800,198.7100,198.7530,75396
="2019-12-16",09.18.00,198.7800,198.9500,198.7500,198.9350,50800
="2019-12-16",09.19.00,198.9400,199.1200,198.9000,198.9000,110682
="2019-12-16",09.20.00,198.9090,198.9200,198.7200,198.7600,46185
="2019-12-16",09.21.00,198.7500,198.8600,198.5500,198.5500,45855
="2019-12-16",09.22.00,198.5201,198.5900,198.4600,198.5600,36265
="2019-12-16",09.23.00,198.5700,198.8500,198.5700,198.8000,46102
="2019-12-16",09.24.00,198.8173,198.8400,198.6750,198.8000,40465
="2019-12-16",09.25.00,198.7949,198.7949,198.6700,198.7400,23045
="2019-12-16",09.26.00,198.7301,198.8500,198.7203,198.8000,26624
="2019-12-16",09.27.00,198.8200,198.8500,198.8124,198.8400,13756
="2019-12-16",09.28.00,198.8300,198.9000,198.8001,198.8200,45339
="2019-12-16",09.29.00,198.8300,198.8600,198.7100,198.7800,42018
="2019-12-16",09.30.00,198.7650,198.7900,198.7000,198.7800,25628
="2019-12-16",09.31.00,198.7850,198.8900,198.7300,198.8600,49301
