date,time,open,high,low,close,volume
="2019-12-16",08.30.00,58.2100,58.4400,58.2100,58.4200,404122
="2019-12-16",08.33.00,58.5400,58.5500,58.4800,58.4900,261724
="2019-12-16",08.34.00,58.5200,58.5200,58.5200,58.5200,56184
="2019-12-16",08.35.00,58.5350,58.5350,58.4300,58.4300,76169
="2019-12-16",08.36.00,58.4150,58.4150,58.4150,58.4150,4856
="2019-12-16",08.37.00,58.4756,58.4756,58.4700,58.4700,54961
="2019-12-16",08.38.00,58.4600,58.4600,58.4300,58.4300,44366
="2019-12-16",08.39.00,58.4400,58.4400,58.4100,58.4100,77204
="2019-12-16",08.40.00,58.4100,58.4200,58.4100,58.4200,45229
="2019-12-16",08.41.00,58.4300,58.4300,58.4050,58.4050,44925
="2019-12-16",08.42.00,58.4100,58.4400,58.4100,58.4400,44691
="2019-12-16",08.43.00,58.4400,58.4699,58.4400,58.4699,27421
="2019-12-16",08.44.00,58.4700,58.4700,58.4350,58.4350,37146
="2019-12-16",08.45.00,58.4550,58.4550,58.4132,58.4132,64035
="2019-12-16",08.46.00,58.4200,58.4200,58.4200,58.4200,18495
="2019-12-16",08.47.00,58.4150,58.4300,58.4150,58.4300,38602
="2019-12-16",08.48.00,58.4500,58.4500,58.4200,58.4200,16314
="2019-12-16",08.49.00,58.4000,58.4050,58.4000,58.4000,120588
="2019-12-16",08.50.00,58.4050,58.4050,58.3963,58.3963,31437
="2019-12-16",08.51.00,58.3750,58.3750,58.3750,58.3750,60002
="2019-12-16",08.52.00,58.3750,58.3900,58.3750,58.3900,67827
="2019-12-16",08.53.00,58.3950,58.3950,58.3900,58.3900,216
="2019-12-16",08.54.00,58.3900,58.3900,58.3600,58.3600,0
="2019-12-16",08.55.00,58.3600,58.3850,58.3600,58.3850,1781590
="2019-12-16",08.56.00,58.3900,58.3900,58.3900,58.3900,33386
="2019-12-16",08.57.00,58.3850,58.3850,58.3800,58.3800,57614
="2019-12-16",08.58.00,58.3950,58.4000,58.3750,58.3850,58372
="2019-12-16",08.59.00,58.3900,58.4000,58.3600,58.3800,38722
="2019-12-16",09.00.00,58.3821,58.4543,58.3742,58.3887,49047
="2019-12-16",09.01.00,58.3850,58.3850,58.3400,58.3400,38412
="2019-12-16",09.02.00,58.3500,58.3953,58.3450,58.3900,48415
="2019-12-16",09.03.00,58.3850,58.3900,58.3550,58.3550,39978
="2019-12-16",09.04.00,58.3510,58.4250,58.3510,58.4100,27773
="2019-12-16",09.05.00,58.4200,58.4400,58.3950,58.3950,26961
="2019-12-16",09.06.00,58.4000,58.4000,58.3700,58.3800,29494
="2019-12-16",09.07.00,58.3800,58.4100,58.3749,58.4100,32690
="2019-12-16",09.08.00,58.4100,58.4600,58.4088,58.4500,81171
="2019-12-16",09.09.00,58.4402,58.4600,58.4250,58.4400,44783
="2019-12-16",09.10.00,58.4500,58.4500,58.4300,58.4300,43204
="2019-12-16",09.11.00,58.4400,58.4550,58.4300,58.4500,37206
="2019-12-16",09.12.00,58.4539,58.4600,58.4100,58.4400,37046
="2019-12-16",09.13.00,58.4400,58.4700,58.4350,58.4500,80235
="2019-12-16",09.14.00,58.4567,58.4600,58.3800,58.3900,61687
="2019-12-16",09.15.00,58.3900,58.4050,58.3500,58.3972,56175
="2019-12-16",09.16.00,58.4000,58.4100,58.3916,58.4100,23134
="2019-12-16",09.17.00,58.4000,58.4200,58.3900,58.3950,35120
="2019-12-16",09.18.00,58.3900,58.4000,58.3700,58.4000,20910
="2019-12-16",09.19.00,58.3950,58.4050,58.3800,58.3800,30406
="2019-12-16",09.20.00,58.3900,58.4150,58.3800,58.4100,23520
="2019-12-16",09.21.00,58.4200,58.4300,58.3800,58.3900,20245
="2019-12-16",09.22.00,58.3988,58.4000,58.3700,58.3700,25581
="2019-12-16",09.23.00,58.3600,58.3800,58.3550,58.3700,19103
="2019-12-16",09.24.00,58.3750,58.3850,58.3600,58.3800,15265
="2019-12-16",09.25.00,58.3700,58.3900,58.3700,58.3900,22789
="2019-12-16",09.26.00,58.3900,58.3900,58.3700,58.3750,11125
="2019-12-16",09.27.00,58.3800,58.3800,58.3500,58.3510,19130
="2019-12-16",09.28.00,58.3500,58.4000,58.3450,58.3850,44038
="2019-12-16",09.29.00,58.3900,58.3900,58.3650,58.3749,15124
="2019-12-16",09.30.00,58.3800,58.4000,58.3700,58.3750,13775
="2019-12-16",09.31.00,58.3700,58.3750,58.3200,58.3200,31399
="2019-12-16",09.32.00,58.3256,58.3264,58.3000,58.3087,12964
="2019-12-16",09.33.00,58.3100,58.3250,58.3050,58.3100,24957
="2019-12-16",09.34.00,58.2900,58.3100,58.2850,58.3100,42468
="2019-12-16",09.35.00,58.3162,58.3162,58.3050,58.3100,17975
="2019-12-16",09.36.00,58.3200,58.3350,58.3050,58.3350,31923
="2019-12-16",09.37.00,58.3300,58.3650,58.3290,58.3500,26515
="2019-12-16",09.38.00,58.3500,58.3550,58.3400,58.3500,9780
="2019-12-16",09.39.00,58.3500,58.3600,58.3400,58.3500,23239
="2019-12-16",09.40.00,58.3443,58.3600,58.3400,58.3500,17111
="2019-12-16",09.41.00,58.3520,58.3700,58.3500,58.3650,29009
="2019-12-16",09.42.00,58.3641,58.3800,58.3600,58.3750,21980
="2019-12-16",09.43.00,58.3730,58.3800,58.3600,58.3775,28383
="2019-12-16",09.44.00,58.3800,58.3800,58.3500,58.3599,30998
="2019-12-16",09.45.00,58.3600,58.3850,58.3400,58.3550,15446
="2019-12-16",09.46.00,58.3500,58.3600,58.3400,58.3500,29564
="2019-12-16",09.47.00,58.3500,58.3600,58.3400,58.3500,29666
="2019-12-16",09.48.00,58.3500,58.3600,58.3000,58.3100,37674
="2019-12-16",09.49.00,58.3000,58.3250,58.2900,58.3100,43794
="2019-12-16",09.50.00,58.3100,58.3300,58.3000,58.3250,24359
="2019-12-16",09.51.00,58.3250,58.3400,58.3157,58.3266,37863
="2019-12-16",09.52.00,58.3250,58.3250,58.3000,58.3050,22200
="2019-12-16",09.53.00,58.3000,58.3100,58.2950,58.3050,25504
="2019-12-16",09.54.00,58.3000,58.3100,58.2900,58.3000,11418
="2019-12-16",09.55.00,58.3050,58.3150,58.3000,58.3100,28852
="2019-12-16",09.56.00,58.3000,58.3100,58.3000,58.3050,12444
="2019-12-16",09.57.00,58.3100,58.3150,58.3000,58.3150,14846
="2019-12-16",09.58.00,58.3150,58.3200,58.3100,58.3150,18954
="2019-12-16",09.59.00,58.3200,58.3300,58.3000,58.3300,37935
="2019-12-16",10.00.00,58.3300,58.3350,58.3150,58.3163,21297
="2019-12-16",10.02.00,58.2800,58.2900,58.2500,58.2500,73968
="2019-12-16",10.03.00,58.2500,58.2600,58.2400,58.2574,24768
="2019-12-16",10.04.00,58.2500,58.2600,58.2450,58.2550,14777
="2019-12-16",10.05.00,58.2600,58.2650,58.2450,58.2500,22420
="2019-12-16",10.06.00,58.2400,58.2500,58.2200,58.2400,39583
="2019-12-16",10.07.00,58.2400,58.2750,58.2300,58.2710,21775
="2019-12-16",10.08.00,58.2800,58.2800,58.2600,58.2700,9663
="2019-12-16",10.09.00,58.2700,58.2900,58.2700,58.2820,13081
="2019-12-16",10.10.00,58.2827,58.2900,58.2600,58.2830,19003
="2019-12-16",10.11.00,58.2850,58.3000,58.2750,58.2800,22904
="2019-12-16",10.12.00,58.2899,58.2899,58.2740,58.2750,11136
="2019-12-16",10.13.00,58.2731,58.2750,58.2600,58.2687,14625
="2019-12-16",10.14.00,58.2600,58.2900,58.2600,58.2850,14280
="2019-12-16",10.15.00,58.2900,58.3100,58.2800,58.3000,52712
="2019-12-16",10.16.00,58.2950,58.2950,58.2700,58.2750,15658
="2019-12-16",10.17.00,58.2800,58.3000,58.2750,58.2950,15040
