date,time,open,high,low,close,volume
="2019-12-16",08.30.00,50.7208,50.8740,50.6839,50.8088,211796
="2019-12-16",08.32.00,50.9463,50.9463,50.9463,50.9463,64915
="2019-12-16",08.33.00,50.9450,50.9450,50.8900,50.8900,36653
="2019-12-16",08.34.00,50.8900,50.9200,50.8300,50.8300,15599
="2019-12-16",08.35.00,50.8450,50.8450,50.7250,50.7250,18644
="2019-12-16",08.37.00,50.6300,50.6300,50.5900,50.5900,53358
="2019-12-16",08.38.00,50.5900,50.5900,50.5000,50.5400,26171
="2019-12-16",08.39.00,50.5400,50.5530,50.4900,50.5100,23316
="2019-12-16",08.40.00,50.4900,50.5400,50.4900,50.5300,12136
="2019-12-16",08.41.00,50.5400,50.5400,50.4550,50.4750,18021
="2019-12-16",08.42.00,50.4700,50.5400,50.4700,50.5400,10702
="2019-12-16",08.43.00,50.5400,50.5400,50.5200,50.5300,7238
="2019-12-16",08.44.00,50.5383,50.5478,50.4631,50.4700,24176
="2019-12-16",08.45.00,50.4700,50.5350,50.4600,50.5200,16454
="2019-12-16",08.46.00,50.5250,50.5733,50.5150,50.5619,17097
="2019-12-16",08.47.00,50.5650,50.6500,50.5550,50.6321,12997
="2019-12-16",08.48.00,50.6369,50.7000,50.6369,50.6700,30569
="2019-12-16",08.49.00,50.6800,50.7100,50.6300,50.6300,15456
="2019-12-16",08.50.00,50.6300,50.6425,50.6000,50.6050,8446
="2019-12-16",08.51.00,50.6035,50.6200,50.5700,50.5800,12393
="2019-12-16",08.52.00,50.5824,50.5950,50.5600,50.5800,11423
="2019-12-16",08.53.00,50.5900,50.6000,50.5550,50.5550,8671
="2019-12-16",08.54.00,50.5500,50.5552,50.5200,50.5250,9480
="2019-12-16",08.55.00,50.5300,50.5400,50.5000,50.5000,8860
="2019-12-16",08.56.00,50.5025,50.5200,50.4700,50.4700,19727
="2019-12-16",08.57.00,50.4650,50.4870,50.4550,50.4550,10588
="2019-12-16",08.58.00,50.4550,50.4800,50.4500,50.4765,9266
="2019-12-16",08.59.00,50.4800,50.5100,50.4700,50.5000,5911
="2019-12-16",09.00.00,50.5100,50.5400,50.5000,50.5300,10612
="2019-12-16",09.01.00,50.5300,50.5300,50.4900,50.4950,9663
="2019-12-16",09.02.00,50.5000,50.5200,50.4500,50.4558,28200
="2019-12-16",09.03.00,50.4600,50.4899,50.4600,50.4899,3938
="2019-12-16",09.04.00,50.4894,50.5300,50.4894,50.5200,11940
="2019-12-16",09.05.00,50.5300,50.5500,50.5300,50.5500,8975
="2019-12-16",09.06.00,50.5475,50.5475,50.5236,50.5300,6174
="2019-12-16",09.07.00,50.5200,50.5200,50.4700,50.5100,25060
="2019-12-16",09.08.00,50.5200,50.5400,50.5200,50.5300,8597
="2019-12-16",09.09.00,50.5350,50.5700,50.5300,50.5450,9927
="2019-12-16",09.10.00,50.5500,50.6000,50.5467,50.5950,9513
="2019-12-16",09.11.00,50.5900,50.6200,50.5700,50.6100,15534
="2019-12-16",09.12.00,50.6050,50.6250,50.5844,50.6250,25669
="2019-12-16",09.13.00,50.6234,50.6300,50.5557,50.5557,8410
="2019-12-16",09.14.00,50.5600,50.5600,50.5300,50.5300,13080
="2019-12-16",09.15.00,50.5346,50.5450,50.5000,50.5003,10660
="2019-12-16",09.16.00,50.5100,50.5700,50.5000,50.5500,20467
="2019-12-16",09.17.00,50.5500,50.5700,50.5500,50.5700,4538
="2019-12-16",09.18.00,50.5750,50.5900,50.5700,50.5899,4722
="2019-12-16",09.19.00,50.5867,50.6050,50.5750,50.6000,4881
="2019-12-16",09.20.00,50.6100,50.6250,50.6100,50.6100,12925
="2019-12-16",09.21.00,50.6150,50.6300,50.6000,50.6200,24203
="2019-12-16",09.22.00,50.6200,50.6300,50.6000,50.6300,12513
="2019-12-16",09.23.00,50.6236,50.6400,50.6173,50.6204,8660
="2019-12-16",09.24.00,50.6200,50.6550,50.6200,50.6525,14753
="2019-12-16",09.25.00,50.6550,50.6600,50.5600,50.5900,40188
="2019-12-16",09.26.00,50.5900,50.6200,50.5700,50.6200,19725
="2019-12-16",09.27.00,50.6128,50.6200,50.6000,50.6095,6914
="2019-12-16",09.28.00,50.6099,50.6300,50.6000,50.6300,9668
="2019-12-16",09.29.00,50.6395,50.6754,50.6300,50.6500,24804
="2019-12-16",09.30.00,50.6499,50.6800,50.6300,50.6350,13046
="2019-12-16",09.31.00,50.6300,50.6600,50.6100,50.6400,14769
="2019-12-16",09.32.00,50.6369,50.6500,50.6300,50.6300,4775
="2019-12-16",09.33.00,50.6200,50.6200,50.5800,50.5900,13331
="2019-12-16",09.34.00,50.5950,50.5950,50.5500,50.5591,19943
="2019-12-16",09.35.00,50.5600,50.5700,50.5500,50.5500,21020
="2019-12-16",09.36.00,50.5557,50.5700,50.5500,50.5600,10553
="2019-12-16",09.37.00,50.5554,50.5677,50.5200,50.5200,11716
="2019-12-16",09.38.00,50.5150,50.5150,50.5000,50.5000,12644
="2019-12-16",09.39.00,50.5100,50.5100,50.5000,50.5040,5233
="2019-12-16",09.40.00,50.5100,50.5200,50.4950,50.4950,26606
="2019-12-16",09.41.00,50.4950,50.5000,50.4830,50.4900,7055
="2019-12-16",09.42.00,50.4900,50.5000,50.4600,50.4600,8571
="2019-12-16",09.43.00,50.4550,50.4600,50.4000,50.4054,17569
="2019-12-16",09.44.00,50.4000,50.4300,50.4000,50.4300,12328
="2019-12-16",09.45.00,50.4300,50.4400,50.3900,50.4100,9325
="2019-12-16",09.46.00,50.4150,50.4374,50.4100,50.4100,8797
="2019-12-16",09.47.00,50.4100,50.4200,50.4000,50.4150,8179
="2019-12-16",09.48.00,50.4126,50.4300,50.4100,50.4200,7353
="2019-12-16",09.49.00,50.4250,50.4900,50.4250,50.4855,14410
="2019-12-16",09.50.00,50.4900,50.4947,50.4750,50.4850,7833
="2019-12-16",09.51.00,50.4800,50.4900,50.4750,50.4837,9563
="2019-12-16",09.52.00,50.4800,50.5050,50.4800,50.4943,7992
="2019-12-16",09.53.00,50.4901,50.5000,50.4800,50.4900,18356
="2019-12-16",09.54.00,50.4950,50.5050,50.4900,50.4950,21849
="2019-12-16",09.55.00,50.4900,50.5000,50.4800,50.4800,13730
="2019-12-16",09.56.00,50.4700,50.4800,50.4450,50.4500,9758
="2019-12-16",09.57.00,50.4434,50.4450,50.4100,50.4100,17330
="2019-12-16",09.58.00,50.4150,50.4300,50.4100,50.4250,11359
="2019-12-16",09.59.00,50.4200,50.4500,50.4100,50.4500,10885
="2019-12-16",10.00.00,50.4500,50.4500,50.4415,50.4500,2075
="2019-12-16",10.02.00,50.4550,50.4550,50.4300,50.4300,40606
="2019-12-16",10.03.00,50.4301,50.4301,50.4150,50.4154,17114
="2019-12-16",10.04.00,50.4150,50.4200,50.3750,50.3800,29893
="2019-12-16",10.05.00,50.3700,50.3800,50.3500,50.3799,9018
="2019-12-16",10.06.00,50.3704,50.3799,50.3700,50.3753,7739
="2019-12-16",10.07.00,50.3765,50.4000,50.3700,50.3945,13574
="2019-12-16",10.08.00,50.3900,50.3955,50.3850,50.3850,5285
="2019-12-16",10.09.00,50.3800,50.4032,50.3800,50.4032,6899
="2019-12-16",10.10.00,50.4053,50.4300,50.4000,50.4000,8245
="2019-12-16",10.11.00,50.4063,50.4100,50.3900,50.4000,6818
="2019-12-16",10.12.00,50.3950,50.3950,50.3800,50.3900,5605
="2019-12-16",10.13.00,50.4000,50.4083,50.3900,50.4000,5262
="2019-12-16",10.14.00,50.4043,50.4300,50.4000,50.4250,5104
="2019-12-16",10.15.00,50.4250,50.4250,50.4100,50.4160,10107
="2019-12-16",10.16.00,50.4100,50.4200,50.3900,50.3950,13362
="2019-12-16",10.17.00,50.3921,50.4150,50.3900,50.4150,7672
="2019-12-16",10.18.00,50.4150,50.4183,50.4100,50.4101,2350
="2019-12-16",10.19.00,50.4200,50.4597,50.4200,50.4597,22793
="2019-12-16",10.20.00,50.4534,50.4600,50.4450,50.4450,4076
="2019-12-16",10.21.00,50.4500,50.4650,50.4500,50.4650,7015
="2019-12-16",10.22.00,50.4600,50.4750,50.4600,50.4750,5448
="2019-12-16",10.23.00,50.4800,50.4800,50.4300,50.4507,28237
="2019-12-16",10.24.00,50.4600,50.4700,50.4400,50.4400,21031
="2019-12-16",10.25.00,50.4500,50.4700,50.4500,50.4537,18667
="2019-12-16",10.26.00,50.4550,50.4550,50.4300,50.4330,5437
="2019-12-16",10.27.00,50.4300,50.4400,50.4300,50.4400,4975
="2019-12-16",10.28.00,50.4400,50.4900,50.4400,50.4900,9769
="2019-12-16",10.29.00,50.4800,50.4900,50.4706,50.4900,15380
="2019-12-16",10.31.00,50.5001,50.5100,50.5000,50.5100,36747
="2019-12-16",10.33.00,50.5150,50.5150,50.5000,50.5090,11613
="2019-12-16",10.34.00,50.5050,50.5200,50.5000,50.5200,10181
="2019-12-16",10.35.00,50.5200,50.5250,50.4900,50.5200,8284
="2019-12-16",10.36.00,50.5284,50.5400,50.5250,50.5300,9969
="2019-12-16",10.37.00,50.5200,50.5300,50.5200,50.5250,2390
="2019-12-16",10.38.00,50.5300,50.5650,50.5300,50.5400,18305
="2019-12-16",10.39.00,50.5450,50.5500,50.5300,50.5494,5735
="2019-12-16",10.40.00,50.5445,50.5800,50.5445,50.5750,29538
="2019-12-16",10.41.00,50.5700,50.5800,50.5600,50.5794,15902
="2019-12-16",10.42.00,50.5728,50.6090,50.5700,50.6090,16126
="2019-12-16",10.43.00,50.6100,50.6150,50.6000,50.6100,13863
="2019-12-16",10.44.00,50.6000,50.6200,50.6000,50.6143,5029
="2019-12-16",10.45.00,50.6200,50.6300,50.6100,50.6250,16626
="2019-12-16",10.46.00,50.6261,50.6300,50.5800,50.6039,17658
="2019-12-16",10.47.00,50.6021,50.6100,50.5800,50.5801,7184
="2019-12-16",10.48.00,50.5900,50.6100,50.5700,50.6072,13791
="2019-12-16",10.49.00,50.6085,50.6300,50.6085,50.6250,11712
="2019-12-16",10.50.00,50.6210,50.6300,50.5941,50.5941,21758
="2019-12-16",10.51.00,50.6000,50.6000,50.5800,50.5850,4197
="2019-12-16",10.52.00,50.5850,50.6100,50.5800,50.6100,12147
="2019-12-16",10.53.00,50.6000,50.6050,50.5700,50.5750,12093
="2019-12-16",10.54.00,50.5733,50.5733,50.5500,50.5650,10965
="2019-12-16",10.55.00,50.5700,50.5700,50.5405,50.5450,7632
="2019-12-16",10.56.00,50.5500,50.5600,50.5500,50.5550,5558
="2019-12-16",10.57.00,50.5550,50.5800,50.5500,50.5750,15721
="2019-12-16",10.58.00,50.5757,50.6000,50.5730,50.5900,16327
="2019-12-16",11.00.00,50.5900,50.6000,50.5845,50.6000,22433
