date,time,open,high,low,close,volume
="2019-12-16",08.30.00,155.1125,155.4745,154.9641,155.0525,1008485
="2019-12-16",08.33.00,154.9950,155.0000,154.9950,155.0000,401644
="2019-12-16",08.34.00,155.2377,155.3300,155.2377,155.3300,125204
="2019-12-16",08.35.00,155.3500,155.4835,155.3500,155.4300,93559
="2019-12-16",08.36.00,155.4300,155.4300,155.4300,155.4300,3130
="2019-12-16",08.37.00,155.5789,155.5789,155.5400,155.5400,172887
="2019-12-16",08.38.00,155.5300,155.5355,155.5300,155.5355,66768
="2019-12-16",08.39.00,155.5347,155.5347,155.4950,155.4950,1875
="2019-12-16",08.40.00,155.4950,155.5200,155.4950,155.5100,144509
="2019-12-16",08.41.00,155.5200,155.6400,155.5200,155.6400,67270
="2019-12-16",08.42.00,155.6800,155.6800,155.6700,155.6700,60964
="2019-12-16",08.43.00,155.6588,155.6588,155.5700,155.5700,57107
="2019-12-16",08.44.00,155.5300,155.6700,155.5300,155.6700,200367
="2019-12-16",08.45.00,155.7200,155.7800,155.7200,155.7650,102949
="2019-12-16",08.46.00,155.7154,155.7154,155.7154,155.7154,70007
="2019-12-16",08.47.00,155.7100,155.8200,155.7100,155.8200,59030
="2019-12-16",08.48.00,155.8100,155.8400,155.8100,155.8400,90711
="2019-12-16",08.49.00,155.8465,155.8465,155.8000,155.8000,59192
="2019-12-16",08.50.00,155.7900,155.7900,155.7700,155.7700,64360
="2019-12-16",08.51.00,155.7550,155.7700,155.7550,155.7700,51258
="2019-12-16",08.52.00,155.7700,155.7920,155.7700,155.7920,52999
="2019-12-16",08.53.00,155.7999,155.7999,155.7500,155.7500,53809
="2019-12-16",08.54.00,155.7600,155.7600,155.7100,155.7100,65873
="2019-12-16",08.55.00,155.7050,155.7050,155.6353,155.6353,52690
="2019-12-16",08.56.00,155.5542,155.5542,155.5050,155.5050,58979
="2019-12-16",08.57.00,155.4900,155.5200,155.4900,155.5200,1869
="2019-12-16",08.58.00,155.5120,155.5900,155.5100,155.5900,146649
="2019-12-16",08.59.00,155.6000,155.6200,155.5400,155.5700,70440
="2019-12-16",09.00.00,155.5700,155.5800,155.4500,155.4950,52395
="2019-12-16",09.01.00,155.4900,155.5500,155.4600,155.5450,51569
="2019-12-16",09.02.00,155.5500,155.6100,155.5500,155.6050,35712
="2019-12-16",09.03.00,155.6000,155.6100,155.4200,155.4200,60052
="2019-12-16",09.04.00,155.4200,155.5200,155.4200,155.4600,57712
="2019-12-16",09.05.00,155.4600,155.5200,155.4100,155.4600,51995
="2019-12-16",09.06.00,155.4600,155.5100,155.4100,155.4100,44963
="2019-12-16",09.07.00,155.4200,155.4200,155.3550,155.3909,56488
="2019-12-16",09.08.00,155.3950,155.4400,155.3206,155.3850,74329
="2019-12-16",09.09.00,155.3700,155.4700,155.3500,155.4301,36203
="2019-12-16",09.10.00,155.4336,155.4400,155.4100,155.4150,34114
="2019-12-16",09.11.00,155.4100,155.4300,155.3635,155.3900,56153
="2019-12-16",09.12.00,155.3900,155.4300,155.3700,155.4100,52252
="2019-12-16",09.13.00,155.4000,155.4100,155.2900,155.3000,120985
="2019-12-16",09.14.00,155.3100,155.3300,155.1850,155.1850,59782
="2019-12-16",09.15.00,155.1900,155.2287,155.1600,155.2287,67586
="2019-12-16",09.16.00,155.2200,155.3100,155.2100,155.2800,55686
