date,time,open,high,low,close,volume
="2020-03-20",08.30.00,342.6800,343.6600,340.4792,341.1900,594802
="2020-03-20",08.31.00,341.1400,343.4900,341.0000,342.5550,27811
="2020-03-20",08.32.00,342.4850,346.5700,342.1300,345.0091,60134
="2020-03-20",08.33.00,345.2800,346.8600,343.3400,345.0100,86335
="2020-03-20",08.34.00,344.3900,345.0032,343.5500,344.2300,34476
="2020-03-20",08.35.00,343.9300,345.9000,343.0527,345.9000,37911
="2020-03-20",08.36.00,345.7550,347.6500,344.7700,346.8099,48655
="2020-03-20",08.37.00,346.3950,346.3950,343.7650,344.3000,36194
="2020-03-20",08.38.00,344.5800,344.5800,340.0100,340.3301,41647
="2020-03-20",08.39.00,340.6100,341.4300,340.0000,340.9971,36322
="2020-03-20",08.40.00,340.7700,340.7700,338.1800,339.3582,32716
="2020-03-20",08.41.00,339.1950,340.7412,338.0800,338.7500,27222
="2020-03-20",08.42.00,338.5250,339.0320,335.7340,335.9476,54902
="2020-03-20",08.43.00,335.7000,336.3300,334.7000,336.3100,42472
="2020-03-20",08.44.00,336.9400,336.9400,334.2900,336.0300,44598
="2020-03-20",08.45.00,334.7900,334.7900,334.7900,334.7900,23735
="2020-03-20",08.46.00,337.3200,337.3200,337.3200,337.3200,28514
="2020-03-20",08.47.00,337.3700,339.1850,336.6500,339.1300,40077
="2020-03-20",08.48.00,340.2200,340.2200,340.2200,340.2200,34842
="2020-03-20",08.49.00,340.1000,340.2000,337.5300,337.5300,23047
="2020-03-20",08.50.00,337.5750,338.5000,336.2800,338.4400,26855
="2020-03-20",08.51.00,338.8900,339.3300,338.0121,338.5600,25262
="2020-03-20",08.52.00,338.8000,340.4000,338.7650,340.2399,19722
="2020-03-20",08.53.00,340.2600,341.9900,340.0500,341.4900,34642
="2020-03-20",08.54.00,341.2100,341.6500,340.4550,341.2500,18838
="2020-03-20",08.55.00,341.3500,343.1500,341.0000,343.1236,28412
="2020-03-20",08.56.00,343.1650,343.1650,341.0500,341.1000,22784
="2020-03-20",08.57.00,341.2576,342.3390,341.2576,342.0000,17325
="2020-03-20",08.58.00,341.7900,342.9900,341.4450,342.9250,21303
="2020-03-20",08.59.00,342.7700,342.8979,341.8020,341.8400,22791
