date,time,open,high,low,close,volume
="2020-03-20",08.30.00,219.8300,222.0000,219.3600,220.8950,937403
="2020-03-20",08.31.00,220.8600,223.0000,220.5700,222.7300,72896
="2020-03-20",08.32.00,222.6150,224.0800,222.3950,223.7944,75689
="2020-03-20",08.33.00,223.8226,225.8157,223.2800,225.6000,116767
="2020-03-20",08.34.00,225.7250,225.8200,224.5400,225.8000,90953
="2020-03-20",08.35.00,225.6094,227.6500,225.3400,227.4800,88491
="2020-03-20",08.36.00,227.7042,227.7042,224.8300,224.8300,82728
="2020-03-20",08.37.00,225.0000,225.3600,223.1225,223.4300,111613
="2020-03-20",08.38.00,223.2300,224.0600,223.0500,224.0500,73420
="2020-03-20",08.39.00,223.9400,224.3399,222.9550,223.8700,86275
="2020-03-20",08.40.00,223.5350,225.0000,223.1500,225.0000,75991
="2020-03-20",08.41.00,225.0000,225.6100,224.0000,224.3493,58598
="2020-03-20",08.42.00,224.2838,225.4900,224.2838,225.2400,74537
="2020-03-20",08.43.00,224.7550,225.5100,224.5200,225.2472,41635
="2020-03-20",08.44.00,225.2500,225.3500,223.2600,223.4950,85698
="2020-03-20",08.45.00,223.2500,223.6999,222.2200,222.8000,83588
="2020-03-20",08.46.00,222.7500,223.9800,222.7000,223.3813,66849
="2020-03-20",08.47.00,223.2400,224.9700,223.2400,224.9550,71473
="2020-03-20",08.48.00,224.8500,224.9900,223.9307,224.1800,40241
="2020-03-20",08.49.00,224.0700,224.0700,222.2600,222.5000,78287
="2020-03-20",08.50.00,222.4200,223.1342,222.2700,223.1150,45307
="2020-03-20",08.51.00,223.2600,223.5600,222.4000,222.5400,43856
="2020-03-20",08.52.00,222.3300,223.2325,222.0200,222.9100,47578
="2020-03-20",08.53.00,222.6630,223.6500,222.6630,223.4850,37541
="2020-03-20",08.54.00,223.4950,224.0000,223.2000,223.6302,62083
="2020-03-20",08.55.00,223.4990,225.1100,223.4172,224.7400,61367
="2020-03-20",08.56.00,224.6950,224.6950,223.1300,223.6700,36938
="2020-03-20",08.57.00,223.4900,223.8700,222.1300,222.4000,54389
="2020-03-20",08.58.00,222.7469,223.7450,222.7469,223.3750,31158
="2020-03-20",08.59.00,223.2700,223.7300,222.5300,223.4300,29957
="2020-03-20",09.00.00,223.4102,225.1300,223.3400,225.1300,58623
="2020-03-20",09.01.00,224.9200,225.2500,223.5700,224.1107,42749
="2020-03-20",09.02.00,223.8800,224.7000,223.8800,224.2100,46986
="2020-03-20",09.03.00,224.1900,224.4526,223.9500,224.2200,31996
="2020-03-20",09.04.00,224.1000,225.8100,224.1000,225.5850,75912
="2020-03-20",09.05.00,225.6000,225.9400,224.6000,225.2399,56828
="2020-03-20",09.06.00,225.1400,225.6409,224.4300,224.7600,46415
="2020-03-20",09.07.00,224.7800,225.5000,224.5900,224.9900,44081
="2020-03-20",09.08.00,224.9950,225.4450,224.3200,225.0000,47832
="2020-03-20",09.09.00,225.0750,225.5700,224.7300,225.1899,54491
="2020-03-20",09.10.00,225.2550,226.6800,224.9000,226.6800,56179
="2020-03-20",09.11.00,226.5900,227.1000,225.5900,226.2090,86881
="2020-03-20",09.12.00,226.3600,226.9800,225.5400,225.7200,42404
="2020-03-20",09.13.00,225.7518,226.5800,225.5500,226.5800,39507
="2020-03-20",09.14.00,226.3270,226.5000,225.6164,225.6164,29942
="2020-03-20",09.15.00,225.7400,227.6550,225.6300,227.1050,64044
="2020-03-20",09.16.00,227.1100,228.1900,226.7800,228.0400,75729
="2020-03-20",09.17.00,228.1000,228.6500,227.7153,227.9500,75561
="2020-03-20",09.18.00,228.0000,228.0500,227.2100,227.3350,41212
="2020-03-20",09.19.00,227.2300,227.7100,226.7300,227.2850,45968
="2020-03-20",09.20.00,227.2420,227.6300,226.7801,227.2750,50063
="2020-03-20",09.21.00,227.2100,228.2103,227.2100,228.1737,56922
="2020-03-20",09.22.00,228.3000,229.2300,228.1600,228.5350,91278
="2020-03-20",09.23.00,228.5400,228.8800,227.9103,228.8800,42471
="2020-03-20",09.24.00,228.8523,228.9900,227.8800,228.4100,44651
="2020-03-20",09.25.00,228.5854,229.5370,228.5600,229.4150,59479
="2020-03-20",09.26.00,229.3900,230.3200,229.0000,229.3400,97392
