date,time,open,high,low,close,volume
="2019-12-16",08.30.00,37.9900,38.2500,37.9800,38.2400,228400
="2019-12-16",08.32.00,38.3700,38.3700,38.3700,38.3700,159682
="2019-12-16",08.33.00,38.3515,38.4468,38.3167,38.3715,57871
="2019-12-16",08.34.00,38.3500,38.3712,38.3170,38.3250,23762
="2019-12-16",08.35.00,38.3250,38.3256,38.2400,38.2600,16600
="2019-12-16",08.37.00,38.2600,38.2900,38.2300,38.2300,54427
="2019-12-16",08.38.00,38.2300,38.2600,38.2226,38.2529,15640
="2019-12-16",08.39.00,38.2588,38.2600,38.2200,38.2400,16978
="2019-12-16",08.40.00,38.2384,38.2700,38.2200,38.2200,17319
="2019-12-16",08.41.00,38.2215,38.2800,38.2200,38.2300,33449
="2019-12-16",08.42.00,38.2248,38.3050,38.2248,38.2900,52587
="2019-12-16",08.43.00,38.2900,38.3100,38.2720,38.3019,25205
="2019-12-16",08.44.00,38.3100,38.3500,38.2000,38.2100,31617
="2019-12-16",08.45.00,38.2100,38.2900,38.2100,38.2700,24771
="2019-12-16",08.46.00,38.2800,38.3399,38.2700,38.3300,24252
="2019-12-16",08.47.00,38.3300,38.4000,38.3200,38.3957,91416
="2019-12-16",08.48.00,38.3972,38.5258,38.3856,38.4856,98178
="2019-12-16",08.49.00,38.4812,38.5375,38.4674,38.4892,39964
="2019-12-16",08.50.00,38.4850,38.5200,38.4500,38.5000,161552
="2019-12-16",08.51.00,38.5000,38.5700,38.4997,38.5600,44071
="2019-12-16",08.52.00,38.5700,38.6300,38.5501,38.5865,40229
="2019-12-16",08.53.00,38.5847,38.6550,38.5800,38.5900,55394
="2019-12-16",08.54.00,38.5802,38.5915,38.5400,38.5700,28869
="2019-12-16",08.55.00,38.5638,38.6000,38.5400,38.5884,14082
="2019-12-16",08.56.00,38.6000,38.6150,38.5833,38.5900,32748
="2019-12-16",08.57.00,38.5850,38.5958,38.5500,38.5500,33891
="2019-12-16",08.58.00,38.5500,38.6300,38.5500,38.5600,54670
="2019-12-16",08.59.00,38.5700,38.5900,38.5500,38.5600,31954
="2019-12-16",09.00.00,38.5550,38.6500,38.5550,38.6138,42186
="2019-12-16",09.01.00,38.6200,38.6300,38.5850,38.5965,20807
="2019-12-16",09.02.00,38.5900,38.6100,38.5000,38.5200,93275
="2019-12-16",09.03.00,38.5300,38.5900,38.5300,38.5507,45834
="2019-12-16",09.04.00,38.5550,38.5650,38.5350,38.5600,26782
="2019-12-16",09.05.00,38.5505,38.5850,38.5200,38.5200,66394
="2019-12-16",09.06.00,38.5100,38.5300,38.5000,38.5280,42667
="2019-12-16",09.07.00,38.5200,38.5750,38.5199,38.5750,27786
="2019-12-16",09.08.00,38.5800,38.6300,38.5800,38.6000,37732
="2019-12-16",09.09.00,38.6000,38.6500,38.6000,38.6200,69355
