date,time,open,high,low,close,volume
="2019-12-16",08.30.00,17.5000,17.5500,17.5000,17.5400,117068
="2019-12-16",08.31.00,17.5379,17.5571,17.5170,17.5406,10657
="2019-12-16",08.32.00,17.5404,17.5669,17.5168,17.5207,27093
="2019-12-16",08.33.00,17.5207,17.5568,17.4767,17.5307,26100
="2019-12-16",08.34.00,17.5200,17.5200,17.4500,17.4600,22225
="2019-12-16",08.35.00,17.4600,17.5100,17.4600,17.5100,37804
="2019-12-16",08.36.00,17.5300,17.6400,17.5300,17.6300,69420
="2019-12-16",08.37.00,17.6320,17.6800,17.6320,17.6400,30393
="2019-12-16",08.38.00,17.6407,17.7667,17.6365,17.7307,72861
="2019-12-16",08.39.00,17.7203,17.7454,17.6653,17.6703,54316
="2019-12-16",08.40.00,17.6900,17.7300,17.6800,17.7200,22993
="2019-12-16",08.41.00,17.7200,17.7900,17.7200,17.7900,57284
="2019-12-16",08.42.00,17.7899,17.7900,17.7100,17.7200,19158
="2019-12-16",08.43.00,17.7135,17.7200,17.6564,17.6564,22247
="2019-12-16",08.44.00,17.6800,17.7300,17.6500,17.7100,17396
="2019-12-16",08.45.00,17.6905,17.7071,17.6771,17.6905,6622
="2019-12-16",08.46.00,17.6703,17.7139,17.6659,17.6703,33880
="2019-12-16",08.47.00,17.6650,17.7000,17.6600,17.6800,12658
="2019-12-16",08.48.00,17.6856,17.7064,17.6564,17.6906,21033
="2019-12-16",08.49.00,17.6800,17.6900,17.6400,17.6400,12719
="2019-12-16",08.50.00,17.6407,17.6670,17.6370,17.6507,15455
="2019-12-16",08.51.00,17.6350,17.6500,17.6200,17.6300,22771
="2019-12-16",08.52.00,17.6400,17.6400,17.5800,17.5900,23028
="2019-12-16",08.53.00,17.5900,17.5900,17.5600,17.5700,17592
="2019-12-16",08.54.00,17.5550,17.5600,17.5214,17.5214,27924
="2019-12-16",08.55.00,17.5300,17.5500,17.5200,17.5400,25124
="2019-12-16",08.56.00,17.5300,17.5500,17.5300,17.5450,13822
="2019-12-16",08.57.00,17.5450,17.5500,17.5341,17.5450,14570
="2019-12-16",08.58.00,17.5426,17.5500,17.5277,17.5300,19506
="2019-12-16",08.59.00,17.5400,17.5400,17.4800,17.5100,52274
="2019-12-16",09.00.00,17.5000,17.5700,17.5000,17.5450,43943
="2019-12-16",09.01.00,17.5450,17.5450,17.4800,17.4800,14078
="2019-12-16",09.02.00,17.4906,17.5070,17.4628,17.4806,57124
="2019-12-16",09.03.00,17.4720,17.4750,17.4550,17.4650,17598
="2019-12-16",09.04.00,17.4607,17.4767,17.4367,17.4440,43325
="2019-12-16",09.05.00,17.4407,17.4621,17.4371,17.4456,11558
="2019-12-16",09.06.00,17.4400,17.4400,17.4200,17.4200,33340
="2019-12-16",09.07.00,17.4250,17.4500,17.4199,17.4500,49294
="2019-12-16",09.08.00,17.4400,17.4550,17.4300,17.4400,15682
="2019-12-16",09.09.00,17.4500,17.4500,17.4350,17.4400,12162
="2019-12-16",09.10.00,17.4350,17.4400,17.4300,17.4309,6388
="2019-12-16",09.11.00,17.4405,17.4870,17.4369,17.4556,33970
="2019-12-16",09.12.00,17.4550,17.4900,17.4550,17.4850,39691
="2019-12-16",09.13.00,17.4907,17.5468,17.4867,17.5307,35744
="2019-12-16",09.14.00,17.5200,17.5500,17.5200,17.5354,20243
="2019-12-16",09.15.00,17.5350,17.5400,17.5300,17.5400,4475
="2019-12-16",09.16.00,17.5350,17.5400,17.5300,17.5400,5845
="2019-12-16",09.17.00,17.5353,17.5538,17.5338,17.5403,16430
="2019-12-16",09.18.00,17.5357,17.5523,17.5264,17.5357,27114
="2019-12-16",09.19.00,17.5300,17.5500,17.5300,17.5500,10062
="2019-12-16",09.20.00,17.5445,17.5900,17.5445,17.5772,22172
="2019-12-16",09.21.00,17.5800,17.6248,17.5800,17.6233,24967
="2019-12-16",09.22.00,17.6290,17.6400,17.6200,17.6300,18527
="2019-12-16",09.23.00,17.6300,17.6500,17.6300,17.6500,9226
="2019-12-16",09.24.00,17.6500,17.6500,17.6129,17.6129,20271
="2019-12-16",09.25.00,17.6270,17.6400,17.6200,17.6400,8499
="2019-12-16",09.27.00,17.6489,17.6647,17.6465,17.6476,67399
="2019-12-16",09.28.00,17.6400,17.6699,17.6350,17.6550,18489
="2019-12-16",09.29.00,17.6500,17.6500,17.6100,17.6100,10267
="2019-12-16",09.30.00,17.6207,17.6370,17.5969,17.6108,26521
="2019-12-16",09.31.00,17.6172,17.6200,17.6000,17.6000,4874
