date,time,open,high,low,close,volume
="2019-12-16",08.30.00,89.2815,89.3873,89.0771,89.1715,177240
="2019-12-16",08.32.00,89.4500,89.4500,89.4500,89.4500,173075
="2019-12-16",08.33.00,89.4500,89.5940,89.2900,89.2900,30322
="2019-12-16",08.34.00,89.1858,89.1858,89.1858,89.1858,29632
="2019-12-16",08.35.00,89.1950,89.4100,89.1950,89.2900,27613
="2019-12-16",08.36.00,89.3200,89.3200,89.3200,89.3200,2093
="2019-12-16",08.37.00,89.3000,89.3000,89.2509,89.2509,79763
="2019-12-16",08.38.00,89.2600,89.2600,89.2300,89.2300,24085
="2019-12-16",08.39.00,89.2600,89.2600,89.2400,89.2400,33894
="2019-12-16",08.40.00,89.2600,89.3600,89.2000,89.3600,28821
="2019-12-16",08.41.00,89.3700,89.3700,89.2500,89.2500,1560
="2019-12-16",08.42.00,89.2700,89.3100,89.2700,89.3100,68005
="2019-12-16",08.43.00,89.2945,89.4400,89.2945,89.4300,26919
="2019-12-16",08.44.00,89.4030,89.4030,89.3400,89.3400,17564
="2019-12-16",08.45.00,89.3600,89.3750,89.3500,89.3550,16688
="2019-12-16",08.46.00,89.3500,89.3500,89.3500,89.3500,14547
="2019-12-16",08.47.00,89.3500,89.6355,89.3500,89.6355,55272
="2019-12-16",08.48.00,89.6200,89.7550,89.6200,89.7550,90247
="2019-12-16",08.49.00,89.7500,89.7500,89.6500,89.6500,48286
="2019-12-16",08.50.00,89.6400,89.6400,89.5900,89.6100,30843
="2019-12-16",08.51.00,89.5700,89.6275,89.5700,89.6275,29032
="2019-12-16",08.52.00,89.6900,89.6900,89.6500,89.6500,29688
="2019-12-16",08.53.00,89.6275,89.6275,89.5900,89.5900,27832
="2019-12-16",08.54.00,89.5825,89.5825,89.5400,89.5400,107046
="2019-12-16",08.55.00,89.5455,89.5455,89.3900,89.3900,30423
="2019-12-16",08.56.00,89.4150,89.4150,89.3900,89.3900,14064
="2019-12-16",08.57.00,89.3855,89.3855,89.3855,89.3855,14414
="2019-12-16",08.58.00,89.3800,89.4150,89.3700,89.4100,9329
="2019-12-16",08.59.00,89.4100,89.4600,89.3500,89.3600,13981
="2019-12-16",09.00.00,89.3700,89.4800,89.3700,89.4600,15525
="2019-12-16",09.01.00,89.4600,89.5000,89.4400,89.4700,15020
="2019-12-16",09.02.00,89.4900,89.5500,89.4800,89.5000,14046
="2019-12-16",09.03.00,89.5137,89.5200,89.4200,89.4597,15384
="2019-12-16",09.04.00,89.4400,89.4800,89.4300,89.4800,18308
="2019-12-16",09.05.00,89.4900,89.5100,89.4400,89.4600,14847
="2019-12-16",09.06.00,89.4520,89.5216,89.4500,89.5200,12645
="2019-12-16",09.07.00,89.5223,89.5800,89.5100,89.5700,13454
="2019-12-16",09.08.00,89.5736,89.6201,89.5700,89.6100,20674
="2019-12-16",09.09.00,89.6100,89.6650,89.5600,89.6200,16891
="2019-12-16",09.10.00,89.6180,89.7000,89.6100,89.7000,16899
="2019-12-16",09.11.00,89.7000,89.7300,89.7000,89.7273,16821
="2019-12-16",09.12.00,89.7250,89.7600,89.6950,89.7500,41556
="2019-12-16",09.13.00,89.7622,89.8400,89.7500,89.8250,24126
="2019-12-16",09.14.00,89.8300,89.8800,89.8200,89.8600,24760
="2019-12-16",09.15.00,89.8562,89.8600,89.7300,89.7450,44857
="2019-12-16",09.16.00,89.7500,89.7900,89.7450,89.7500,23637
="2019-12-16",09.17.00,89.7200,89.7200,89.6100,89.6100,21979
="2019-12-16",09.18.00,89.6150,89.6750,89.6050,89.6690,13121
="2019-12-16",09.19.00,89.6600,89.6800,89.6200,89.6800,17999
="2019-12-16",09.20.00,89.6800,89.7255,89.6600,89.6900,22097
="2019-12-16",09.21.00,89.6900,89.7200,89.6144,89.6150,12497
="2019-12-16",09.22.00,89.6200,89.6700,89.5850,89.6500,26441
="2019-12-16",09.23.00,89.6600,89.8400,89.6500,89.8400,51971
="2019-12-16",09.24.00,89.8327,89.8700,89.8200,89.8250,20507
="2019-12-16",09.25.00,89.8250,89.8700,89.8200,89.8400,47249
="2019-12-16",09.26.00,89.8369,89.8369,89.7490,89.7750,41781
="2019-12-16",09.27.00,89.7601,89.7650,89.7187,89.7300,23582
="2019-12-16",09.28.00,89.7300,89.8600,89.7200,89.8400,24793
