date,time,open,high,low,close,volume
="2020-03-20",08.30.00,77.1100,77.5000,76.5000,76.9900,499837
="2020-03-20",08.31.00,76.6501,77.4900,76.5500,76.9600,35110
="2020-03-20",08.32.00,76.9483,78.7145,76.9079,77.8190,92519
="2020-03-20",08.33.00,77.8800,77.8800,76.4850,76.5350,46381
="2020-03-20",08.34.00,76.5850,76.7500,76.1300,76.5398,45106
="2020-03-20",08.35.00,76.3000,77.3800,76.2600,77.3200,45906
="2020-03-20",08.36.00,77.3800,78.5000,77.0000,78.1000,84314
="2020-03-20",08.37.00,78.1300,78.2400,77.2201,77.3150,61852
="2020-03-20",08.38.00,77.3250,77.5130,75.9100,76.1150,91687
="2020-03-20",08.39.00,76.0900,76.2200,75.8000,76.0850,44727
="2020-03-20",08.40.00,76.0850,76.1900,75.5700,75.8851,47180
="2020-03-20",08.41.00,75.8850,76.1875,75.1000,75.2400,64696
="2020-03-20",08.42.00,75.2750,75.2750,74.4212,74.5500,71487
="2020-03-20",08.43.00,74.5400,74.7900,74.0900,74.1332,54344
="2020-03-20",08.44.00,74.0400,74.0950,73.2300,73.7399,74075
="2020-03-20",08.45.00,73.2442,73.2442,73.2442,73.2442,53663
="2020-03-20",08.46.00,73.2300,74.8700,73.1700,74.7099,95144
="2020-03-20",08.47.00,74.7200,74.9300,74.2938,74.6000,49867
="2020-03-20",08.48.00,74.6150,75.3862,74.6150,75.3250,54295
="2020-03-20",08.49.00,75.3150,75.4000,74.9000,75.2000,64390
="2020-03-20",08.50.00,75.1500,75.1900,74.7300,74.9850,41638
="2020-03-20",08.51.00,75.1600,75.2000,74.7300,74.8500,33729
="2020-03-20",08.52.00,74.8500,75.6000,74.8050,75.5400,39697
="2020-03-20",08.53.00,75.4500,75.8600,75.4100,75.7400,45200
="2020-03-20",08.54.00,75.7600,75.7800,75.4000,75.4800,37396
="2020-03-20",08.55.00,75.4000,76.1678,75.3450,76.0900,59462
="2020-03-20",08.56.00,76.0600,76.1200,75.0468,75.0468,55731
="2020-03-20",08.57.00,75.0700,75.3700,74.9222,75.0000,49828
="2020-03-20",08.58.00,75.0700,75.2700,74.7303,75.1700,60039
="2020-03-20",08.59.00,75.1000,75.2000,74.7600,75.0000,26410
="2020-03-20",09.00.00,74.7950,75.7400,74.7950,75.5658,42419
="2020-03-20",09.01.00,75.6800,75.9900,75.5600,75.6300,33575
="2020-03-20",09.02.00,75.5800,76.1400,75.5400,76.1050,21402
="2020-03-20",09.03.00,76.0450,76.3800,75.7000,76.1850,52813
="2020-03-20",09.04.00,76.1900,76.5000,76.0885,76.2624,27677
="2020-03-20",09.05.00,76.3965,76.5500,75.7200,75.8400,58083
="2020-03-20",09.06.00,75.7500,75.9200,75.1376,75.2050,35828
="2020-03-20",09.07.00,75.2100,75.3200,74.8803,75.0800,36899
="2020-03-20",09.08.00,75.0400,75.3499,74.8300,75.0850,27449
="2020-03-20",09.09.00,75.0850,75.3900,74.9500,75.0999,19188
="2020-03-20",09.10.00,75.0400,75.6600,75.0400,75.6139,24730
="2020-03-20",09.11.00,75.5000,75.7500,75.4310,75.6600,21988
="2020-03-20",09.12.00,75.6650,75.6800,75.3200,75.5500,12271
="2020-03-20",09.13.00,75.4886,75.4886,75.2500,75.4200,27449
="2020-03-20",09.14.00,75.4100,75.4700,75.1900,75.3400,13097
="2020-03-20",09.15.00,75.3900,76.0000,75.3900,75.8300,30651
="2020-03-20",09.16.00,75.8599,76.2000,75.6550,76.1050,18115
="2020-03-20",09.17.00,76.1350,76.5800,76.1350,76.2100,30717
="2020-03-20",09.18.00,76.2100,76.4400,76.1938,76.2000,19495
="2020-03-20",09.19.00,76.1500,76.5600,76.0200,76.5500,27857
="2020-03-20",09.20.00,76.5300,76.5300,76.2000,76.3700,21106
="2020-03-20",09.21.00,76.3394,77.0700,76.3200,76.9700,55539
="2020-03-20",09.22.00,76.9800,77.4900,76.9800,77.3900,60288
="2020-03-20",09.23.00,77.2800,77.8600,77.2800,77.5600,47894
="2020-03-20",09.24.00,77.5700,77.6400,76.7920,77.1522,58811
="2020-03-20",09.25.00,77.1300,77.2265,76.9911,77.1256,25398
="2020-03-20",09.26.00,77.0950,77.6400,77.0950,77.3400,29720
="2020-03-20",09.27.00,77.3250,77.4000,76.9000,76.9092,34473
="2020-03-20",09.28.00,76.9450,77.0400,76.6230,77.0400,33542
="2020-03-20",09.29.00,77.0000,77.0550,76.7220,76.9000,23692
="2020-03-20",09.30.00,77.0100,77.1100,76.8000,76.8684,19040
="2020-03-20",09.31.00,77.0200,77.5200,77.0200,77.4900,21182
="2020-03-20",09.32.00,77.5300,78.0000,77.5300,77.8700,42845
="2020-03-20",09.33.00,77.9300,78.1000,77.5800,78.0650,53186
="2020-03-20",09.34.00,78.0427,78.2400,77.8400,78.0536,48592
="2020-03-20",09.35.00,78.0700,78.0700,77.3500,77.3650,35609
="2020-03-20",09.36.00,77.3650,77.5300,77.1600,77.2500,16340
="2020-03-20",09.37.00,77.2200,77.5874,77.1550,77.2808,14269
="2020-03-20",09.38.00,77.2900,77.7700,77.1300,77.6899,24052
="2020-03-20",09.39.00,77.7000,77.8400,77.4632,77.7700,29755
="2020-03-20",09.40.00,77.8400,78.2600,77.7900,78.0437,29989
="2020-03-20",09.41.00,78.0100,78.0100,77.7500,78.0000,24682
="2020-03-20",09.42.00,77.8100,77.8900,77.7000,77.8900,27511
="2020-03-20",09.43.00,77.8100,78.0054,77.6486,77.8000,34872
="2020-03-20",09.44.00,77.8270,77.8600,77.5600,77.8100,13603
="2020-03-20",09.45.00,77.7362,77.8300,77.2500,77.2700,20519
="2020-03-20",09.46.00,77.3150,77.3600,77.2766,77.3413,3317
="2020-03-20",09.47.00,77.0645,77.3300,77.0000,77.3000,86623
="2020-03-20",09.48.00,77.2700,77.6536,77.2700,77.6536,18535
="2020-03-20",09.49.00,77.5850,78.2000,77.5850,77.9350,41339
="2020-03-20",09.50.00,77.9700,78.7500,77.9700,78.5100,84024
="2020-03-20",09.51.00,78.5800,78.7700,78.5500,78.7100,30212
="2020-03-20",09.52.00,78.7000,79.3000,78.6950,79.1400,66681
="2020-03-20",09.53.00,79.0500,79.1700,78.7400,78.7950,46680
="2020-03-20",09.54.00,78.7500,78.9800,78.6000,78.9800,44339
="2020-03-20",09.55.00,79.0000,79.2300,78.8244,79.2300,37513
="2020-03-20",09.56.00,79.1950,79.4491,79.1550,79.4095,42627
="2020-03-20",09.57.00,79.4015,79.8000,79.3000,79.7850,48505
="2020-03-20",09.58.00,79.7650,79.8100,79.1400,79.2200,47044
="2020-03-20",09.59.00,79.2100,79.4000,79.0300,79.3500,34486
="2020-03-20",10.00.00,79.3999,79.3999,79.0201,79.0800,31739
="2020-03-20",10.01.00,79.0798,79.0798,78.4000,78.7000,41622
="2020-03-20",10.02.00,78.5300,79.1900,78.5300,79.0735,35405
="2020-03-20",10.03.00,79.0800,79.2100,78.9300,79.0750,12451
="2020-03-20",10.04.00,79.0210,79.0650,78.8501,79.0650,20235
="2020-03-20",10.05.00,79.0616,79.1899,78.9500,79.1000,19974
="2020-03-20",10.06.00,79.0900,79.4800,78.9400,79.4301,35658
="2020-03-20",10.07.00,79.4500,79.4600,79.0000,79.2200,43678
="2020-03-20",10.08.00,79.2600,79.6000,79.2600,79.5017,37240
="2020-03-20",10.09.00,79.4600,79.5100,79.2000,79.3550,33547
="2020-03-20",10.10.00,79.2950,79.5000,79.1700,79.5000,37120
="2020-03-20",10.11.00,79.4900,79.7500,79.4635,79.7200,25472
="2020-03-20",10.12.00,79.7000,79.9000,79.5002,79.7100,41739
="2020-03-20",10.13.00,79.7446,80.0800,79.5142,79.6500,79332
="2020-03-20",10.14.00,79.7100,79.7500,79.5500,79.6800,22287
="2020-03-20",10.15.00,79.6700,79.8163,79.5000,79.6900,29489
="2020-03-20",10.16.00,79.6500,79.7700,79.3900,79.3900,38437
="2020-03-20",10.17.00,79.3700,79.4000,78.7800,78.9600,46178
="2020-03-20",10.18.00,78.9400,79.1500,78.7850,79.0000,22921
="2020-03-20",10.19.00,78.9000,78.9350,78.6110,78.6200,26231
="2020-03-20",10.20.00,78.6247,78.6300,77.5205,77.6400,102962
="2020-03-20",10.21.00,77.7288,77.7300,77.1100,77.2700,49711
="2020-03-20",10.22.00,77.2700,77.5800,77.1000,77.4600,44035
="2020-03-20",10.23.00,77.4700,77.4800,77.0950,77.2195,36064
="2020-03-20",10.24.00,77.1800,77.1900,76.3400,76.4700,52753
="2020-03-20",10.25.00,76.4500,76.5600,76.3000,76.3300,26411
="2020-03-20",10.26.00,76.3410,76.8300,76.3000,76.7700,39185
="2020-03-20",10.27.00,76.7757,77.4500,76.7300,77.3000,40527
="2020-03-20",10.28.00,77.2800,77.8100,77.2575,77.8100,13511
="2020-03-20",10.29.00,77.9446,78.0500,77.4200,77.5500,42043
="2020-03-20",10.30.00,77.5843,77.5843,77.1001,77.1165,20569
="2020-03-20",10.31.00,77.1100,77.3300,76.8900,77.1200,31030
="2020-03-20",10.32.00,77.1800,77.6300,77.1800,77.5000,14318
="2020-03-20",10.33.00,77.4900,77.5300,77.2500,77.3450,9505
="2020-03-20",10.34.00,77.3500,77.3500,77.0906,77.2800,8143
="2020-03-20",10.35.00,77.2300,77.4300,77.2058,77.4200,16082
="2020-03-20",10.36.00,77.2900,77.4100,77.1437,77.4100,23686
="2020-03-20",10.37.00,77.5000,78.1100,77.4500,78.0300,31814
="2020-03-20",10.38.00,78.0153,78.2500,77.8200,78.0000,32173
="2020-03-20",10.39.00,77.9150,78.0900,77.8350,77.8400,11985
="2020-03-20",10.40.00,77.8441,77.8441,77.2600,77.2600,24498
="2020-03-20",10.41.00,77.4850,77.9900,77.3900,77.9900,25583
="2020-03-20",10.42.00,77.8600,77.9050,77.5700,77.8850,7824
="2020-03-20",10.43.00,77.8800,78.1565,77.7900,77.9900,10419
="2020-03-20",10.44.00,77.9900,78.0400,77.6052,77.7250,19211
="2020-03-20",10.45.00,77.5300,77.5700,77.0300,77.1200,25863
="2020-03-20",10.46.00,77.0641,77.1000,76.4500,76.4500,25224
="2020-03-20",10.47.00,76.4400,76.7073,76.4400,76.4800,19448
="2020-03-20",10.48.00,76.5500,76.8500,76.5500,76.6300,21183
="2020-03-20",10.49.00,76.5400,76.5799,76.1100,76.3700,38334
="2020-03-20",10.50.00,76.3400,76.5000,76.2000,76.3160,14413
="2020-03-20",10.51.00,76.2600,76.4700,76.2300,76.2300,14315
="2020-03-20",10.52.00,76.2200,76.3100,76.1000,76.1001,22973
="2020-03-20",10.53.00,76.1400,76.2100,75.8350,75.9999,51991
="2020-03-20",10.54.00,75.9000,76.2991,75.8400,76.1300,19843
="2020-03-20",10.55.00,76.1102,76.5100,76.1000,76.5100,19741
="2020-03-20",10.56.00,76.3950,76.7100,76.3200,76.5800,15758
="2020-03-20",10.57.00,76.5900,76.8200,76.3150,76.8200,14689
="2020-03-20",10.58.00,76.7100,76.8100,76.4100,76.5700,14149
="2020-03-20",10.59.00,76.7000,76.9300,76.6900,76.6900,10908
="2020-03-20",11.00.00,76.7175,76.8600,76.4200,76.4700,16082
="2020-03-20",11.01.00,76.4900,76.7900,76.4900,76.7900,8320
="2020-03-20",11.02.00,76.7300,76.7900,76.6000,76.6650,6241
="2020-03-20",11.03.00,76.6776,76.9100,76.6776,76.8760,19167
="2020-03-20",11.04.00,76.8600,76.8999,76.4400,76.4500,18441
="2020-03-20",11.05.00,76.5450,76.5450,75.9000,76.0300,35374
="2020-03-20",11.06.00,76.1100,76.1100,75.5700,75.5700,25952
="2020-03-20",11.07.00,75.5400,75.6300,75.1770,75.2602,41196
="2020-03-20",11.08.00,75.3500,75.3800,75.0400,75.1100,20086
="2020-03-20",11.09.00,75.0700,75.0700,74.5800,74.7000,63898
="2020-03-20",11.10.00,74.6875,74.8800,74.5100,74.8200,34085
="2020-03-20",11.11.00,74.7700,75.1500,74.7600,74.9800,33634
="2020-03-20",11.12.00,75.0600,75.6050,75.0545,75.3800,32808
="2020-03-20",11.13.00,75.3680,75.4000,75.2201,75.3362,11745
="2020-03-20",11.14.00,75.3000,75.6400,75.0984,75.3500,22145
="2020-03-20",11.15.00,75.3900,75.4900,75.1300,75.2700,13323
="2020-03-20",11.16.00,75.2899,75.3400,74.8700,74.8700,16846
="2020-03-20",11.17.00,74.8600,74.8700,74.5500,74.6500,16918
="2020-03-20",11.18.00,74.6600,74.8700,74.6588,74.7600,11043
="2020-03-20",11.19.00,74.8000,74.8400,74.5200,74.5646,15864
="2020-03-20",11.20.00,74.6150,74.9400,74.5171,74.5171,27961
="2020-03-20",11.21.00,74.4500,74.6100,74.3106,74.6100,26009
="2020-03-20",11.22.00,74.5000,74.6300,74.1100,74.2000,30707
="2020-03-20",11.23.00,74.0700,74.1100,73.9000,74.0222,33182
="2020-03-20",11.24.00,74.0200,74.4900,73.9700,73.9700,36518
="2020-03-20",11.25.00,74.0150,74.0150,73.5000,73.6800,21794
="2020-03-20",11.26.00,73.7300,73.8800,73.5900,73.6699,23911
="2020-03-20",11.27.00,73.5900,73.8500,73.5900,73.8100,12132
="2020-03-20",11.28.00,73.7600,73.7800,73.4600,73.6150,37362
="2020-03-20",11.29.00,73.5578,73.7790,73.3100,73.7100,31744
="2020-03-20",11.30.00,73.7499,74.4862,73.7229,74.3900,39569
="2020-03-20",11.31.00,74.4750,75.2700,74.3200,75.1589,32275
="2020-03-20",11.32.00,75.0700,75.1800,74.5400,75.1800,37320
="2020-03-20",11.33.00,75.1800,75.5600,75.0265,75.5500,36722
="2020-03-20",11.34.00,75.5600,75.9400,75.4400,75.8150,23423
="2020-03-20",11.35.00,75.7500,75.7500,75.1900,75.4600,28078
="2020-03-20",11.36.00,75.4500,75.4760,75.2200,75.3800,17364
="2020-03-20",11.37.00,75.1500,75.1500,74.8600,74.9300,17478
="2020-03-20",11.38.00,74.9500,75.0100,74.6300,74.8200,15192
="2020-03-20",11.39.00,74.7500,75.0590,74.7000,74.8998,26095
="2020-03-20",11.40.00,74.9500,74.9500,74.1200,74.1200,31121
="2020-03-20",11.41.00,74.1800,74.4500,74.1636,74.3500,25250
="2020-03-20",11.42.00,74.2000,74.6800,74.1200,74.6800,18987
="2020-03-20",11.43.00,74.7700,74.9100,74.6401,74.6933,26494
="2020-03-20",11.44.00,74.8400,75.1279,74.7100,75.0500,27573
="2020-03-20",11.45.00,75.1300,75.4600,74.9301,75.3000,28017
="2020-03-20",11.46.00,75.4200,75.7700,75.3600,75.7600,35434
="2020-03-20",11.47.00,75.7200,75.8500,75.5000,75.5300,28906
="2020-03-20",11.48.00,75.4830,75.6400,75.3601,75.4200,27357
="2020-03-20",11.49.00,75.4450,75.8699,75.4450,75.4600,11161
="2020-03-20",11.50.00,75.5133,75.9000,75.5133,75.9000,10007
="2020-03-20",11.51.00,75.9300,75.9400,75.7400,75.7800,12559
="2020-03-20",11.52.00,75.9000,76.4337,75.8838,76.3200,32629
="2020-03-20",11.53.00,76.3200,76.4600,76.1000,76.2800,29259
="2020-03-20",11.54.00,76.2300,76.4400,76.1200,76.2000,13775
="2020-03-20",11.55.00,76.1650,76.4422,75.9500,76.3234,13496
="2020-03-20",11.57.00,76.5100,76.6600,76.3700,76.4800,32811
="2020-03-20",11.58.00,76.5600,76.5600,75.8540,75.8850,44222
="2020-03-20",11.59.00,76.0900,76.1300,75.5500,75.6600,30209
="2020-03-20",12.00.00,75.6500,75.8000,75.5000,75.7500,26278
="2020-03-20",12.01.00,75.8800,76.1785,75.8300,75.9250,26636
="2020-03-20",12.02.00,75.9950,76.3300,75.8800,76.0000,20192
="2020-03-20",12.03.00,76.1300,76.6400,75.9604,76.5450,25528
="2020-03-20",12.04.00,76.4800,76.7300,76.3200,76.3400,30042
="2020-03-20",12.05.00,76.3235,76.5500,76.1900,76.2600,22515
="2020-03-20",12.06.00,76.3200,76.4200,76.1000,76.2000,13492
="2020-03-20",12.07.00,76.1900,76.5500,76.1100,76.2800,26253
="2020-03-20",12.08.00,76.2128,76.6061,76.2128,76.5200,16869
="2020-03-20",12.09.00,76.5900,76.7500,76.5197,76.7500,18394
="2020-03-20",12.10.00,76.7500,76.9462,76.5842,76.8290,24440
="2020-03-20",12.11.00,76.8826,77.2100,76.8826,77.0600,51248
="2020-03-20",12.12.00,77.0201,77.0201,76.6599,76.6599,25386
="2020-03-20",12.13.00,76.7300,76.9100,76.6000,76.6500,13218
