date,time,open,high,low,close,volume
="2019-12-16",08.30.00,50.5000,50.5200,50.3100,50.3300,25276
="2019-12-16",08.31.00,50.3616,50.4390,50.2689,50.3716,224009
="2019-12-16",08.32.00,50.3700,50.4300,50.3400,50.3600,42483
="2019-12-16",08.33.00,50.3900,50.4250,50.3600,50.3600,43192
="2019-12-16",08.34.00,50.3600,50.4300,50.3400,50.3700,58768
="2019-12-16",08.35.00,50.3700,50.4000,50.3300,50.3300,27121
="2019-12-16",08.36.00,50.3300,50.3500,50.2950,50.3450,136776
="2019-12-16",08.37.00,50.3550,50.3550,50.2400,50.2400,25352
="2019-12-16",08.38.00,50.2400,50.3300,50.2000,50.2150,61987
="2019-12-16",08.39.00,50.2150,50.2400,50.2000,50.2000,22898
="2019-12-16",08.40.00,50.2050,50.2400,50.1900,50.2350,29706
="2019-12-16",08.41.00,50.2300,50.2300,50.1850,50.2100,13533
="2019-12-16",08.42.00,50.2150,50.2400,50.1800,50.1800,26044
="2019-12-16",08.43.00,50.1900,50.2100,50.1500,50.1500,21111
="2019-12-16",08.44.00,50.1550,50.1600,50.0650,50.0800,33964
="2019-12-16",08.45.00,50.0900,50.1500,50.0500,50.1450,31326
="2019-12-16",08.46.00,50.1400,50.2100,50.1300,50.2000,26107
="2019-12-16",08.47.00,50.1950,50.2100,50.1750,50.1750,26058
="2019-12-16",08.48.00,50.1750,50.2100,50.1000,50.1000,42131
="2019-12-16",08.49.00,50.1000,50.1100,50.0500,50.0550,19822
="2019-12-16",08.50.00,50.0500,50.0500,49.9700,49.9900,199853
="2019-12-16",08.51.00,49.9800,50.0200,49.9750,49.9800,14022
="2019-12-16",08.52.00,49.9799,50.0150,49.9550,50.0150,7248
="2019-12-16",08.53.00,50.0100,50.0400,49.9900,49.9900,9682
="2019-12-16",08.54.00,49.9900,49.9900,49.9100,49.9182,19568
="2019-12-16",08.55.00,49.9301,49.9500,49.9000,49.9000,22724
="2019-12-16",08.56.00,49.9000,49.9253,49.8800,49.9250,31655
="2019-12-16",08.57.00,49.9250,49.9550,49.9250,49.9450,39821
="2019-12-16",08.58.00,49.9450,49.9600,49.9300,49.9500,20112
="2019-12-16",08.59.00,49.9400,49.9900,49.9400,49.9900,31671
="2019-12-16",09.00.00,49.9900,50.0600,49.9900,50.0600,29017
="2019-12-16",09.01.00,50.0450,50.1100,50.0250,50.0800,71327
="2019-12-16",09.02.00,50.0900,50.1100,50.0750,50.0850,29064
="2019-12-16",09.03.00,50.0900,50.1550,50.0850,50.1450,27499
="2019-12-16",09.04.00,50.1450,50.1700,50.1300,50.1700,37902
="2019-12-16",09.05.00,50.1747,50.1800,50.1100,50.1200,33287
="2019-12-16",09.06.00,50.1199,50.1400,50.1100,50.1250,25013
="2019-12-16",09.07.00,50.1250,50.2200,50.1150,50.2200,35638
="2019-12-16",09.08.00,50.2200,50.2300,50.1900,50.2100,42035
="2019-12-16",09.09.00,50.2100,50.2300,50.1900,50.2000,96561
="2019-12-16",09.10.00,50.2050,50.2300,50.1750,50.1950,31104
="2019-12-16",09.11.00,50.1980,50.2200,50.1800,50.1800,42956
="2019-12-16",09.12.00,50.1850,50.2050,50.1550,50.1750,61328
="2019-12-16",09.13.00,50.1800,50.2100,50.1500,50.1500,81891
="2019-12-16",09.14.00,50.1500,50.1700,50.1200,50.1600,31271
="2019-12-16",09.15.00,50.1650,50.1800,50.1300,50.1300,43671
="2019-12-16",09.16.00,50.1400,50.1650,50.1000,50.1100,22074
="2019-12-16",09.17.00,50.1200,50.1300,50.0950,50.1100,13228
="2019-12-16",09.18.00,50.1000,50.1500,50.0950,50.1100,11973
="2019-12-16",09.19.00,50.1200,50.1450,50.1028,50.1100,12408
