date,time,open,high,low,close,volume
="2019-12-16",08.30.00,39.1100,39.4250,39.1100,39.3400,219314
="2019-12-16",08.33.00,39.4900,39.5800,39.4800,39.5700,91054
="2019-12-16",08.34.00,39.5700,39.5900,39.4900,39.5000,25476
="2019-12-16",08.35.00,39.4800,39.5500,39.4700,39.5010,40397
="2019-12-16",08.36.00,39.5100,39.5100,39.4800,39.4800,900
="2019-12-16",08.37.00,39.5000,39.5100,39.4700,39.4700,40753
="2019-12-16",08.38.00,39.4700,39.5400,39.4567,39.4650,27363
="2019-12-16",08.39.00,39.4600,39.5200,39.4550,39.4600,17229
="2019-12-16",08.40.00,39.4600,39.5300,39.4550,39.4600,29325
="2019-12-16",08.41.00,39.4609,39.5000,39.4550,39.4600,21294
="2019-12-16",08.42.00,39.4600,39.5500,39.4600,39.4850,24319
="2019-12-16",08.43.00,39.4800,39.5500,39.4750,39.5400,19143
="2019-12-16",08.44.00,39.5500,39.6200,39.5000,39.5100,26634
="2019-12-16",08.45.00,39.5300,39.5500,39.5000,39.5000,42535
="2019-12-16",08.46.00,39.5108,39.6011,39.5011,39.5228,36114
="2019-12-16",08.47.00,39.5200,39.5500,39.5000,39.5400,22670
="2019-12-16",08.48.00,39.5490,39.6000,39.5490,39.5950,44485
="2019-12-16",08.49.00,39.6000,39.6000,39.5800,39.6000,14112
="2019-12-16",08.50.00,39.5950,39.5950,39.5500,39.5850,33804
="2019-12-16",08.51.00,39.5800,39.6100,39.5800,39.6000,34265
="2019-12-16",08.52.00,39.5913,39.6288,39.5688,39.5713,42835
="2019-12-16",08.53.00,39.5640,39.6200,39.5640,39.6100,30704
="2019-12-16",08.54.00,39.6000,39.6000,39.5650,39.5700,21921
="2019-12-16",08.55.00,39.5750,39.5850,39.5381,39.5550,49895
="2019-12-16",08.56.00,39.5500,39.6100,39.5500,39.5700,41699
="2019-12-16",08.57.00,39.5600,39.5900,39.5500,39.5600,29432
="2019-12-16",08.58.00,39.5700,39.5900,39.5600,39.5600,12593
="2019-12-16",08.59.00,39.5700,39.5900,39.5500,39.5700,24460
="2019-12-16",09.00.00,39.5700,39.6400,39.5675,39.6100,80014
="2019-12-16",09.01.00,39.6100,39.6100,39.5750,39.6000,20962
="2019-12-16",09.02.00,39.5950,39.6200,39.5900,39.5900,20255
="2019-12-16",09.03.00,39.5900,39.6100,39.5700,39.5700,16164
="2019-12-16",09.04.00,39.5800,39.5950,39.5550,39.5800,24828
="2019-12-16",09.05.00,39.5750,39.5850,39.5600,39.5700,24110
="2019-12-16",09.06.00,39.5700,39.5850,39.5600,39.5850,12757
="2019-12-16",09.07.00,39.5850,39.5850,39.5500,39.5650,41092
="2019-12-16",09.08.00,39.5700,39.6000,39.5600,39.5800,41162
="2019-12-16",09.09.00,39.5750,39.6000,39.5700,39.5950,10817
="2019-12-16",09.10.00,39.5900,39.6100,39.5800,39.5900,17362
="2019-12-16",09.11.00,39.5900,39.6300,39.5900,39.6100,17395
="2019-12-16",09.12.00,39.6065,39.6429,39.5931,39.5967,36516
