date,time,open,high,low,close,volume
="2020-03-20",08.30.00,41.2300,41.2300,41.2300,41.2300,368818
="2020-03-20",08.31.00,40.8000,40.8000,40.8000,40.8000,159201
="2020-03-20",08.32.00,40.8100,40.8450,40.4100,40.6750,112091
="2020-03-20",08.33.00,40.6800,40.8200,40.6600,40.8200,127669
="2020-03-20",08.34.00,40.8100,40.9200,40.3600,40.5000,118966
="2020-03-20",08.35.00,40.5200,40.6299,40.3000,40.4450,134801
="2020-03-20",08.36.00,40.4399,40.4900,40.0800,40.1600,142704
="2020-03-20",08.37.00,40.2000,40.5600,40.0901,40.5300,181706
="2020-03-20",08.38.00,40.5200,40.6399,39.8100,40.0300,224434
="2020-03-20",08.39.00,40.0401,40.0900,39.8111,40.0000,87256
="2020-03-20",08.40.00,40.0000,40.0600,39.5000,39.7500,109722
="2020-03-20",08.41.00,39.7384,39.8200,39.4100,39.4600,80848
="2020-03-20",08.42.00,39.4364,39.7926,39.1864,39.2364,142509
="2020-03-20",08.43.00,39.2401,39.3099,39.0282,39.1700,69643
="2020-03-20",08.44.00,39.1750,39.1899,38.7100,38.8190,108433
="2020-03-20",08.45.00,38.8500,39.0000,38.7301,38.8400,60378
="2020-03-20",08.46.00,38.8500,39.2300,38.7800,39.2199,126698
="2020-03-20",08.47.00,39.2058,39.4800,39.1804,39.3100,176048
="2020-03-20",08.48.00,39.3400,39.3600,38.9700,39.2000,171254
="2020-03-20",08.49.00,39.1200,39.1600,38.8400,38.8819,142396
="2020-03-20",08.50.00,38.8900,39.3000,38.8500,39.2500,83047
="2020-03-20",08.51.00,39.3000,39.6900,39.3000,39.4700,90735
="2020-03-20",08.52.00,39.4700,39.4950,39.2800,39.3500,55055
="2020-03-20",08.53.00,39.3500,39.9292,39.2900,39.8900,115090
="2020-03-20",08.54.00,39.9050,40.0299,39.7500,39.9199,136483
="2020-03-20",08.55.00,39.8850,40.2400,39.8300,40.0200,93841
="2020-03-20",08.56.00,40.0200,40.1100,39.8700,40.0000,65200
="2020-03-20",08.57.00,40.0399,40.0650,39.8000,39.9695,57579
="2020-03-20",08.58.00,39.9300,40.2300,39.7500,39.7715,75431
="2020-03-20",08.59.00,39.8200,40.0700,39.6700,39.9900,76326
="2020-03-20",09.00.00,39.9600,40.2800,39.9500,40.1400,112897
="2020-03-20",09.01.00,40.1400,40.3000,40.0000,40.1100,136967
="2020-03-20",09.02.00,40.0900,40.2400,40.0200,40.2100,37845
="2020-03-20",09.03.00,40.2000,40.3400,40.0800,40.2500,86360
="2020-03-20",09.04.00,40.2500,40.2600,39.9200,40.0250,152014
="2020-03-20",09.05.00,40.0500,40.0600,39.8900,39.9800,46491
="2020-03-20",09.06.00,39.9825,40.0500,39.8800,39.9650,70634
="2020-03-20",09.07.00,39.9800,40.0261,39.9100,39.9500,57766
="2020-03-20",09.08.00,39.9500,39.9600,39.7100,39.9000,86538
="2020-03-20",09.09.00,39.9300,40.0700,39.8000,39.8700,59199
="2020-03-20",09.10.00,39.8500,40.1500,39.8100,40.0800,79249
="2020-03-20",09.11.00,40.1100,40.1400,39.9427,40.1200,42343
="2020-03-20",09.12.00,40.1250,40.3800,40.0600,40.3400,65376
="2020-03-20",09.13.00,40.3400,40.3500,40.1301,40.3500,55699
="2020-03-20",09.14.00,40.3324,40.3324,40.0700,40.1500,33014
="2020-03-20",09.15.00,40.1200,40.4900,40.1100,40.2800,51174
