date,time,open,high,low,close,volume
="2019-12-16",08.30.00,362.5500,364.4100,362.5000,364.1737,292117
="2019-12-16",08.33.00,365.8400,366.2300,365.0000,365.2441,337466
="2019-12-16",08.34.00,364.3675,364.3675,364.3675,364.3675,49420
="2019-12-16",08.35.00,364.2700,365.0583,364.2700,364.9300,47687
="2019-12-16",08.36.00,365.1550,365.1550,365.1550,365.1550,1539
="2019-12-16",08.37.00,365.8629,365.8629,365.8500,365.8500,69806
="2019-12-16",08.38.00,365.7746,365.7746,365.4335,365.4335,47934
="2019-12-16",08.39.00,365.5000,366.0771,365.5000,365.8000,64780
="2019-12-16",08.40.00,365.6900,366.1300,365.6900,366.1300,54686
="2019-12-16",08.41.00,366.6600,366.7878,366.6600,366.7878,65827
="2019-12-16",08.42.00,366.7950,367.6886,366.7950,367.6886,108962
="2019-12-16",08.43.00,367.7629,368.6700,367.7629,368.6700,118653
="2019-12-16",08.44.00,368.8839,369.1839,368.8839,369.1839,98213
="2019-12-16",08.45.00,369.2300,369.9900,369.2300,369.9900,146553
="2019-12-16",08.46.00,370.1100,370.1100,370.0409,370.0409,168319
="2019-12-16",08.47.00,369.8450,370.2400,369.8450,370.2400,69182
="2019-12-16",08.48.00,370.3400,370.5450,370.3400,370.5450,63752
="2019-12-16",08.49.00,370.5650,370.6000,370.2200,370.2200,83232
="2019-12-16",08.50.00,370.3600,370.3600,369.7400,369.7400,65550
="2019-12-16",08.51.00,369.8000,370.0000,369.8000,370.0000,69425
="2019-12-16",08.52.00,370.0200,370.0200,370.0100,370.0100,65802
="2019-12-16",08.53.00,370.1400,370.1400,369.7200,369.7200,49840
="2019-12-16",08.54.00,369.8200,369.8200,369.6000,369.6600,52969
="2019-12-16",08.55.00,369.5300,369.5700,369.5300,369.5300,49605
="2019-12-16",08.56.00,369.5121,369.8794,369.5121,369.8794,28642
="2019-12-16",08.57.00,369.6467,371.1210,369.6467,371.1210,124563
="2019-12-16",08.58.00,370.9600,371.2500,370.8100,371.0600,74165
="2019-12-16",08.59.00,370.9600,371.6800,370.8900,371.6500,76713
="2019-12-16",09.00.00,371.5500,372.2800,371.4057,372.1933,75691
="2019-12-16",09.01.00,372.2800,373.1700,372.2400,372.9000,105454
="2019-12-16",09.02.00,372.9400,373.7500,372.8200,373.5800,85803
="2019-12-16",09.03.00,373.5700,374.0000,373.4801,373.7122,116735
="2019-12-16",09.04.00,373.7400,374.3060,373.6100,374.2600,100927
="2019-12-16",09.05.00,374.3300,374.7000,374.2000,374.6600,92064
="2019-12-16",09.06.00,374.7000,375.4300,374.6400,375.1300,131489
="2019-12-16",09.07.00,375.2207,376.4200,374.9700,376.2100,130358
="2019-12-16",09.08.00,376.2450,377.0000,376.0000,376.9600,123471
="2019-12-16",09.09.00,376.8100,377.1100,375.1300,375.2470,148886
="2019-12-16",09.10.00,375.3100,375.5000,374.9800,375.2100,87096
="2019-12-16",09.11.00,375.1440,375.6407,374.8700,375.3900,88199
="2019-12-16",09.12.00,375.4619,375.5600,374.4200,374.5100,71929
="2019-12-16",09.13.00,374.4700,374.9400,374.1600,374.5100,52975
="2019-12-16",09.14.00,374.5219,375.2578,374.5070,374.8469,65846
="2019-12-16",09.15.00,374.8410,375.2500,374.7400,374.9850,79624
="2019-12-16",09.16.00,374.8700,375.0900,374.1100,374.1100,44910
="2019-12-16",09.17.00,374.1200,375.0000,374.1100,374.8060,55492
="2019-12-16",09.18.00,374.7500,375.3999,374.7500,375.3000,49187
="2019-12-16",09.19.00,375.3100,375.3292,374.7812,374.9750,68436
="2019-12-16",09.20.00,375.0000,375.3000,375.0000,375.1500,36379
="2019-12-16",09.21.00,375.1300,375.2800,374.9800,375.1300,24981
="2019-12-16",09.22.00,375.1500,375.2216,374.9800,375.1100,32544
="2019-12-16",09.23.00,375.1800,375.5000,374.9200,375.2400,51874
="2019-12-16",09.24.00,375.2015,375.8500,375.1000,375.8288,43620
="2019-12-16",09.25.00,375.8120,376.5000,375.8000,376.3100,91719
="2019-12-16",09.26.00,376.4000,376.6000,376.1500,376.5700,52829
="2019-12-16",09.27.00,376.5599,376.5599,376.0000,376.0500,64783
="2019-12-16",09.28.00,376.0850,376.4000,376.0000,376.1727,35281
="2019-12-16",09.29.00,376.1200,376.2600,376.0000,376.1700,37596
="2019-12-16",09.30.00,376.2557,376.8622,376.2316,376.2857,63744
="2019-12-16",09.31.00,376.2700,376.7200,375.7000,375.9350,54937
="2019-12-16",09.32.00,376.0003,376.4000,375.9100,376.4000,33822
="2019-12-16",09.33.00,376.3650,377.0600,376.3650,377.0200,72053
="2019-12-16",09.34.00,376.7299,376.8318,376.4200,376.4200,34446
="2019-12-16",09.35.00,376.4000,376.6500,376.2300,376.2900,12629
="2019-12-16",09.36.00,376.2700,376.2700,375.7000,375.9800,53337
="2019-12-16",09.37.00,375.9600,376.1739,375.7000,376.1300,39880
="2019-12-16",09.38.00,376.0730,376.4500,376.0730,376.3000,31064
="2019-12-16",09.39.00,376.3188,376.6400,376.3000,376.4200,42990
="2019-12-16",09.40.00,376.4129,376.7300,376.3800,376.6500,26830
="2019-12-16",09.41.00,376.6406,376.8000,376.5200,376.5781,25368
="2019-12-16",09.42.00,376.5100,376.5100,375.8001,375.9300,32851
="2019-12-16",09.43.00,375.9300,375.9500,375.2000,375.4400,66674
="2019-12-16",09.44.00,375.4274,376.2659,375.3952,375.9774,44341
="2019-12-16",09.45.00,375.9300,376.1456,375.7400,375.8900,24493
="2019-12-16",09.46.00,375.9300,376.2800,375.8100,376.2378,30864
="2019-12-16",09.47.00,376.2100,376.3300,375.6400,375.6400,25557
="2019-12-16",09.48.00,375.6700,375.8800,375.0300,375.1560,20249
="2019-12-16",09.49.00,375.2100,375.3269,374.6900,374.9550,42860
="2019-12-16",09.50.00,374.9900,375.6608,374.9750,375.5034,40403
="2019-12-16",09.51.00,375.5500,375.6000,375.1800,375.4200,25626
="2019-12-16",09.52.00,375.3700,375.6373,375.3700,375.5100,40620
="2019-12-16",09.53.00,375.5400,376.0000,375.5000,375.9800,22219
="2019-12-16",09.54.00,376.0000,376.1400,375.7400,375.9100,34898
="2019-12-16",09.55.00,375.8200,376.2000,375.6801,376.0700,28897
="2019-12-16",09.56.00,376.0200,376.2285,375.9694,376.1300,18098
="2019-12-16",09.57.00,376.1400,376.2900,376.0340,376.2400,31076
="2019-12-16",09.58.00,376.2700,376.3800,376.0200,376.3800,27446
="2019-12-16",09.59.00,376.3100,376.4700,376.2500,376.4300,38314
="2019-12-16",10.00.00,376.4500,376.5489,376.3800,376.5489,25370
="2019-12-16",10.02.00,376.4700,376.5300,376.3310,376.4200,85112
="2019-12-16",10.03.00,376.4100,377.4173,376.4100,377.3741,87353
="2019-12-16",10.04.00,377.4200,378.0200,377.4200,377.8600,89262
="2019-12-16",10.05.00,377.7909,379.0000,377.7501,378.5756,86447
="2019-12-16",10.06.00,378.5176,379.2296,378.4664,378.7700,44364
="2019-12-16",10.07.00,378.7000,379.3100,378.7000,378.9350,64893
="2019-12-16",10.08.00,378.9250,379.2950,378.7401,379.2950,46243
="2019-12-16",10.09.00,379.2900,379.4100,378.5500,378.5800,58899
="2019-12-16",10.10.00,378.5572,379.1486,378.4279,378.5976,43621
="2019-12-16",10.11.00,378.5900,378.9525,378.5300,378.9525,173832
="2019-12-16",10.12.00,378.9000,379.6400,378.9000,379.6104,213841
="2019-12-16",10.13.00,379.7053,379.9000,379.5200,379.7540,61524
="2019-12-16",10.14.00,379.7300,379.7300,379.1700,379.2800,43862
="2019-12-16",10.15.00,379.4000,379.4800,379.2400,379.4200,23836
="2019-12-16",10.16.00,379.3700,379.5000,379.0700,379.1172,40310
="2019-12-16",10.17.00,379.1500,379.2600,378.6800,378.8856,30061
="2019-12-16",10.18.00,378.9150,379.0700,378.5879,378.6300,33871
="2019-12-16",10.19.00,378.6000,378.6800,378.0419,378.0700,46399
="2019-12-16",10.20.00,378.0848,378.0848,377.1050,377.2800,67210
="2019-12-16",10.21.00,377.2620,377.4400,376.7000,376.8600,50297
="2019-12-16",10.22.00,376.8200,377.2500,376.7300,377.1374,176148
="2019-12-16",10.23.00,377.1100,377.3300,376.9320,377.2794,187366
="2019-12-16",10.24.00,377.3400,377.6000,376.8600,376.9000,35088
="2019-12-16",10.25.00,376.9450,377.3211,376.7201,376.8116,26512
="2019-12-16",10.26.00,376.8500,377.3100,376.7900,377.0911,23549
="2019-12-16",10.27.00,377.1700,377.4623,377.1450,377.4300,14134
="2019-12-16",10.28.00,377.4400,377.8800,377.4000,377.8347,37639
="2019-12-16",10.29.00,377.8100,377.9000,377.5406,377.6040,14078
="2019-12-16",10.31.00,378.3900,378.7400,378.3900,378.7400,48549
="2019-12-16",10.32.00,378.5744,378.8033,378.5207,378.7819,3043
="2019-12-16",10.33.00,378.9400,378.9578,378.6400,378.7000,46899
="2019-12-16",10.34.00,378.7500,378.9000,378.3900,378.5700,16296
="2019-12-16",10.35.00,378.3400,378.8600,378.1900,378.8600,16192
="2019-12-16",10.36.00,378.8560,378.9800,378.6240,378.8800,19248
="2019-12-16",10.37.00,378.9000,379.0800,378.6300,378.9623,24475
="2019-12-16",10.38.00,378.9800,379.4769,378.9800,379.4769,32846
="2019-12-16",10.39.00,379.4500,379.6900,379.4100,379.5400,56508
="2019-12-16",10.40.00,379.6299,379.9500,379.5340,379.9500,85924
="2019-12-16",10.41.00,379.9500,379.9900,379.7900,379.8400,35919
="2019-12-16",10.42.00,379.8500,380.0000,379.5000,379.9000,58597
="2019-12-16",10.43.00,379.9700,380.0000,379.6021,379.7500,36155
="2019-12-16",10.44.00,379.7686,379.8800,379.6200,379.6200,26825
="2019-12-16",10.45.00,379.6135,379.9524,379.2520,379.4437,39803
="2019-12-16",10.46.00,379.3836,379.4400,378.9000,378.9900,33021
="2019-12-16",10.47.00,378.9479,379.0070,378.6300,379.0070,28202
="2019-12-16",10.48.00,379.0218,379.4000,378.9900,379.3500,30792
="2019-12-16",10.49.00,379.3500,379.6700,379.3319,379.4864,34537
="2019-12-16",10.50.00,379.5500,379.6300,379.3100,379.4500,29398
="2019-12-16",10.51.00,379.4150,379.4800,379.1800,379.4600,18489
="2019-12-16",10.52.00,379.4800,379.5000,379.3393,379.3393,14857
="2019-12-16",10.53.00,379.3200,380.0000,379.1600,379.9300,76814
="2019-12-16",10.54.00,379.9600,381.2100,379.9600,381.2100,199789
="2019-12-16",10.55.00,381.2200,381.7332,380.9600,381.6100,63105
="2019-12-16",10.56.00,381.5795,381.8800,381.5100,381.6000,53251
="2019-12-16",10.57.00,381.5536,381.7624,381.2900,381.5300,58834
="2019-12-16",10.58.00,381.5000,381.9000,381.3600,381.7900,42885
="2019-12-16",11.00.00,382.2933,382.2933,382.0000,382.0700,159445
="2019-12-16",11.01.00,382.1200,382.8500,381.9600,382.7700,56751
="2019-12-16",11.02.00,382.7492,383.0000,382.5042,382.7544,72307
="2019-12-16",11.03.00,382.7050,383.3300,382.6991,383.2900,55000
="2019-12-16",11.04.00,383.3200,383.4600,382.8700,383.1618,67417
="2019-12-16",11.05.00,383.1750,383.3800,382.8924,383.3700,47319
="2019-12-16",11.06.00,383.3500,383.3500,382.3600,382.4200,37260
="2019-12-16",11.07.00,382.4700,382.7789,382.2600,382.3916,42452
="2019-12-16",11.08.00,382.4200,382.4200,382.1600,382.1700,39505
="2019-12-16",11.09.00,382.1600,382.1800,381.2700,381.5300,77751
="2019-12-16",11.10.00,381.5060,381.7300,381.2300,381.2400,28775
="2019-12-16",11.11.00,381.2300,381.6750,381.2212,381.6182,28759
="2019-12-16",11.12.00,381.6018,382.0000,381.6000,381.6465,39956
="2019-12-16",11.13.00,381.6000,381.8800,381.5301,381.7194,17544
="2019-12-16",11.14.00,381.6714,381.7200,381.0200,381.2059,35551
="2019-12-16",11.15.00,381.1800,382.3000,381.1800,382.1700,35906
="2019-12-16",11.16.00,382.1800,382.2300,381.8820,381.9459,21935
="2019-12-16",11.17.00,381.9993,382.0900,381.8100,382.0182,24278
="2019-12-16",11.18.00,382.0400,382.2500,381.8400,382.1650,26620
="2019-12-16",11.19.00,382.2000,382.7400,382.2000,382.5470,39996
="2019-12-16",11.20.00,382.7586,383.0000,382.6200,382.8000,49130
="2019-12-16",11.21.00,382.8000,383.0000,382.5500,382.6500,37536
="2019-12-16",11.22.00,382.6800,383.0400,382.6107,383.0110,30574
="2019-12-16",11.23.00,383.0400,383.3100,383.0248,383.2560,57378
="2019-12-16",11.24.00,383.2899,383.6100,383.1000,383.4400,46812
="2019-12-16",11.25.00,383.4400,383.4400,382.8300,383.0800,35533
="2019-12-16",11.26.00,383.0700,383.2500,382.4000,382.5950,42570
="2019-12-16",11.27.00,382.5300,382.6393,381.7000,381.9991,35921
="2019-12-16",11.28.00,381.9000,382.0000,381.2500,381.2828,24155
="2019-12-16",11.29.00,381.3300,381.4000,380.6000,380.8800,64340
="2019-12-16",11.30.00,380.9138,381.2700,380.6932,380.7000,35795
="2019-12-16",11.31.00,380.7000,381.2134,380.6827,381.1300,25391
="2019-12-16",11.32.00,381.1400,381.6800,380.9700,381.1400,32689
="2019-12-16",11.33.00,381.1155,381.9100,381.0600,381.8600,19367
="2019-12-16",11.34.00,381.7600,381.9500,381.7297,381.7445,29215
="2019-12-16",11.35.00,381.7000,381.7000,380.9000,381.2250,35277
="2019-12-16",11.36.00,381.2600,381.8900,381.2600,381.8800,30459
="2019-12-16",11.37.00,381.8899,382.0953,381.7750,382.0500,23583
="2019-12-16",11.38.00,381.9630,382.0300,381.6800,381.7450,31104
="2019-12-16",11.39.00,381.7700,381.9594,381.7600,381.8800,16159
="2019-12-16",11.40.00,381.9300,382.0300,381.6900,381.6900,20471
="2019-12-16",11.41.00,381.5654,381.6010,380.4300,380.4750,40233
="2019-12-16",11.42.00,380.4500,380.7399,380.0100,380.2100,52198
="2019-12-16",11.43.00,380.1800,380.1800,379.3800,379.3800,63741
="2019-12-16",11.44.00,379.4537,380.0670,378.8637,379.2201,71116
="2019-12-16",11.45.00,379.2200,380.0000,379.0850,379.6200,40336
="2019-12-16",11.46.00,379.7000,380.0000,379.4200,379.9730,37530
="2019-12-16",11.47.00,379.9400,380.2500,379.8000,379.8100,38104
="2019-12-16",11.48.00,379.8900,380.0800,379.7400,379.7400,31365
="2019-12-16",11.49.00,379.7100,380.2400,379.7100,380.1279,20099
="2019-12-16",11.50.00,380.1516,380.3000,379.8559,379.8850,38437
="2019-12-16",11.51.00,379.8900,380.1884,379.7100,379.8800,18324
="2019-12-16",11.52.00,379.9500,380.2000,379.8926,380.0300,13800
="2019-12-16",11.53.00,379.9600,380.1060,379.8667,379.9858,7793
="2019-12-16",11.54.00,380.0000,380.1047,379.8300,379.9150,33275
="2019-12-16",11.55.00,379.8700,379.9200,379.7769,379.8500,20909
="2019-12-16",11.56.00,379.8900,380.3100,379.7600,380.0900,33306
="2019-12-16",11.57.00,380.1400,380.1400,379.9000,380.0000,16294
="2019-12-16",11.58.00,380.0650,380.1100,379.7942,379.7942,20386
="2019-12-16",11.59.00,379.8200,380.0200,379.7000,379.7900,18521
="2019-12-16",12.00.00,379.7500,379.8900,379.5390,379.8135,35660
="2019-12-16",12.01.00,379.7700,380.1400,379.7300,379.9200,20266
="2019-12-16",12.02.00,379.8800,379.9100,379.4100,379.7400,30694
="2019-12-16",12.03.00,379.6600,380.0000,379.4800,379.8300,24164
="2019-12-16",12.04.00,379.7600,380.0200,379.6100,379.6500,13338
="2019-12-16",12.05.00,379.7100,379.9700,379.5140,379.9100,11515
="2019-12-16",12.06.00,379.9105,380.0000,379.7950,379.9300,15054
="2019-12-16",12.07.00,379.9500,380.6500,379.8200,380.5302,28795
="2019-12-16",12.08.00,380.6019,381.0000,380.5303,380.6500,30667
="2019-12-16",12.09.00,380.6622,380.6622,380.0000,380.0143,25837
="2019-12-16",12.10.00,380.0900,380.4800,380.0900,380.2300,15633
="2019-12-16",12.11.00,380.2964,380.5650,380.2300,380.5650,11295
="2019-12-16",12.12.00,380.5100,380.6400,380.3900,380.5200,11713
="2019-12-16",12.13.00,380.5100,380.6700,380.3402,380.6100,10159
="2019-12-16",12.14.00,380.6000,380.6500,380.3001,380.4700,15281
="2019-12-16",12.15.00,380.3661,380.5600,380.3302,380.3302,8251
="2019-12-16",12.16.00,380.3401,380.6400,380.3000,380.3750,12176
="2019-12-16",12.17.00,380.4000,380.4183,380.2900,380.3137,6787
="2019-12-16",12.18.00,380.2998,380.4400,380.1000,380.3400,8589
="2019-12-16",12.19.00,380.3300,380.4500,380.2400,380.3390,6808
="2019-12-16",12.20.00,380.3292,380.4200,380.2000,380.3809,17941
="2019-12-16",12.21.00,380.4076,380.7500,380.3006,380.7100,22120
="2019-12-16",12.22.00,380.7300,380.9400,380.6500,380.7932,20153
="2019-12-16",12.23.00,380.8800,381.0000,380.8131,380.8152,15739
="2019-12-16",12.24.00,380.8256,380.9250,380.7000,380.8200,15826
="2019-12-16",12.25.00,380.8500,380.9700,380.8300,380.9700,12633
="2019-12-16",12.26.00,380.9400,380.9550,380.6900,380.7173,8777
="2019-12-16",12.27.00,380.7363,381.0000,380.7363,380.8900,19853
="2019-12-16",12.28.00,380.8700,381.1000,380.6200,380.8700,51701
="2019-12-16",12.29.00,380.7241,381.1200,380.7241,381.0991,21779
="2019-12-16",12.30.00,381.1000,381.4800,381.0600,381.4600,32320
="2019-12-16",12.31.00,381.4304,381.5700,381.3208,381.5000,20720
="2019-12-16",12.32.00,381.5000,381.8100,381.4966,381.8100,26684
