date,time,open,high,low,close,volume
="2019-12-16",08.30.00,30.5200,30.6660,30.5200,30.6380,189868
="2019-12-16",08.31.00,30.6324,30.6324,30.5000,30.5100,59488
="2019-12-16",08.32.00,30.5063,30.5894,30.4893,30.5513,49046
="2019-12-16",08.33.00,30.5512,30.5793,30.4892,30.5112,63144
="2019-12-16",08.34.00,30.5000,30.5048,30.4450,30.4601,66911
="2019-12-16",08.35.00,30.4600,30.5200,30.4400,30.4900,165588
="2019-12-16",08.36.00,30.4800,30.5300,30.4800,30.4900,42253
="2019-12-16",08.37.00,30.4900,30.5300,30.4723,30.4800,41285
="2019-12-16",08.38.00,30.4885,30.5200,30.4700,30.5100,79273
="2019-12-16",08.39.00,30.5055,30.5364,30.4664,30.4695,46277
="2019-12-16",08.40.00,30.4690,30.5500,30.4650,30.5500,36975
="2019-12-16",08.41.00,30.5500,30.6400,30.5400,30.6300,150897
="2019-12-16",08.42.00,30.6312,30.7194,30.6278,30.6912,46191
="2019-12-16",08.43.00,30.6900,30.6900,30.6300,30.6300,61952
="2019-12-16",08.44.00,30.6350,30.6600,30.6300,30.6500,24132
="2019-12-16",08.45.00,30.6500,30.6700,30.6300,30.6575,48737
="2019-12-16",08.46.00,30.6500,30.6700,30.6250,30.6250,30540
="2019-12-16",08.47.00,30.6275,30.6700,30.6100,30.6650,39191
="2019-12-16",08.48.00,30.6700,30.6800,30.6600,30.6675,36460
="2019-12-16",08.49.00,30.6700,30.6900,30.6500,30.6500,56170
="2019-12-16",08.50.00,30.6500,30.7100,30.6500,30.7024,44297
="2019-12-16",08.51.00,30.7000,30.7300,30.6900,30.7265,53422
="2019-12-16",08.52.00,30.7299,30.7400,30.7000,30.7134,37819
="2019-12-16",08.53.00,30.7150,30.7198,30.6750,30.6900,17330
="2019-12-16",08.54.00,30.6900,30.6994,30.6600,30.6700,16991
="2019-12-16",08.55.00,30.6601,30.6800,30.6500,30.6500,30416
="2019-12-16",08.56.00,30.6501,30.6700,30.6390,30.6400,22174
="2019-12-16",08.57.00,30.6448,30.6600,30.6300,30.6520,29876
="2019-12-16",08.58.00,30.6500,30.6700,30.6489,30.6500,18104
="2019-12-16",08.59.00,30.6600,30.6600,30.6200,30.6500,48716
="2019-12-16",09.00.00,30.6600,30.6600,30.6400,30.6450,15084
="2019-12-16",09.01.00,30.6450,30.6600,30.6300,30.6500,18472
="2019-12-16",09.02.00,30.6500,30.6600,30.6450,30.6538,10992
="2019-12-16",09.03.00,30.6500,30.6700,30.6450,30.6450,21978
="2019-12-16",09.04.00,30.6450,30.6700,30.6400,30.6450,20723
="2019-12-16",09.05.00,30.6500,30.6500,30.6200,30.6350,13854
="2019-12-16",09.06.00,30.6350,30.6550,30.6200,30.6200,21373
="2019-12-16",09.07.00,30.6200,30.6500,30.6100,30.6500,42135
="2019-12-16",09.08.00,30.6486,30.6741,30.6441,30.6456,17314
="2019-12-16",09.09.00,30.6400,30.6450,30.6300,30.6436,12417
="2019-12-16",09.10.00,30.6400,30.6500,30.6400,30.6477,9290
="2019-12-16",09.11.00,30.6450,30.6500,30.6400,30.6500,5623
="2019-12-16",09.12.00,30.6420,30.6500,30.6350,30.6450,60373
="2019-12-16",09.13.00,30.6500,30.6500,30.6300,30.6350,17033
="2019-12-16",09.14.00,30.6350,30.6400,30.6300,30.6300,8203
="2019-12-16",09.15.00,30.6300,30.6500,30.6200,30.6499,28925
="2019-12-16",09.16.00,30.6450,30.6500,30.6200,30.6332,39207
="2019-12-16",09.17.00,30.6350,30.6399,30.6150,30.6300,22620
="2019-12-16",09.18.00,30.6212,30.6700,30.6212,30.6500,78560
="2019-12-16",09.19.00,30.6500,30.6600,30.6400,30.6500,17059
="2019-12-16",09.20.00,30.6500,30.6700,30.6500,30.6650,15385
="2019-12-16",09.21.00,30.6700,30.6899,30.6700,30.6850,20795
="2019-12-16",09.22.00,30.6850,30.7000,30.6850,30.6929,15486
="2019-12-16",09.23.00,30.6900,30.7100,30.6900,30.7100,34660
="2019-12-16",09.24.00,30.7000,30.7000,30.6800,30.6900,39628
="2019-12-16",09.25.00,30.6900,30.7100,30.6900,30.7100,3697
="2019-12-16",09.27.00,30.7100,30.7300,30.7100,30.7300,49168
="2019-12-16",09.28.00,30.7216,30.7400,30.7200,30.7400,18584
="2019-12-16",09.29.00,30.7331,30.7400,30.6900,30.6900,40418
="2019-12-16",09.30.00,30.7000,30.7100,30.7000,30.7001,6214
="2019-12-16",09.31.00,30.7022,30.7100,30.6900,30.7000,43480
="2019-12-16",09.32.00,30.7050,30.7086,30.6900,30.6900,11544
="2019-12-16",09.33.00,30.6900,30.6950,30.6700,30.6750,24666
="2019-12-16",09.34.00,30.6800,30.6800,30.6700,30.6700,12616
="2019-12-16",09.35.00,30.6700,30.6800,30.6600,30.6618,37491
="2019-12-16",09.36.00,30.6600,30.6685,30.6500,30.6600,11231
="2019-12-16",09.37.00,30.6650,30.6950,30.6650,30.6800,21935
="2019-12-16",09.38.00,30.6843,30.6843,30.6600,30.6600,13922
="2019-12-16",09.39.00,30.6700,30.6800,30.6600,30.6650,30542
="2019-12-16",09.40.00,30.6600,30.6700,30.6600,30.6600,4704
="2019-12-16",09.41.00,30.6625,30.6700,30.6500,30.6500,13088
="2019-12-16",09.42.00,30.6500,30.6500,30.6300,30.6300,34894
="2019-12-16",09.43.00,30.6300,30.6300,30.6100,30.6200,24990
="2019-12-16",09.44.00,30.6200,30.6500,30.6150,30.6300,33666
="2019-12-16",09.45.00,30.6350,30.6500,30.6228,30.6500,26499
="2019-12-16",09.46.00,30.6487,30.6600,30.6450,30.6500,17665
="2019-12-16",09.47.00,30.6500,30.6500,30.6400,30.6454,7349
="2019-12-16",09.48.00,30.6400,30.6500,30.6200,30.6450,44991
="2019-12-16",09.49.00,30.6500,30.6800,30.6400,30.6750,19833
="2019-12-16",09.50.00,30.6700,30.6799,30.6700,30.6700,11057
="2019-12-16",09.51.00,30.6700,30.6900,30.6700,30.6841,17567
="2019-12-16",09.52.00,30.6800,30.6900,30.6700,30.6850,23550
="2019-12-16",09.53.00,30.6801,30.6900,30.6700,30.6800,17141
="2019-12-16",09.54.00,30.6800,30.6872,30.6710,30.6800,17570
="2019-12-16",09.55.00,30.6800,30.6900,30.6700,30.6850,10653
="2019-12-16",09.56.00,30.6850,30.7100,30.6800,30.7100,45925
="2019-12-16",09.57.00,30.7100,30.7200,30.7000,30.7200,24067
="2019-12-16",09.58.00,30.7134,30.7200,30.7000,30.7100,43872
="2019-12-16",09.59.00,30.7200,30.7300,30.7100,30.7100,19758
="2019-12-16",10.00.00,30.7200,30.7300,30.7150,30.7200,4184
="2019-12-16",10.01.00,30.7150,30.7158,30.7100,30.7100,38001
="2019-12-16",10.02.00,30.7150,30.7170,30.7100,30.7100,12267
="2019-12-16",10.03.00,30.7100,30.7200,30.7100,30.7100,5159
="2019-12-16",10.04.00,30.7100,30.7143,30.6800,30.6900,30244
="2019-12-16",10.05.00,30.6810,30.6885,30.6700,30.6700,8480
="2019-12-16",10.06.00,30.6750,30.6800,30.6500,30.6700,44834
="2019-12-16",10.07.00,30.6650,30.6800,30.6619,30.6669,25979
="2019-12-16",10.08.00,30.6600,30.6700,30.6500,30.6700,8770
="2019-12-16",10.09.00,30.6600,30.6700,30.6600,30.6600,6518
="2019-12-16",10.10.00,30.6602,30.6700,30.6500,30.6614,10846
="2019-12-16",10.11.00,30.6700,30.6750,30.6600,30.6600,11317
="2019-12-16",10.12.00,30.6500,30.6600,30.6500,30.6500,3640
="2019-12-16",10.13.00,30.6500,30.6800,30.6400,30.6750,46480
="2019-12-16",10.14.00,30.6800,30.7000,30.6700,30.6950,29558
="2019-12-16",10.15.00,30.6950,30.7100,30.6900,30.7000,12907
="2019-12-16",10.16.00,30.7100,30.7100,30.6961,30.7050,11739
="2019-12-16",10.17.00,30.7000,30.7150,30.7000,30.7150,12532
="2019-12-16",10.18.00,30.7130,30.7200,30.7100,30.7200,8208
="2019-12-16",10.19.00,30.7150,30.7150,30.7000,30.7113,37296
="2019-12-16",10.20.00,30.7101,30.7200,30.7100,30.7100,13895
="2019-12-16",10.21.00,30.7050,30.7100,30.7000,30.7100,13873
="2019-12-16",10.22.00,30.7005,30.7050,30.7000,30.7050,4160
="2019-12-16",10.23.00,30.7000,30.7150,30.7000,30.7150,33018
="2019-12-16",10.24.00,30.7100,30.7200,30.7100,30.7150,25242
="2019-12-16",10.25.00,30.7150,30.7150,30.7000,30.7049,13147
="2019-12-16",10.26.00,30.7050,30.7050,30.7000,30.7000,4655
="2019-12-16",10.27.00,30.7050,30.7100,30.7000,30.7050,6840
="2019-12-16",10.28.00,30.7050,30.7200,30.7050,30.7150,10432
="2019-12-16",10.29.00,30.7162,30.7200,30.7100,30.7101,6483
="2019-12-16",10.32.00,30.7127,30.7800,30.7118,30.7800,274510
="2019-12-16",10.33.00,30.7737,30.7900,30.7600,30.7816,95250
="2019-12-16",10.34.00,30.7897,30.8000,30.7800,30.8000,80054
="2019-12-16",10.35.00,30.8000,30.8300,30.7900,30.8243,108290
="2019-12-16",10.36.00,30.8300,30.8500,30.8077,30.8200,58744
="2019-12-16",10.37.00,30.8173,30.8400,30.8100,30.8144,51147
="2019-12-16",10.38.00,30.8100,30.8200,30.7700,30.7800,47838
="2019-12-16",10.39.00,30.7800,30.8000,30.7800,30.7943,10159
="2019-12-16",10.40.00,30.7900,30.7966,30.7800,30.7899,12374
="2019-12-16",10.41.00,30.7850,30.8000,30.7800,30.8000,12948
="2019-12-16",10.42.00,30.8000,30.8300,30.8000,30.8300,15094
="2019-12-16",10.43.00,30.8266,30.8400,30.8200,30.8262,21378
="2019-12-16",10.44.00,30.8247,30.8400,30.8200,30.8400,29530
="2019-12-16",10.45.00,30.8400,30.8700,30.8400,30.8671,33846
="2019-12-16",10.46.00,30.8700,30.8900,30.8645,30.8900,69004
="2019-12-16",10.47.00,30.8900,30.8900,30.8700,30.8819,38390
="2019-12-16",10.48.00,30.8900,30.8900,30.8650,30.8713,43283
="2019-12-16",10.49.00,30.8800,30.8800,30.8600,30.8650,49284
="2019-12-16",10.50.00,30.8622,30.8646,30.8500,30.8600,14502
="2019-12-16",10.51.00,30.8550,30.8550,30.8350,30.8400,24752
="2019-12-16",10.52.00,30.8401,30.8401,30.8300,30.8300,14834
="2019-12-16",10.53.00,30.8350,30.8500,30.8200,30.8500,53202
="2019-12-16",10.54.00,30.8402,30.8600,30.8400,30.8550,43408
="2019-12-16",10.55.00,30.8500,30.8590,30.8300,30.8500,46011
="2019-12-16",10.56.00,30.8500,30.8750,30.8500,30.8632,39973
="2019-12-16",10.57.00,30.8650,30.8700,30.8500,30.8600,37155
="2019-12-16",10.58.00,30.8650,30.8700,30.8600,30.8632,17274
="2019-12-16",10.59.00,30.8700,30.8700,30.8600,30.8600,33412
="2019-12-16",11.01.00,30.8800,30.8900,30.8800,30.8862,54996
="2019-12-16",11.02.00,30.8800,30.9089,30.8800,30.9050,35398
="2019-12-16",11.03.00,30.9046,30.9400,30.9000,30.9350,42501
="2019-12-16",11.04.00,30.9300,30.9500,30.9300,30.9500,35318
="2019-12-16",11.05.00,30.9500,30.9500,30.9400,30.9435,33960
="2019-12-16",11.06.00,30.9400,30.9450,30.9100,30.9100,46289
="2019-12-16",11.07.00,30.9100,30.9156,30.9000,30.9151,21132
="2019-12-16",11.08.00,30.9150,30.9200,30.9100,30.9150,36613
="2019-12-16",11.09.00,30.9100,30.9200,30.9000,30.9156,11617
="2019-12-16",11.10.00,30.9200,30.9200,30.9100,30.9200,13968
="2019-12-16",11.11.00,30.9250,30.9300,30.9100,30.9250,21268
="2019-12-16",11.12.00,30.9200,30.9250,30.8850,30.8900,23771
="2019-12-16",11.13.00,30.8900,30.9000,30.8900,30.8950,16265
="2019-12-16",11.14.00,30.8950,30.9000,30.8900,30.8917,6053
="2019-12-16",11.15.00,30.8990,30.9000,30.8900,30.8905,11848
="2019-12-16",11.16.00,30.8984,30.9000,30.8900,30.8900,23431
="2019-12-16",11.17.00,30.8958,30.9000,30.8850,30.8850,11297
="2019-12-16",11.18.00,30.8900,30.9000,30.8850,30.8900,11494
="2019-12-16",11.19.00,30.8924,30.9300,30.8900,30.9200,40094
="2019-12-16",11.20.00,30.9250,30.9300,30.9200,30.9250,10757
="2019-12-16",11.21.00,30.9200,30.9400,30.9100,30.9150,47665
