date,time,open,high,low,close,volume
="2019-12-16",08.30.00,29.1100,29.3000,29.1000,29.3000,2062317
="2019-12-16",08.31.00,29.3009,29.3786,29.2584,29.3109,460395
="2019-12-16",08.32.00,29.3000,29.3400,29.2950,29.3400,298066
="2019-12-16",08.33.00,29.3353,29.3900,29.3200,29.3900,270846
="2019-12-16",08.34.00,29.3893,29.4500,29.3700,29.4373,535575
="2019-12-16",08.35.00,29.4350,29.5400,29.4300,29.5400,665813
="2019-12-16",08.36.00,29.5408,29.5686,29.4585,29.4958,200317
="2019-12-16",08.37.00,29.4985,29.5900,29.4950,29.5900,363231
="2019-12-16",08.38.00,29.5861,29.6678,29.5677,29.6311,279130
="2019-12-16",08.39.00,29.6305,29.6657,29.6256,29.6355,208160
="2019-12-16",08.40.00,29.6330,29.6900,29.6300,29.6900,452727
="2019-12-16",08.41.00,29.6900,29.7250,29.6800,29.7150,151353
="2019-12-16",08.42.00,29.7200,29.7700,29.7200,29.7650,314236
="2019-12-16",08.43.00,29.7650,29.7700,29.7100,29.7100,235990
="2019-12-16",08.44.00,29.7150,29.7900,29.7100,29.7750,148613
="2019-12-16",08.45.00,29.7800,29.8500,29.7700,29.8450,278784
="2019-12-16",08.46.00,29.8400,29.9100,29.8400,29.9000,277076
="2019-12-16",08.47.00,29.8961,29.9500,29.8900,29.9475,232372
="2019-12-16",08.48.00,29.9450,29.9500,29.9400,29.9500,237979
="2019-12-16",08.49.00,29.9418,30.0000,29.9400,29.9800,996508
="2019-12-16",08.50.00,29.9800,30.0500,29.9700,30.0000,662682
="2019-12-16",08.51.00,30.0060,30.0100,29.9800,30.0000,462286
="2019-12-16",08.52.00,29.9903,30.0100,29.8900,29.9000,300662
="2019-12-16",08.53.00,29.9000,29.9600,29.9000,29.9300,89888
="2019-12-16",08.54.00,29.9308,29.9690,29.9290,29.9408,153008
="2019-12-16",08.55.00,29.9350,29.9400,29.9200,29.9300,141861
="2019-12-16",08.56.00,29.9350,29.9400,29.9000,29.9200,180040
="2019-12-16",08.57.00,29.9200,30.0000,29.9100,29.9900,277978
="2019-12-16",08.58.00,29.9900,30.0500,29.9800,30.0400,433354
="2019-12-16",08.59.00,30.0400,30.0400,30.0100,30.0200,143990
="2019-12-16",09.00.00,30.0150,30.0400,30.0100,30.0300,202211
="2019-12-16",09.01.00,30.0400,30.0500,30.0100,30.0350,139803
="2019-12-16",09.02.00,30.0300,30.0500,30.0300,30.0499,252212
="2019-12-16",09.03.00,30.0513,30.0789,30.0289,30.0363,150017
