date,time,open,high,low,close,volume
="2019-12-16",08.30.00,9.1001,9.1279,9.0809,9.1001,2194875
="2019-12-16",08.33.00,9.0904,9.1087,9.0787,9.1003,559007
="2019-12-16",08.34.00,9.0905,9.1189,9.0389,9.1093,281741
="2019-12-16",08.35.00,9.1000,9.1100,9.0800,9.1000,220761
="2019-12-16",08.37.00,9.1302,9.1471,9.1272,9.1401,286061
="2019-12-16",08.38.00,9.1400,9.1486,9.1085,9.1242,215195
="2019-12-16",08.39.00,9.1301,9.1579,9.1279,9.1401,98642
="2019-12-16",08.40.00,9.1340,9.1500,9.1000,9.1076,210804
="2019-12-16",08.41.00,9.1052,9.1200,9.0928,9.1001,90300
="2019-12-16",08.42.00,9.1100,9.1300,9.1100,9.1200,65896
="2019-12-16",08.43.00,9.1150,9.1201,9.0739,9.0771,64672
="2019-12-16",08.44.00,9.0800,9.1000,9.0600,9.0600,116176
="2019-12-16",08.45.00,9.0618,9.0900,9.0600,9.0710,93195
="2019-12-16",08.46.00,9.0800,9.0972,9.0571,9.0887,51013
="2019-12-16",08.47.00,9.0876,9.1000,9.0800,9.0800,65919
="2019-12-16",08.48.00,9.0902,9.0984,9.0784,9.0802,39831
="2019-12-16",08.49.00,9.0803,9.0988,9.0788,9.0803,26827
="2019-12-16",08.50.00,9.0800,9.0900,9.0600,9.0627,46638
="2019-12-16",08.51.00,9.0643,9.0787,9.0286,9.0404,159825
="2019-12-16",08.52.00,9.0502,9.0689,9.0342,9.0603,78992
="2019-12-16",08.53.00,9.0600,9.0900,9.0600,9.0800,37845
="2019-12-16",08.54.00,9.0801,9.0887,9.0588,9.0601,72919
="2019-12-16",08.55.00,9.0600,9.1000,9.0600,9.0990,77686
="2019-12-16",08.56.00,9.0996,9.1200,9.0924,9.1000,63795
="2019-12-16",08.57.00,9.1103,9.1250,9.1085,9.1103,37723
="2019-12-16",08.58.00,9.1081,9.1179,9.0979,9.1001,29226
="2019-12-16",08.59.00,9.0900,9.1100,9.0900,9.0900,40058
="2019-12-16",09.00.00,9.0898,9.1200,9.0898,9.1022,61128
="2019-12-16",09.01.00,9.1001,9.1300,9.1001,9.1300,41976
="2019-12-16",09.02.00,9.1200,9.1300,9.1050,9.1100,52781
="2019-12-16",09.03.00,9.1050,9.1200,9.1000,9.1062,45577
="2019-12-16",09.04.00,9.1054,9.1287,9.0987,9.1204,78652
="2019-12-16",09.05.00,9.1199,9.1300,9.1100,9.1100,64763
="2019-12-16",09.06.00,9.1100,9.1300,9.1100,9.1100,44807
="2019-12-16",09.07.00,9.1148,9.1288,9.1088,9.1201,71789
="2019-12-16",09.08.00,9.1154,9.1170,9.1000,9.1010,26207
="2019-12-16",09.09.00,9.1103,9.1240,9.1085,9.1103,60571
="2019-12-16",09.10.00,9.1000,9.1200,9.1000,9.1000,19508
="2019-12-16",09.11.00,9.1103,9.1489,9.1089,9.1353,63881
="2019-12-16",09.12.00,9.1343,9.1427,9.1188,9.1197,29778
="2019-12-16",09.13.00,9.1199,9.1386,9.1187,9.1204,37851
="2019-12-16",09.14.00,9.1200,9.1300,9.1150,9.1245,8958
="2019-12-16",09.15.00,9.1300,9.2100,9.1300,9.1900,247811
="2019-12-16",09.16.00,9.1897,9.1989,9.1789,9.1801,65524
="2019-12-16",09.17.00,9.1801,9.1872,9.1672,9.1702,51024
="2019-12-16",09.18.00,9.1700,9.1800,9.1400,9.1401,57920
="2019-12-16",09.19.00,9.1450,9.1600,9.1402,9.1600,66033
="2019-12-16",09.20.00,9.1654,9.2000,9.1627,9.2000,114672
="2019-12-16",09.21.00,9.1946,9.2200,9.1900,9.2049,87408
="2019-12-16",09.22.00,9.2050,9.2800,9.2000,9.2601,387998
="2019-12-16",09.23.00,9.2600,9.2700,9.2329,9.2375,139414
="2019-12-16",09.24.00,9.2400,9.2600,9.2400,9.2400,102589
="2019-12-16",09.25.00,9.2392,9.2590,9.2189,9.2247,78885
="2019-12-16",09.26.00,9.2202,9.2373,9.1972,9.2002,141550
="2019-12-16",09.27.00,9.2103,9.2186,9.1886,9.1926,57099
="2019-12-16",09.28.00,9.2003,9.2286,9.1986,9.2187,119610
