date,time,open,high,low,close,volume
="2019-12-16",08.30.00,21.7004,21.7889,21.6287,21.7384,227344
="2019-12-16",08.31.00,21.7900,21.8000,21.4900,21.4900,35225
="2019-12-16",08.32.00,21.5100,21.5300,21.4442,21.4600,44751
="2019-12-16",08.33.00,21.5600,21.5600,21.5600,21.5600,37087
="2019-12-16",08.34.00,21.5307,21.6612,21.5111,21.6307,12648
="2019-12-16",08.35.00,21.6300,21.6500,21.4400,21.5300,56673
="2019-12-16",08.36.00,21.4700,21.6000,21.4700,21.5800,57587
="2019-12-16",08.37.00,21.6004,21.6670,21.5369,21.6504,40468
="2019-12-16",08.38.00,21.6188,21.6903,21.6002,21.6458,29097
="2019-12-16",08.39.00,21.6454,21.7188,21.6087,21.6204,26805
="2019-12-16",08.40.00,21.6206,21.7211,21.5710,21.7007,41471
="2019-12-16",08.41.00,21.7009,21.7409,21.6508,21.6709,25908
="2019-12-16",08.42.00,21.6600,21.7800,21.6500,21.7500,43215
="2019-12-16",08.43.00,21.7507,21.7713,21.6812,21.6998,15602
="2019-12-16",08.44.00,21.6900,21.7700,21.6700,21.7300,25580
="2019-12-16",08.45.00,21.7106,21.7410,21.6610,21.7006,28432
="2019-12-16",08.46.00,21.7204,21.8172,21.7171,21.7904,32529
="2019-12-16",08.47.00,21.7908,21.8204,21.7804,21.7858,38662
="2019-12-16",08.48.00,21.7850,21.8750,21.7811,21.8500,55691
="2019-12-16",08.49.00,21.8407,21.8913,21.8112,21.8172,35074
="2019-12-16",08.50.00,21.8048,21.8400,21.8000,21.8235,13553
="2019-12-16",08.51.00,21.8291,21.8609,21.8209,21.8409,27602
="2019-12-16",08.52.00,21.8450,21.9200,21.8400,21.9100,58186
="2019-12-16",08.53.00,21.9100,21.9300,21.9000,21.9099,52655
="2019-12-16",08.54.00,21.9106,21.9312,21.8612,21.9094,51455
="2019-12-16",08.55.00,21.8955,21.9100,21.8300,21.8300,17741
="2019-12-16",08.56.00,21.8208,21.8605,21.8004,21.8308,12341
="2019-12-16",08.57.00,21.8400,21.8500,21.8150,21.8307,9005
="2019-12-16",08.58.00,21.8204,21.8389,21.7488,21.7704,36393
="2019-12-16",08.59.00,21.8000,21.8000,21.7200,21.7300,7829
="2019-12-16",09.00.00,21.7200,21.7450,21.7000,21.7030,23203
="2019-12-16",09.01.00,21.7000,21.7199,21.6600,21.6776,22197
="2019-12-16",09.02.00,21.6800,21.7700,21.6800,21.7700,27720
="2019-12-16",09.03.00,21.7709,21.8210,21.7409,21.7419,40998
="2019-12-16",09.04.00,21.7300,21.7500,21.7100,21.7200,42550
="2019-12-16",09.05.00,21.7200,21.7200,21.6600,21.6600,22646
="2019-12-16",09.06.00,21.6600,21.6900,21.6500,21.6600,28806
="2019-12-16",09.07.00,21.6375,21.6800,21.6375,21.6700,10896
="2019-12-16",09.08.00,21.6700,21.6731,21.6106,21.6195,14269
="2019-12-16",09.09.00,21.6158,21.6407,21.6000,21.6214,19567
="2019-12-16",09.10.00,21.6279,21.6500,21.6200,21.6500,18361
="2019-12-16",09.11.00,21.6450,21.6500,21.5832,21.5832,7768
="2019-12-16",09.12.00,21.5800,21.6099,21.5800,21.6016,16111
="2019-12-16",09.13.00,21.6100,21.6200,21.6000,21.6200,11262
="2019-12-16",09.14.00,21.6150,21.6300,21.6000,21.6058,19966
="2019-12-16",09.15.00,21.6100,21.6700,21.6100,21.6700,14591
="2019-12-16",09.16.00,21.6650,21.6700,21.6500,21.6501,9408
="2019-12-16",09.17.00,21.6600,21.7100,21.6600,21.7000,28869
