date,time,open,high,low,close,volume
="2019-12-16",08.30.00,69.7500,69.9900,69.7100,69.9741,324251
="2019-12-16",08.31.00,69.9500,70.0000,69.9400,69.9600,34257
="2019-12-16",08.32.00,69.9604,69.9800,69.9300,69.9600,37984
="2019-12-16",08.33.00,69.9700,70.0400,69.9500,70.0201,81942
="2019-12-16",08.34.00,70.0200,70.0200,69.8600,69.8900,32112
="2019-12-16",08.35.00,69.9000,69.9100,69.8400,69.8700,29209
="2019-12-16",08.36.00,69.8700,69.8700,69.7909,69.7909,36466
="2019-12-16",08.37.00,69.8014,69.9550,69.7951,69.8514,34679
="2019-12-16",08.38.00,69.8534,69.9300,69.8534,69.8879,18072
="2019-12-16",08.39.00,69.8894,69.9085,69.8350,69.8450,18466
="2019-12-16",08.40.00,69.8400,69.8590,69.8200,69.8375,18580
="2019-12-16",08.41.00,69.8392,69.8550,69.8100,69.8325,13160
="2019-12-16",08.42.00,69.8370,69.8750,69.8300,69.8700,12601
="2019-12-16",08.43.00,69.8700,69.9000,69.8600,69.8731,20296
="2019-12-16",08.44.00,69.8750,69.9200,69.8248,69.8248,18282
="2019-12-16",08.45.00,69.8300,69.8800,69.8100,69.8200,26758
="2019-12-16",08.46.00,69.8200,69.8600,69.7900,69.8600,33717
="2019-12-16",08.47.00,69.8600,69.8900,69.8500,69.8850,14869
="2019-12-16",08.48.00,69.8900,69.9300,69.8748,69.9200,24519
="2019-12-16",08.49.00,69.9200,69.9290,69.9100,69.9200,17215
="2019-12-16",08.50.00,69.9200,69.9300,69.9000,69.9150,12458
="2019-12-16",08.51.00,69.9100,69.9700,69.9100,69.9500,24211
="2019-12-16",08.52.00,69.9500,69.9500,69.9300,69.9500,18743
="2019-12-16",08.53.00,69.9500,69.9900,69.9418,69.9900,13057
="2019-12-16",08.54.00,69.9850,69.9862,69.9500,69.9710,18362
="2019-12-16",08.55.00,69.9800,69.9900,69.9700,69.9800,14121
="2019-12-16",08.56.00,69.9800,69.9900,69.9400,69.9400,12944
="2019-12-16",08.57.00,69.9400,69.9500,69.9143,69.9200,16277
="2019-12-16",08.58.00,69.9300,69.9700,69.9300,69.9436,11806
="2019-12-16",08.59.00,69.9400,69.9600,69.9300,69.9300,17886
="2019-12-16",09.00.00,69.9400,69.9900,69.9400,69.9900,26276
="2019-12-16",09.01.00,69.9815,70.0200,69.9815,70.0100,47430
="2019-12-16",09.02.00,70.0100,70.0400,70.0100,70.0146,16924
="2019-12-16",09.03.00,70.0100,70.0700,70.0100,70.0350,31978
="2019-12-16",09.04.00,70.0350,70.0400,70.0100,70.0100,13962
="2019-12-16",09.05.00,70.0200,70.0300,69.9800,69.9900,15079
="2019-12-16",09.06.00,69.9800,69.9900,69.9700,69.9800,11466
="2019-12-16",09.07.00,69.9830,69.9830,69.9300,69.9601,19670
="2019-12-16",09.08.00,69.9700,69.9950,69.9550,69.9700,23301
="2019-12-16",09.09.00,69.9624,70.0000,69.9600,69.9800,20817
="2019-12-16",09.10.00,69.9850,69.9850,69.9500,69.9650,24408
="2019-12-16",09.11.00,69.9700,69.9800,69.9224,69.9246,34705
="2019-12-16",09.12.00,69.9300,69.9300,69.9000,69.9100,32810
="2019-12-16",09.13.00,69.9001,69.9700,69.9000,69.9700,28207
="2019-12-16",09.14.00,69.9700,70.0200,69.9601,70.0104,35706
="2019-12-16",09.15.00,70.0100,70.0700,70.0100,70.0565,30887
="2019-12-16",09.16.00,70.0600,70.1300,70.0600,70.0854,71243
="2019-12-16",09.17.00,70.0884,70.1300,70.0730,70.1267,30631
="2019-12-16",09.18.00,70.1300,70.1350,70.0724,70.0800,38058
="2019-12-16",09.19.00,70.0713,70.1050,70.0713,70.1050,20823
="2019-12-16",09.20.00,70.1100,70.1233,70.0550,70.0650,19942
="2019-12-16",09.21.00,70.0600,70.0800,70.0500,70.0600,48658
="2019-12-16",09.22.00,70.0650,70.0800,70.0300,70.0600,42111
="2019-12-16",09.23.00,70.0500,70.0900,70.0500,70.0900,19474
="2019-12-16",09.24.00,70.0800,70.0850,70.0629,70.0700,15138
="2019-12-16",09.25.00,70.0737,70.0900,70.0700,70.0900,9051
="2019-12-16",09.27.00,70.0750,70.0750,70.0700,70.0742,43762
="2019-12-16",09.28.00,70.0800,70.1200,70.0731,70.1100,29315
="2019-12-16",09.29.00,70.1200,70.1200,70.1000,70.1200,17773
="2019-12-16",09.30.00,70.1200,70.1400,70.0800,70.0900,30377
="2019-12-16",09.31.00,70.0900,70.1200,70.0700,70.0845,8453
="2019-12-16",09.32.00,70.0900,70.1200,70.0900,70.1150,17430
="2019-12-16",09.33.00,70.1100,70.1400,70.1100,70.1400,14958
="2019-12-16",09.34.00,70.1400,70.1500,70.1200,70.1400,17769
="2019-12-16",09.35.00,70.1300,70.1500,70.1100,70.1300,19398
="2019-12-16",09.36.00,70.1374,70.1600,70.1300,70.1600,22749
="2019-12-16",09.37.00,70.1650,70.1800,70.1100,70.1400,48999
="2019-12-16",09.38.00,70.1500,70.1599,70.1298,70.1500,37321
="2019-12-16",09.39.00,70.1501,70.1850,70.1501,70.1700,21364
="2019-12-16",09.40.00,70.1615,70.1800,70.1600,70.1600,17577
="2019-12-16",09.41.00,70.1600,70.1800,70.1400,70.1450,23223
="2019-12-16",09.42.00,70.1400,70.1490,70.1200,70.1250,7922
="2019-12-16",09.43.00,70.1200,70.1200,70.0400,70.0400,32627
="2019-12-16",09.44.00,70.0400,70.0900,70.0400,70.0900,27349
="2019-12-16",09.45.00,70.0900,70.1350,70.0900,70.1150,24766
="2019-12-16",09.46.00,70.1101,70.1200,70.1100,70.1200,20390
="2019-12-16",09.47.00,70.1200,70.1250,70.0899,70.0899,23857
="2019-12-16",09.48.00,70.0900,70.1000,70.0700,70.0710,16535
="2019-12-16",09.49.00,70.0750,70.1100,70.0700,70.0800,22179
="2019-12-16",09.50.00,70.0800,70.0852,70.0500,70.0700,20684
="2019-12-16",09.51.00,70.0650,70.0800,70.0619,70.0750,13392
="2019-12-16",09.52.00,70.0750,70.0800,70.0400,70.0400,21759
="2019-12-16",09.53.00,70.0400,70.0500,70.0250,70.0250,8424
="2019-12-16",09.54.00,70.0210,70.0400,70.0000,70.0000,20612
="2019-12-16",09.55.00,70.0000,70.0400,70.0000,70.0200,16012
="2019-12-16",09.56.00,70.0300,70.0400,70.0100,70.0100,14826
="2019-12-16",09.57.00,70.0113,70.0150,69.9900,69.9900,11841
="2019-12-16",09.58.00,70.0000,70.0500,69.9900,70.0100,77810
="2019-12-16",09.59.00,70.0100,70.0200,69.9900,69.9900,14584
="2019-12-16",10.00.00,69.9900,70.0000,69.9850,69.9900,6616
="2019-12-16",10.01.00,69.9900,69.9900,69.9849,69.9849,34824
="2019-12-16",10.02.00,69.9853,69.9853,69.9500,69.9650,20555
="2019-12-16",10.03.00,69.9500,69.9700,69.9401,69.9500,23731
="2019-12-16",10.04.00,69.9500,69.9600,69.9243,69.9250,17416
="2019-12-16",10.05.00,69.9200,69.9250,69.8800,69.9000,19914
="2019-12-16",10.06.00,69.9050,69.9050,69.8700,69.8950,16861
="2019-12-16",10.07.00,69.8908,69.9599,69.8900,69.9599,11662
="2019-12-16",10.08.00,69.9500,69.9600,69.8900,69.9000,29668
="2019-12-16",10.09.00,69.9071,69.9300,69.8900,69.9212,13803
="2019-12-16",10.10.00,69.9250,69.9432,69.9200,69.9200,13343
="2019-12-16",10.11.00,69.9250,69.9250,69.8750,69.8750,18684
="2019-12-16",10.12.00,69.8750,69.8900,69.8743,69.8900,12876
="2019-12-16",10.13.00,69.8841,69.8900,69.8750,69.8850,39671
="2019-12-16",10.14.00,69.8900,69.9400,69.8830,69.9342,14180
="2019-12-16",10.15.00,69.9368,69.9500,69.9000,69.9000,28638
="2019-12-16",10.16.00,69.9000,69.9200,69.9000,69.9173,10416
="2019-12-16",10.17.00,69.9200,69.9200,69.8795,69.8795,16954
="2019-12-16",10.18.00,69.8769,69.8953,69.8769,69.8953,8575
="2019-12-16",10.19.00,69.8950,69.9000,69.8650,69.8736,47704
="2019-12-16",10.20.00,69.8712,69.8943,69.8700,69.8943,12075
="2019-12-16",10.21.00,69.8900,69.9100,69.8700,69.9000,28854
="2019-12-16",10.22.00,69.9050,69.9400,69.9000,69.9400,6620
="2019-12-16",10.23.00,69.9400,69.9500,69.9100,69.9105,32072
="2019-12-16",10.24.00,69.9200,69.9300,69.9100,69.9300,16133
="2019-12-16",10.25.00,69.9228,69.9400,69.9136,69.9354,16251
="2019-12-16",10.26.00,69.9400,69.9400,69.9100,69.9200,10319
="2019-12-16",10.27.00,69.9200,69.9600,69.9173,69.9550,22130
="2019-12-16",10.28.00,69.9500,69.9900,69.9500,69.9900,16244
="2019-12-16",10.29.00,69.9800,70.0000,69.9800,69.9949,8673
="2019-12-16",10.31.00,69.9700,69.9700,69.9700,69.9700,42442
="2019-12-16",10.32.00,69.9800,70.0100,69.9800,69.9914,17638
="2019-12-16",10.33.00,69.9929,70.0000,69.9900,69.9900,13015
="2019-12-16",10.34.00,70.0000,70.0000,69.9630,69.9650,25713
="2019-12-16",10.35.00,69.9700,69.9800,69.9450,69.9800,34936
="2019-12-16",10.36.00,69.9800,70.0300,69.9800,70.0250,45166
="2019-12-16",10.37.00,70.0300,70.0500,70.0300,70.0400,20554
="2019-12-16",10.38.00,70.0400,70.0500,70.0302,70.0400,23457
="2019-12-16",10.39.00,70.0350,70.0400,70.0200,70.0396,33182
="2019-12-16",10.40.00,70.0400,70.0500,70.0326,70.0500,13832
="2019-12-16",10.41.00,70.0500,70.0600,70.0144,70.0194,27616
="2019-12-16",10.42.00,70.0200,70.0600,70.0200,70.0500,18005
="2019-12-16",10.43.00,70.0400,70.0600,70.0330,70.0428,32302
="2019-12-16",10.44.00,70.0500,70.0700,70.0400,70.0700,22260
="2019-12-16",10.45.00,70.0681,70.0900,70.0647,70.0647,18258
="2019-12-16",10.46.00,70.0700,70.0800,70.0400,70.0599,25186
="2019-12-16",10.47.00,70.0500,70.0600,70.0243,70.0243,15364
="2019-12-16",10.48.00,70.0209,70.0297,70.0000,70.0100,14179
="2019-12-16",10.49.00,70.0050,70.0200,69.9900,69.9969,21120
="2019-12-16",10.50.00,70.0000,70.0000,69.9532,69.9533,19648
="2019-12-16",10.51.00,69.9500,69.9610,69.9400,69.9400,21040
="2019-12-16",10.52.00,69.9300,69.9500,69.9300,69.9313,12833
="2019-12-16",10.53.00,69.9300,69.9300,69.9000,69.9100,17700
="2019-12-16",10.54.00,69.9133,69.9150,69.8900,69.9050,21338
="2019-12-16",10.55.00,69.9100,69.9500,69.9025,69.9025,12515
="2019-12-16",10.56.00,69.9094,69.9300,69.9005,69.9300,17269
="2019-12-16",10.57.00,69.9275,69.9700,69.9253,69.9647,12747
="2019-12-16",10.58.00,69.9600,69.9800,69.9600,69.9704,15385
="2019-12-16",10.59.00,69.9400,69.9400,69.9400,69.9400,23506
="2019-12-16",11.01.00,69.9000,69.9100,69.8900,69.8916,28869
="2019-12-16",11.02.00,69.8915,69.9000,69.8700,69.8950,31442
="2019-12-16",11.03.00,69.8900,69.9400,69.8800,69.9300,30295
="2019-12-16",11.04.00,69.9350,69.9400,69.9100,69.9157,14689
="2019-12-16",11.05.00,69.9100,69.9300,69.8900,69.8950,18378
="2019-12-16",11.06.00,69.8975,69.9000,69.8500,69.8700,36450
="2019-12-16",11.07.00,69.8700,69.9100,69.8700,69.9000,23014
="2019-12-16",11.08.00,69.8942,69.9050,69.8900,69.8950,25081
="2019-12-16",11.09.00,69.9000,69.9000,69.8930,69.9000,5682
="2019-12-16",11.10.00,69.9000,69.9200,69.8906,69.9144,11905
="2019-12-16",11.11.00,69.9200,69.9400,69.9100,69.9300,27998
="2019-12-16",11.12.00,69.9300,69.9400,69.9200,69.9251,15502
="2019-12-16",11.13.00,69.9300,69.9400,69.9244,69.9398,12843
="2019-12-16",11.14.00,69.9372,69.9600,69.9372,69.9450,18292
="2019-12-16",11.15.00,69.9500,69.9500,69.9000,69.9050,20940
="2019-12-16",11.16.00,69.9050,69.9050,69.8800,69.9000,9978
="2019-12-16",11.17.00,69.8999,69.9000,69.8800,69.8831,29134
="2019-12-16",11.18.00,69.8851,69.8900,69.8700,69.8800,9929
="2019-12-16",11.19.00,69.8700,69.9200,69.8700,69.9100,18432
="2019-12-16",11.20.00,69.9044,69.9100,69.8850,69.8950,11036
="2019-12-16",11.21.00,69.9000,69.9100,69.8900,69.8950,14132
="2019-12-16",11.22.00,69.8950,69.9074,69.8857,69.9059,19505
="2019-12-16",11.23.00,69.9000,69.9300,69.8950,69.9200,40571
="2019-12-16",11.24.00,69.9287,69.9400,69.9201,69.9370,26443
="2019-12-16",11.25.00,69.9353,69.9400,69.9300,69.9350,24288
="2019-12-16",11.26.00,69.9400,69.9400,69.9022,69.9100,16437
="2019-12-16",11.27.00,69.9100,69.9200,69.9047,69.9130,4646
="2019-12-16",11.28.00,69.9200,69.9298,69.8900,69.9000,15611
="2019-12-16",11.29.00,69.8900,69.8900,69.8300,69.8363,39993
="2019-12-16",11.30.00,69.8400,69.8400,69.8200,69.8254,16847
="2019-12-16",11.31.00,69.8250,69.8400,69.8130,69.8200,18541
="2019-12-16",11.32.00,69.8169,69.8300,69.8150,69.8200,24250
="2019-12-16",11.33.00,69.8217,69.8300,69.8200,69.8300,9681
="2019-12-16",11.34.00,69.8250,69.8600,69.8250,69.8600,19995
="2019-12-16",11.35.00,69.8700,69.9000,69.8600,69.8900,26489
="2019-12-16",11.36.00,69.8950,69.9000,69.8900,69.8995,12128
="2019-12-16",11.37.00,69.9000,69.9200,69.9000,69.9142,21106
="2019-12-16",11.38.00,69.9132,69.9200,69.9100,69.9114,8082
="2019-12-16",11.39.00,69.9200,69.9300,69.9108,69.9250,13591
="2019-12-16",11.40.00,69.9216,69.9300,69.9100,69.9200,52824
="2019-12-16",11.41.00,69.9200,69.9502,69.9200,69.9500,30213
="2019-12-16",11.42.00,69.9500,69.9700,69.9500,69.9570,15845
="2019-12-16",11.43.00,69.9547,69.9750,69.9500,69.9650,11746
="2019-12-16",11.44.00,69.9686,69.9700,69.9500,69.9559,21199
="2019-12-16",11.45.00,69.9510,69.9600,69.9500,69.9550,5143
="2019-12-16",11.46.00,69.9573,69.9800,69.9500,69.9800,15948
="2019-12-16",11.47.00,69.9800,70.0100,69.9800,70.0100,24374
="2019-12-16",11.48.00,70.0100,70.0300,70.0100,70.0300,10771
="2019-12-16",11.49.00,70.0258,70.0300,70.0200,70.0300,18340
="2019-12-16",11.50.00,70.0250,70.0600,70.0250,70.0544,30343
="2019-12-16",11.51.00,70.0550,70.0800,70.0500,70.0744,21192
="2019-12-16",11.52.00,70.0800,70.0900,70.0700,70.0900,46104
="2019-12-16",11.53.00,70.0800,70.0900,70.0700,70.0809,39299
="2019-12-16",11.54.00,70.0900,70.0950,70.0800,70.0850,30187
="2019-12-16",11.55.00,70.0800,70.0900,70.0800,70.0850,13447
="2019-12-16",11.56.00,70.0850,70.0900,70.0600,70.0650,67386
="2019-12-16",11.57.00,70.0647,70.0800,70.0600,70.0742,14992
="2019-12-16",11.58.00,70.0742,70.0750,70.0600,70.0600,45958
="2019-12-16",11.59.00,70.0700,70.0700,70.0700,70.0700,9691
="2019-12-16",12.00.00,70.0678,70.0750,70.0600,70.0702,17468
="2019-12-16",12.01.00,70.0750,70.0800,70.0700,70.0750,68835
="2019-12-16",12.02.00,70.0762,70.0900,70.0750,70.0900,63866
="2019-12-16",12.03.00,70.0899,70.0900,70.0811,70.0850,13670
="2019-12-16",12.04.00,70.0900,70.1000,70.0831,70.0950,307214
="2019-12-16",12.05.00,70.0900,70.1000,70.0900,70.0949,9459
="2019-12-16",12.06.00,70.1000,70.1400,70.0924,70.1400,53849
